seed,target,pooled_oof_spearman,n_donors,condition
7,6e10/A_beta,0.23256049407714893,84.0,real_graph_aux
7,AT8,0.41745469272046165,84.0,real_graph_aux
7,GFAP,0.29978738483345146,84.0,real_graph_aux
7,Iba1,0.16027133745064293,84.0,real_graph_aux
7,NeuN,0.48520805912726545,84.0,real_graph_aux
11,6e10/A_beta,0.2913840234889136,84.0,real_graph_aux
11,AT8,0.32631365799331785,84.0,real_graph_aux
11,GFAP,0.3134150045560393,84.0,real_graph_aux
11,Iba1,0.1470486989976714,84.0,real_graph_aux
11,NeuN,0.4635213121393136,84.0,real_graph_aux
17,6e10/A_beta,0.3014073099119166,84.0,real_graph_aux
17,AT8,0.4312038068239344,84.0,real_graph_aux
17,GFAP,0.3097094259390504,84.0,real_graph_aux
17,Iba1,0.19576794573250988,84.0,real_graph_aux
17,NeuN,0.4603624582363066,84.0,real_graph_aux
23,6e10/A_beta,0.2937734129796497,84.0,real_graph_aux
23,AT8,0.4209172825756809,84.0,real_graph_aux
23,GFAP,0.2389996962640478,84.0,real_graph_aux
23,Iba1,0.12335729472511897,84.0,real_graph_aux
23,NeuN,0.5098714184468969,84.0,real_graph_aux
29,6e10/A_beta,0.26173939455300194,84.0,real_graph_aux
29,AT8,0.4570213627619723,84.0,real_graph_aux
29,GFAP,0.2982484560089096,84.0,real_graph_aux
29,Iba1,0.09828895413587121,84.0,real_graph_aux
29,NeuN,0.4534170294623874,84.0,real_graph_aux
7,6e10/A_beta,0.24315075427761462,84.0,no_aux_raw
7,AT8,0.4016604232054268,84.0,no_aux_raw
7,GFAP,0.3141642199048294,84.0,no_aux_raw
7,Iba1,0.16745975498633187,84.0,no_aux_raw
7,NeuN,0.4325402450136681,84.0,no_aux_raw
11,6e10/A_beta,0.2880429280145793,84.0,no_aux_raw
11,AT8,0.30715804394046775,84.0,no_aux_raw
11,GFAP,0.3204414295838818,84.0,no_aux_raw
11,Iba1,0.15917788802267896,84.0,no_aux_raw
11,NeuN,0.4104282676926192,84.0,no_aux_raw
17,6e10/A_beta,0.2960615571529817,84.0,no_aux_raw
17,AT8,0.45497620735041006,84.0,no_aux_raw
17,GFAP,0.31234180419155616,84.0,no_aux_raw
17,Iba1,0.2163004961020553,84.0,no_aux_raw
17,NeuN,0.38388174546927206,84.0,no_aux_raw
23,6e10/A_beta,0.29699301407309914,84.0,no_aux_raw
23,AT8,0.39252809557557966,84.0,no_aux_raw
23,GFAP,0.24270527488103677,84.0,no_aux_raw
23,Iba1,0.14834463906044348,84.0,no_aux_raw
23,NeuN,0.48794168269717525,84.0,no_aux_raw
29,6e10/A_beta,0.23258074314062976,84.0,no_aux_raw
29,AT8,0.43701528804292805,84.0,no_aux_raw
29,GFAP,0.30084033613445377,84.0,no_aux_raw
29,Iba1,0.1063480814012352,84.0,no_aux_raw
29,NeuN,0.4282676926192164,84.0,no_aux_raw
7,6e10/A_beta,0.25483446390604436,84.0,random_graph_aux
7,AT8,0.46657892072491647,84.0,random_graph_aux
7,GFAP,0.3035334615774021,84.0,random_graph_aux
7,Iba1,0.16810772501771795,84.0,random_graph_aux
7,NeuN,0.47378758732408627,84.0,random_graph_aux
11,6e10/A_beta,0.2924977219803584,84.0,random_graph_aux
11,AT8,0.3336033208464108,84.0,random_graph_aux
11,GFAP,0.3146906955553306,84.0,random_graph_aux
11,Iba1,0.15101751543991093,84.0,random_graph_aux
11,NeuN,0.4790928419560596,84.0,random_graph_aux
17,6e10/A_beta,0.3101549053356283,84.0,random_graph_aux
17,AT8,0.5084134858762782,84.0,random_graph_aux
17,GFAP,0.30691505517869805,84.0,random_graph_aux
17,Iba1,0.1930343221626,84.0,random_graph_aux
17,NeuN,0.45803381593601294,84.0,random_graph_aux
23,6e10/A_beta,0.3006175964361648,84.0,random_graph_aux
23,AT8,0.44430495089602107,84.0,random_graph_aux
23,GFAP,0.23818973372481525,84.0,random_graph_aux
23,Iba1,0.1386858357800952,84.0,random_graph_aux
23,NeuN,0.5236407816138504,84.0,random_graph_aux
29,6e10/A_beta,0.24888123924268504,84.0,random_graph_aux
29,AT8,0.4500961830515339,84.0,random_graph_aux
29,GFAP,0.3011845702136276,84.0,random_graph_aux
29,Iba1,0.09106003847322061,84.0,random_graph_aux
29,NeuN,0.43754176369342923,84.0,random_graph_aux
