module,donor_mean,global_mean,zero,same_sign_global_donor,same_sign_all_three,max_abs_delta
at8_associated_first_pass,-0.0001574365160195,-0.0024462919682264,-0.0214410293847322,True,True,0.0214410293847322
lysosome_phagocytosis,0.0005467744194902,0.0001595604262547,-0.0181956086307764,True,False,0.0181956086307764
disease_associated_microglia,0.0009902266319841,0.000615335535258,-0.014118636958301,True,False,0.014118636958301
plaque_response,0.0009937621653079,0.000648888584692,-0.0135094579309225,True,False,0.0135094579309225
vascular_barrier_myeloid,0.0019835066050291,0.0016553334426134,-0.0115298889577388,True,False,0.0115298889577388
lipid_metabolism,0.0008429571171291,0.000761741597671,-0.0102258566766977,True,False,0.0102258566766977
homeostatic_microglia,0.0004907234688289,-0.0003574533038772,0.0093044200912117,False,False,0.0093044200912117
antigen_presentation,0.000564799120184,0.0006558058666996,-0.0092026907950639,True,False,0.0092026907950639
complement,0.0010837519075721,0.0012745708227157,-0.0085383178666234,True,False,0.0085383178666234
chemokine_migration,3.341159026604146e-05,-0.0003867565246764,0.0056397276930511,False,False,0.0056397276930511
interferon_response,0.0002976479299832,0.0005492986529134,0.0029780406039208,True,True,0.0029780406039208
synapse_pruning,0.0008393233292736,0.0004374891868792,-0.0028582834638655,True,False,0.0028582834638655
oxidative_stress,2.683950333448593e-05,3.148059840896167e-05,-0.0025046160444617,True,False,0.0025046160444617
senescence_stress,0.0001450699346605,0.0003315994981676,0.0015738914953544,True,True,0.0015738914953544
inflammatory_signaling,5.384845644584857e-05,-0.0002049834729405,-0.0004451005661394,False,False,0.0004451005661394
