representation,target,n_donors,pathology_tertile_silhouette,knn_spearman,knn_r2,knn_mae
expression_pca_128,percent AT8 positive area_Grey matter,84,-0.007514390135641778,0.2186493874658297,-0.010721592182692197,1.015285611152649
expression_pca_128,percent NeuN positive area_Grey matter,84,-0.003846291356476742,0.329776247848537,0.10248577115072321,1.4595980644226074
expression_pca_128,percent 6e10 positive area_Grey matter,84,-0.005722826333979962,0.0989774222942189,-0.35730082960195686,2.65954852104187
expression_pca_128,percent GFAP positive area_Grey matter,84,-0.01658130053106728,-0.01210893996152678,-0.12774431815845344,3.4605205059051514
expression_pca_128,percent Iba1 positive area_Grey matter,84,-0.011620065270420418,-0.04355573554723094,-0.17148778744290927,1.7882499694824219
jepa_latent_128,percent AT8 positive area_Grey matter,84,-0.06250809801555306,-0.10025311329351018,-0.2377410813578018,1.2803107500076294
jepa_latent_128,percent NeuN positive area_Grey matter,84,-0.04731576825184079,0.26704464918497517,0.008226051876694118,1.4740442037582397
jepa_latent_128,percent 6e10 positive area_Grey matter,84,-0.05730308919164426,0.07856636630555837,-0.11478616738359992,2.0240540504455566
jepa_latent_128,percent GFAP positive area_Grey matter,84,-0.0618738786673767,-0.037764503391718135,-0.19810203164130002,3.9345805644989014
jepa_latent_128,percent Iba1 positive area_Grey matter,84,-0.05718427909394517,-0.1429178900475853,-0.3259424366638253,1.8707458972930908
