Donor ID,n_cells
H19.33.004,796
H20.33.002,538
H20.33.035,209
H20.33.044,326
H21.33.003,461
H21.33.004,360
H21.33.011,478
H21.33.019,284
H21.33.028,778
H21.33.037,237
