seed,target,pooled_oof_spearman,n_donors,condition
23,Iba1,0.14297863723802773,84.0,target_shuffled_grn_aux
23,NeuN,0.5508150248051027,84.0,target_shuffled_grn_aux
29,6e10/A_beta,0.2849448213020148,84.0,target_shuffled_grn_aux
29,AT8,0.3415207046674091,84.0,target_shuffled_grn_aux
29,GFAP,0.3038574465930951,84.0,target_shuffled_grn_aux
29,Iba1,0.1897134757517465,84.0,target_shuffled_grn_aux
29,NeuN,0.5037157031487294,84.0,target_shuffled_grn_aux
7,6e10/A_beta,0.21609800546724717,84.0,gene_label_permuted_grn_aux
7,AT8,0.42992811582464313,84.0,gene_label_permuted_grn_aux
7,GFAP,0.3194492254733219,84.0,gene_label_permuted_grn_aux
7,Iba1,0.1268198845803382,84.0,gene_label_permuted_grn_aux
7,NeuN,0.48449934190543686,84.0,gene_label_permuted_grn_aux
11,6e10/A_beta,0.2744558064189531,84.0,gene_label_permuted_grn_aux
11,AT8,0.34344436569808645,84.0,gene_label_permuted_grn_aux
11,GFAP,0.3101549053356283,84.0,gene_label_permuted_grn_aux
11,Iba1,0.12740710742128175,84.0,gene_label_permuted_grn_aux
11,NeuN,0.4344841551078263,84.0,gene_label_permuted_grn_aux
17,6e10/A_beta,0.3010630758327427,84.0,gene_label_permuted_grn_aux
17,AT8,0.41530829199149544,84.0,gene_label_permuted_grn_aux
17,GFAP,0.3057608585602916,84.0,gene_label_permuted_grn_aux
17,Iba1,0.18418548142148428,84.0,gene_label_permuted_grn_aux
17,NeuN,0.4330262225372077,84.0,gene_label_permuted_grn_aux
23,6e10/A_beta,0.2933684317100334,84.0,gene_label_permuted_grn_aux
23,AT8,0.4411460969930141,84.0,gene_label_permuted_grn_aux
23,GFAP,0.23652931051938847,84.0,gene_label_permuted_grn_aux
23,Iba1,0.10403968816442241,84.0,gene_label_permuted_grn_aux
23,NeuN,0.5425129087779691,84.0,gene_label_permuted_grn_aux
29,6e10/A_beta,0.26793560797813104,84.0,gene_label_permuted_grn_aux
29,AT8,0.4237926495899565,84.0,gene_label_permuted_grn_aux
29,GFAP,0.2950896021059026,84.0,gene_label_permuted_grn_aux
29,Iba1,0.08247443555735548,84.0,gene_label_permuted_grn_aux
29,NeuN,0.4420775539131315,84.0,gene_label_permuted_grn_aux
