rehearsal_weight,disease_covariance_weight,n_checkpoints,best_run_id,best_epoch,best_composite_score,best_at8_ridge,best_neun_ridge,best_at8_cosine_knn,best_neun_cosine_knn,best_effective_dims,best_top_sv_ratio,best_sea_anchor_cosine,best_cellxgene_anchor_cosine,anchor_safe
0.0045,0.0005,7,upgrade_fine_08_r0045_cov0005_pc0075,5,1.6859308230499148,0.2127164118659512,0.42612129189025,0.2659107016300496,0.3034929634504404,7.192659378051758,0.4302219152450561,0.9747498538255692,0.9613379091739654,True
0.004,0.0005,2,upgrade_fine_02_r004_cov0005_pc005,5,1.6510719585357752,0.2724309000708717,0.4341601700921332,0.2892376227599473,0.2973372481522729,6.991507530212402,0.4378807842731476,0.9734300161600112,0.9588800188302994,True
0.0035,0.0005,1,fine_bridge_02_r0035_cov0005,5,1.620275935215278,0.4035638351726233,0.3606155715298167,0.3700718841753569,0.089926090918295,4.739022254943848,0.4610604643821716,0.9478215373039246,0.9438030498027802,False
0.005,0.0005,2,upgrade_fine_06_r005_cov0005_pc005,5,1.6072638099207697,0.2542269920016199,0.4228206945428774,0.2725928925787182,0.28905538118862,6.847638130187988,0.4445413649082184,0.9760489827156068,0.963266783475876,True
0.004,0.00025,2,upgrade_fine_01_r004_cov00025_pc005,5,1.5761954328330576,0.2210185278930849,0.4349701326313658,0.246593095069353,0.3478789106003847,6.64982795715332,0.4605351388454437,0.9726597447156906,0.9576886753559112,True
0.00475,0.0005,1,fine_safety_02_r00475_cov0005,5,1.567673504175089,0.3915561405285006,0.3893894907360534,0.2482535182747798,0.1681684722081603,4.961198806762695,0.4690630435943603,0.9546116707086564,0.949427011847496,False
0.005,0.00025,2,fine_narrow_03_r005_cov00025,5,1.5518414992696905,0.3628024703857446,0.4087678444871924,0.1841652323580034,0.2340184266477675,4.479668617248535,0.5072856545448303,0.9577482789039612,0.9536224878311156,True
0.0045,0.00025,2,upgrade_fine_03_r0045_cov00025_pc005,5,1.5392982043379462,0.2025513819985825,0.4329654753467652,0.2135263744051837,0.3450237926495899,6.447824954986572,0.4710880517959595,0.9740076225996016,0.9599736320257188,True
0.0035,0.00025,1,fine_bridge_01_r0035_cov00025,5,1.5285289882828474,0.3595828692922952,0.4147210691505518,0.18855927913334,0.2101447808038878,4.508617877960205,0.4954095184803009,0.9478701673269272,0.9437568215608596,False
0.02,0.001,1,fine_loose_05_r020_cov001,5,1.514559617208013,0.2777969018932874,0.4266275184772704,0.2088893388680773,0.3750329047281563,4.796158790588379,0.4686768651008606,0.9739932942152024,0.9704690188884736,True
0.005,0.0004,1,fine_safety_04_r005_cov0004,5,1.5069745956780252,0.3844082211197732,0.3136174951908474,0.3020957780702643,0.0374202693125442,4.546352863311768,0.492931991815567,0.956435398197174,0.9529643731117248,True
0.003,0.00025,1,fine_narrow_01_r003_cov00025,5,1.500866615490391,0.3750531537916371,0.3990887921433633,0.2131821403260099,0.2248253518274779,4.569325923919678,0.4948654770851135,0.940217465019226,0.934004049706459,False
0.003,0.0005,1,fine_narrow_02_r003_cov0005,5,1.4889287453745268,0.3987850561911512,0.3620532550369545,0.3088589652728561,0.1012858155310316,4.737697124481201,0.4597982764244079,0.9424129792928696,0.9377700632572176,False
0.00475,0.0004,1,fine_safety_01_r00475_cov0004,5,1.4531983847419925,0.3670547737167156,0.3123823023185177,0.2669434038675711,0.0805305254631973,4.55333137512207,0.4912189841270447,0.9549799877166748,0.9515899013280869,True
0.005,0.00035,1,fine_safety_03_r005_cov00035,5,1.4502057083897757,0.3626809760048597,0.3461172420775539,0.2981877088184671,0.1412372177786777,4.558043003082275,0.4935906231403351,0.9566819451093672,0.952947958111763,True
0.01,0.002,1,fine_loose_04_r010_cov002,5,1.4477819545842667,0.2401133947554925,0.459329755998785,0.1203401842664776,0.3406904930646957,4.673104286193848,0.4560661613941192,0.9627182599782944,0.9614216479539872,True
0.008,0.00075,1,fine_narrow_07_r008_cov00075,5,1.4089685268180383,0.3632277007188417,0.2953325908676724,0.3539738787081097,0.0857547838412473,4.764275074005127,0.4726318418979645,0.9647609121799468,0.9618824012517928,True
0.008,0.00025,1,fine_narrow_05_r008_cov00025,5,1.3969356541668847,0.2808342614154095,0.3594208767844487,0.3234382909790422,0.1426344031588539,4.7225542068481445,0.4920589923858642,0.967787218785286,0.9609983589887618,True
0.01,0.0005,1,fine_loose_03_r010_cov0005,5,1.3942170611567326,0.2413080895008605,0.3651716108129999,0.2604029563632682,0.2438189733724815,4.768391609191895,0.4828507602214813,0.9685048735141756,0.9640161644458772,True
0.1,0.001,2,sweep_05_tight_anchor,5,1.388851398480944,0.3389288245418649,0.4379872430900071,0.0169687151969221,0.2603827072997874,4.414602279663086,0.4787116348743438,0.986983997130394,0.9847297824382782,True
0.01,0.001,2,sweep_04_loose_anchor,5,1.3696142393893118,0.2847423306672066,0.3665080490027336,0.1478789106003847,0.2810367520502176,4.6360392570495605,0.4690768718719482,0.966551886987686,0.9638949962854384,True
0.075,0.001,1,fine_02_r007_cov001,5,1.3345815100746623,0.3496810772501771,0.4166244811177483,0.1618102662751847,0.216867469879518,4.455319404602051,0.4778692722320556,0.9850178678512572,0.9826663260698318,True
