soma_joinid,citation,collection_id,collection_name,collection_doi,collection_doi_label,dataset_id,dataset_version_id,dataset_title,dataset_h5ad_path,dataset_total_cell_count
298,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/ecfd0bb7-d6c4-482e-8293-138390132dbc.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,3e87b1fa-472a-401c-8fa8-f31c10437d5f,ecfd0bb7-d6c4-482e-8293-138390132dbc,Endothelial - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),3e87b1fa-472a-401c-8fa8-f31c10437d5f.h5ad,2069
363,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/78a93bdd-a26c-4971-b1e1-c48c02dbb241.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,81e91ff8-f619-4ad1-a0c3-b45e1dc63f68,78a93bdd-a26c-4971-b1e1-c48c02dbb241,Sst Chodl - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),81e91ff8-f619-4ad1-a0c3-b45e1dc63f68.h5ad,1496
410,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/b73ac0d8-928f-4f8a-bfb4-f96baf1e87c5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,2ecc72f8-085f-4e86-8692-771f316c54f6,b73ac0d8-928f-4f8a-bfb4-f96baf1e87c5,Endothelial - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),2ecc72f8-085f-4e86-8692-771f316c54f6.h5ad,2575
453,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/7e819064-ada7-4dd8-abe2-c3d16b2fb8ad.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,236baeda-5fdd-41bf-8e32-bae21ac7d435,7e819064-ada7-4dd8-abe2-c3d16b2fb8ad,VLMC - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),236baeda-5fdd-41bf-8e32-bae21ac7d435.h5ad,4328
518,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/4e584a91-fc22-4b32-a0e7-b33d3a7cc0ee.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,fc0ceb80-d2d9-47c1-9d78-b0e45c64c500,4e584a91-fc22-4b32-a0e7-b33d3a7cc0ee,Sst Chodl - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),fc0ceb80-d2d9-47c1-9d78-b0e45c64c500.h5ad,1877
560,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/0616f3a2-dc5c-4098-88e2-657dcbf91b01.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,2e5a9b5d-d31b-4e9f-a179-d5d70ba459fb,0616f3a2-dc5c-4098-88e2-657dcbf91b01,VLMC - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),2e5a9b5d-d31b-4e9f-a179-d5d70ba459fb.h5ad,4860
617,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/e88cdf6b-2e71-411f-8316-971af6b88322.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,07428d73-fdea-4bd4-a801-94b00c4d961c,e88cdf6b-2e71-411f-8316-971af6b88322,L5 ET - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),07428d73-fdea-4bd4-a801-94b00c4d961c.h5ad,2590
908,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/89d46169-6941-4831-886c-014505308701.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,8c6ed88f-11bf-4159-bad7-ff41fb1e1eca,89d46169-6941-4831-886c-014505308701,Chandelier - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),8c6ed88f-11bf-4159-bad7-ff41fb1e1eca.h5ad,10928
910,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/d557ec86-38de-4e34-ad0d-1f23cb5d3427.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,f67f2cfa-ba45-4f77-8e26-64a15f666043,d557ec86-38de-4e34-ad0d-1f23cb5d3427,Pax6 - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),f67f2cfa-ba45-4f77-8e26-64a15f666043.h5ad,9203
943,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/1c6487ed-8f54-46da-89d2-121c67ef6bf2.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,6cda07c7-5d7a-41ba-9799-5bb73da25a60,1c6487ed-8f54-46da-89d2-121c67ef6bf2,L5 ET - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),6cda07c7-5d7a-41ba-9799-5bb73da25a60.h5ad,4097
