resource_name,resource_class,url,output,exists,size_bytes,expected_size,required_for_stage75b_scenicplus,required_for_stage75c,recommended_wsl_command
hg38_screen_region_motif_rankings,large,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/screen/mc_v10_clust/region_based/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather,data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather,False,0,33G,True,False,wget -c -O 'data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather' 'https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/screen/mc_v10_clust/region_based/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather'
hg38_screen_region_motif_scores,large,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/screen/mc_v10_clust/region_based/hg38_screen_v10_clust.regions_vs_motifs.scores.feather,data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.scores.feather,False,0,13G,True,False,wget -c -O 'data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.scores.feather' 'https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/screen/mc_v10_clust/region_based/hg38_screen_v10_clust.regions_vs_motifs.scores.feather'
