target,latent_dimension,mean_coefficient,std_coefficient,mean_abs_coefficient,fold_1_coef,fold_2_coef,fold_3_coef,fold_4_coef,fold_5_coef
percent AT8 positive area_Grey matter,z_120,-0.13853055,0.027707731,0.13853055,-0.18070245,-0.11887433,-0.161993,-0.10978488,-0.12129815
percent AT8 positive area_Grey matter,z_26,0.11865389,0.011716308,0.11865389,0.11144201,0.117927894,0.10221991,0.12506266,0.13661699
percent AT8 positive area_Grey matter,z_30,-0.083744936,0.009797781,0.083744936,-0.09454519,-0.06717124,-0.085788354,-0.091835596,-0.0793843
percent AT8 positive area_Grey matter,z_94,0.07429658,0.0098761935,0.07429658,0.09156256,0.06483364,0.06601848,0.07057213,0.07849611
percent AT8 positive area_Grey matter,z_71,-0.053113125,0.008936232,0.053113125,-0.069361195,-0.04934673,-0.0431652,-0.048770174,-0.054922335
percent AT8 positive area_Grey matter,z_125,-0.046257384,0.009535423,0.046257384,-0.062911645,-0.04930839,-0.034764796,-0.043186624,-0.041115478
percent AT8 positive area_Grey matter,z_8,0.041727703,0.0025302737,0.041727703,0.037333842,0.04172195,0.04138318,0.044916246,0.0432833
percent AT8 positive area_Grey matter,z_63,-0.026062664,0.03208243,0.038849004,-0.057264484,-0.039802536,-0.016309842,0.031965844,-0.048902303
percent AT8 positive area_Grey matter,z_28,0.038497396,0.005783074,0.038497396,0.047738224,0.037908085,0.0390949,0.02949394,0.038251817
percent AT8 positive area_Grey matter,z_55,-0.03263844,0.005121664,0.03263844,-0.030175865,-0.03908086,-0.026724748,-0.028770778,-0.03843996
percent AT8 positive area_Grey matter,z_70,-0.031710424,0.009121138,0.031710424,-0.036084242,-0.03839044,-0.019574221,-0.02214345,-0.042359766
percent AT8 positive area_Grey matter,z_62,-0.031568985,0.004987353,0.031568985,-0.035256032,-0.026160479,-0.037692703,-0.03351106,-0.025224648
percent AT8 positive area_Grey matter,z_96,-0.0304075,0.003082991,0.0304075,-0.03246159,-0.032412335,-0.028912714,-0.025016673,-0.03323418
percent AT8 positive area_Grey matter,z_22,-0.030209202,0.011355699,0.030209202,-0.0176939,-0.02967754,-0.025647253,-0.026523743,-0.05150357
percent AT8 positive area_Grey matter,z_116,-0.027331969,0.0027772528,0.027331969,-0.025483236,-0.030168958,-0.02296539,-0.027942743,-0.030099511
percent AT8 positive area_Grey matter,z_51,-0.02694716,0.0019352438,0.02694716,-0.028672583,-0.026342064,-0.023591943,-0.028966762,-0.027162433
percent AT8 positive area_Grey matter,z_38,0.0057593435,0.029535837,0.026775211,0.021817267,0.02373904,0.02450893,-0.05253967,0.011271149
percent AT8 positive area_Grey matter,z_39,0.026069108,0.0051130434,0.026069108,0.034246735,0.023763023,0.026973628,0.026849333,0.018512815
percent AT8 positive area_Grey matter,z_126,-0.024980655,0.007741927,0.024980655,-0.024455491,-0.032823298,-0.022025598,-0.012319544,-0.033279344
percent AT8 positive area_Grey matter,z_117,0.024746435,0.0072167073,0.024746435,0.015504949,0.03430236,0.019840317,0.0220889,0.031995647
percent AT8 positive area_Grey matter,z_44,0.022544114,0.002946828,0.022544114,0.024006799,0.024826124,0.019363262,0.018670872,0.025853515
percent AT8 positive area_Grey matter,z_16,-0.02165546,0.0020076218,0.02165546,-0.022374399,-0.02330435,-0.018139888,-0.020833071,-0.023625597
percent AT8 positive area_Grey matter,z_11,-0.020912122,0.005373215,0.020912122,-0.03127061,-0.016059183,-0.017771278,-0.019078955,-0.020380586
percent AT8 positive area_Grey matter,z_15,0.019942367,0.0019263071,0.019942367,0.019522369,0.021195382,0.019392885,0.016931389,0.022669807
percent AT8 positive area_Grey matter,z_17,0.019343346,0.0057325438,0.019343346,0.008656204,0.02016233,0.020828944,0.021076597,0.025992662
percent AT8 positive area_Grey matter,z_93,0.019026142,0.0017965055,0.019026142,0.021754995,0.019011438,0.016963005,0.017247729,0.020153537
percent AT8 positive area_Grey matter,z_78,0.018866599,0.0022394806,0.018866599,0.015504517,0.02090478,0.020057235,0.020957101,0.01690936
percent AT8 positive area_Grey matter,z_1,0.017670566,0.012965961,0.018357906,0.017036818,0.028684422,-0.0017183535,0.03447059,0.009879351
percent AT8 positive area_Grey matter,z_75,-0.017660415,0.0056991284,0.017660415,-0.012900531,-0.021412015,-0.019846875,-0.009319082,-0.024823576
percent AT8 positive area_Grey matter,z_23,0.017058266,0.0013561997,0.017058266,0.018376738,0.018032089,0.016941532,0.014533557,0.017407417
percent AT8 positive area_Grey matter,z_112,0.016564135,0.0035998786,0.016564135,0.021017388,0.013178736,0.012859657,0.020737633,0.015027255
percent AT8 positive area_Grey matter,z_115,0.01621719,0.0015696875,0.01621719,0.013626322,0.016542219,0.016281685,0.018557668,0.016078055
percent AT8 positive area_Grey matter,z_27,0.015501805,0.0009400623,0.015501805,0.016008347,0.016439632,0.0140456725,0.016269948,0.014745422
percent AT8 positive area_Grey matter,z_81,-0.015480166,0.0028741409,0.015480166,-0.010320529,-0.018191442,-0.01496711,-0.015802793,-0.018118963
percent AT8 positive area_Grey matter,z_21,0.0153849,0.0037959137,0.0153849,0.011492319,0.0124185085,0.020894669,0.013159037,0.01895997
percent AT8 positive area_Grey matter,z_80,-0.014376012,0.0035534664,0.014376012,-0.018307485,-0.013667144,-0.017274441,-0.008149881,-0.014481112
percent AT8 positive area_Grey matter,z_87,0.014352252,0.0023894552,0.014352252,0.013790339,0.016680233,0.012464592,0.011311308,0.017514788
percent AT8 positive area_Grey matter,z_107,0.009153998,0.01269018,0.014141235,0.011854007,0.026818167,0.0068177744,-0.01246809,0.012748133
percent AT8 positive area_Grey matter,z_9,0.013151203,0.012447518,0.013439166,0.0017981753,0.026021473,-0.0007199096,0.029610444,0.009045829
percent AT8 positive area_Grey matter,z_122,-0.01335038,0.002716872,0.01335038,-0.017556652,-0.013240382,-0.014182026,-0.012670834,-0.009102002
percent AT8 positive area_Grey matter,z_83,0.0133495955,0.0042084837,0.0133495955,0.011122219,0.018638209,0.0065783784,0.014001537,0.016407639
percent AT8 positive area_Grey matter,z_53,-0.01310499,0.0014088484,0.01310499,-0.014454924,-0.012861662,-0.013893221,-0.010480337,-0.013834804
percent AT8 positive area_Grey matter,z_110,-0.013013343,0.0014740775,0.013013343,-0.012094289,-0.011494942,-0.011963267,-0.015271995,-0.014242224
percent AT8 positive area_Grey matter,z_50,-0.01246238,0.0052225078,0.01246238,-0.02143868,-0.006956205,-0.01494251,-0.010389246,-0.008585259
