source_local_path,filesystem_sha256,bytes,category,historical_or_current,decision_bearing,sensitive_class,generated_class,git_filter_alters_bytes,exact_byte_required,sync_disposition,proposed_repo_path,reason,chronology_class,source_root_kind,old_authority_sha256,delta_status
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_ADJUDICATOR_REPAIR_REVIEW_20260902.zip::F1_DECISION_ENGINE_INTEGRATION_CONTRACT.md,485a2e408c361b4382c943031e9a851d9d7ea3c09c98a4b6d1bb10ae69d61bcb,2945,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,485a2e408c361b4382c943031e9a851d9d7ea3c09c98a4b6d1bb10ae69d61bcb,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_ADJUDICATOR_REPAIR_REVIEW_20260902.zip::F1_POPULATION_COMPLETENESS_CONTRACT.md,03d94c1a3554a42b61fedac4d7169e4433db1b90dde43325e3ac1f947b735ebe,1735,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,03d94c1a3554a42b61fedac4d7169e4433db1b90dde43325e3ac1f947b735ebe,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_ADJUDICATOR_REPAIR_REVIEW_20260902.zip::source_snapshot/contextual_target_f1_decision_integration_v3.py,e2681cfdd624313a0686eee47adc9385643c6303256f6c08f68f3076354755e5,8475,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,e2681cfdd624313a0686eee47adc9385643c6303256f6c08f68f3076354755e5,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_ADJUDICATOR_REPAIR_REVIEW_20260902.zip::source_snapshot/contextual_target_f1_decision_v1.py,204859f48b96d1bb268d9249596b801537f2c911183dc4a20bc30fe5683e2d34,8475,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,204859f48b96d1bb268d9249596b801537f2c911183dc4a20bc30fe5683e2d34,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_ADJUDICATOR_REPAIR_REVIEW_20260902.zip::source_snapshot/contextual_target_f1_querydesign_decision_v2.py,ac8157105b66ccd1617efb3740768a91711b429e5288afc34fb9a54adedcc462,21252,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,ac8157105b66ccd1617efb3740768a91711b429e5288afc34fb9a54adedcc462,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::F1_CONTEXTUAL_STATISTICAL_ESTIMAND_CONTRACT_FROZEN_COPY.md,34af5c31b361eb8d17e1daaf47126f14fb6296f6d998f4855622922ca2f8df14,1982,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,34af5c31b361eb8d17e1daaf47126f14fb6296f6d998f4855622922ca2f8df14,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::F1_DECISION_LOGIC_PROPOSAL_FROZEN_COPY.md,c7c4938f01762a4f6ae221690b87ef1e77dea0107dcca5fa8e5e7364875963bf,3814,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,c7c4938f01762a4f6ae221690b87ef1e77dea0107dcca5fa8e5e7364875963bf,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::F1_DECISION_RECONCILIATION_AUTHORITY.json,245d77d5ba0266349639acc8bf28bf0d634cb12867d17d6a5ee43f628a54d413,2406,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,245d77d5ba0266349639acc8bf28bf0d634cb12867d17d6a5ee43f628a54d413,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::F1_DECISION_RECONCILIATION_EXTERNAL_REVIEW_HANDOFF.md,2db472edabce43deb6c9e6df8499d5e713cf473f25260f7576b910d3b8ac0b2b,1271,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,2db472edabce43deb6c9e6df8499d5e713cf473f25260f7576b910d3b8ac0b2b,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::F1_DECISION_RECONCILIATION_INDEPENDENT_VALIDATION.json,274d493d54a1b8b4910af70baf235f74698fd0a8f06fa6c677e23bda5bb9ed85,1356,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,274d493d54a1b8b4910af70baf235f74698fd0a8f06fa6c677e23bda5bb9ed85,FROM_REUSED_INVENTORY
