run_id,architecture_condition,target,target_alias,fold_id,n_train_donors,n_test_donors,n_module_features,n_residual_features,random_seed,epochs_run,best_inner_val_mse,n_train_fit_donors,n_inner_val_donors,leakage_check
v3_sea_ad_only_non_graph,module_only_mlp,AT8,percent AT8 positive area_Grey matter,1,67,17,15,1000,107,163,0.45456644892692566,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,AT8,percent AT8 positive area_Grey matter,2,67,17,15,1000,207,78,0.484072208404541,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,AT8,percent AT8 positive area_Grey matter,3,67,17,15,1000,307,41,0.41021963953971863,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,AT8,percent AT8 positive area_Grey matter,4,67,17,15,1000,407,114,0.6796242594718933,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,AT8,percent AT8 positive area_Grey matter,5,68,16,15,1000,507,80,0.7400628328323364,54,14,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,1,67,17,15,1000,108,41,0.4526852071285248,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,2,67,17,15,1000,208,116,1.0464895963668823,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,3,67,17,15,1000,308,93,0.5974134802818298,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,4,67,17,15,1000,408,109,1.2299672365188599,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,5,68,16,15,1000,508,119,1.0189369916915894,54,14,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,GFAP,percent GFAP positive area_Grey matter,1,67,17,15,1000,109,121,1.146633267402649,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,GFAP,percent GFAP positive area_Grey matter,2,67,17,15,1000,209,59,1.1161164045333862,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,GFAP,percent GFAP positive area_Grey matter,3,67,17,15,1000,309,68,1.1970692873001099,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,GFAP,percent GFAP positive area_Grey matter,4,67,17,15,1000,409,82,0.6944946646690369,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,GFAP,percent GFAP positive area_Grey matter,5,68,16,15,1000,509,68,0.807424008846283,54,14,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,Iba1,percent Iba1 positive area_Grey matter,1,67,17,15,1000,110,74,1.459210753440857,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,Iba1,percent Iba1 positive area_Grey matter,2,67,17,15,1000,210,131,0.27005675435066223,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,Iba1,percent Iba1 positive area_Grey matter,3,67,17,15,1000,310,104,1.333046793937683,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,Iba1,percent Iba1 positive area_Grey matter,4,67,17,15,1000,410,41,1.2636592388153076,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,Iba1,percent Iba1 positive area_Grey matter,5,68,16,15,1000,510,77,1.030717134475708,54,14,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,NeuN,percent NeuN positive area_Grey matter,1,67,17,15,1000,111,98,0.5617700815200806,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,NeuN,percent NeuN positive area_Grey matter,2,67,17,15,1000,211,43,1.1075387001037598,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,NeuN,percent NeuN positive area_Grey matter,3,67,17,15,1000,311,93,1.2853145599365234,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,NeuN,percent NeuN positive area_Grey matter,4,67,17,15,1000,411,87,1.304456114768982,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,module_only_mlp,NeuN,percent NeuN positive area_Grey matter,5,68,16,15,1000,511,108,1.1586207151412964,54,14,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,AT8,percent AT8 positive area_Grey matter,1,67,17,15,1000,1107,42,0.7706207633018494,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,AT8,percent AT8 positive area_Grey matter,2,67,17,15,1000,1207,99,0.30132561922073364,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,AT8,percent AT8 positive area_Grey matter,3,67,17,15,1000,1307,75,0.4094400703907013,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,AT8,percent AT8 positive area_Grey matter,4,67,17,15,1000,1407,50,0.5920531749725342,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,AT8,percent AT8 positive area_Grey matter,5,68,16,15,1000,1507,46,0.7600018382072449,54,14,fold_local_scalers_feature_selection_and_inner_validation
