relative_path,bytes,sha256
F1_15C_EXTERNAL_REVIEW_HANDOFF.md,801,bda3a56a7da5cbdbac022190c0de7744867b27cc5908bcb90e16275ae17f67ac
F1_15C_FULL_DECISION_REGRESSION.json,4526,91224aeabbffe89f283facafe4efad3694e9e0b9897f2a0cd6dd2e72125d4efe
F1_15C_INDEPENDENT_VALIDATION.json,1649,27a235cbe3ef9adb509295c185eb53cec51838880fce4dbb9d1716e6fb6a7ee1
F1_15C_INTEGRATION_AUTHORITY.json,1472,d4241fbd886d1ef954946dab22d80fb4a98f76859c3c037292d5ea09177b2651
F1_15C_MULTIAGENT.md,3205,c726ca7f6828f0cd02c8b4c04eb8959bfbae82e406f50e456d65dc9c846647a0
F1_15C_NUISANCE_ADVERSARIAL.json,208284,9548253e1c9ab3215dfa34d07cd6e1dc79eede2f8eeb7441f13f4a2b1be1ba13
F1_15C_NUISANCE_INTEGRATION_CONTRACT.md,2198,7be63e237709c84242419503e0eae580f628353895038f4eb34b2040db5fe7db
F1_15C_NUISANCE_SEMANTIC_PREFLIGHT.json,3709,f158974560a27464757f0a779deb8b48f3f2a49cc109a9cb85e2369bb9a8493c
F1_15C_SELECTED_DESIGN_REVERIFICATION.json,732,6381d6c8c0e5650654ca072dc5451a009591798fa9c85fe0d102094261a7704b
F1_15C_SOURCE_MANIFEST.csv,1767,d179599d8da5f9717e79aed34e1069c78b0b7b0161d5200f9df3b5ac2e40001d
F1_15C_SYNTHETIC_BASELINE.json,181943,3dc535939d836eb033473c2a4b98ef1af70fbd552dd0272132ee304ce1e65b0c
source_snapshot/contextual_target_f1_hc3_15c_adapter_v1.py,12309,a29398c365c284950fcf513b093771520772640cf527b4208425759accff764c
source_snapshot/finalize_contextual_target_f1_hc3_15c_v1.py,5283,1a7789e5172c4b02d0209d258e047b897b2437b11aa3ec90d315c5bd1b23da1f
source_snapshot/run_contextual_target_f1_hc3_15c_v1.py,12983,e9b9d2df073b3172fd2796f01d58dfeba2d45fc0cf25ba9c76588ffa66c8e5d9
source_snapshot/test_contextual_target_f1_hc3_15c_integration_v1.py,3129,eadaf5569f73a74a31672ce40061ed2bce63ba7d1adca865b09ce4d9544662e3
source_snapshot/validate_contextual_target_f1_hc3_15c_v1.py,11027,97eecbef8582f4a03097edf6cc24fc915105c31cec22a1567d28debaa7f623fd
