path,bytes,sha256,mtime,extension,git_present_exact,git_present_different,git_present_status,ignored_reason,likely_stage,classification,decision_bearing,sensitive_or_protected,sensitive_class,large_or_generated,fresh_hash_performed,existing_manifest_sha256_if_available,recommended_action,reason,proposed_repo_path,chronology_class,exact_or_reconstructed,superseded_by,recommended_commit_group,git_filter_alters_bytes,repair_disposition,repair_reason
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_ADJUDICATOR_REPAIR_REVIEW_20260902.zip,47540,47f490fb75d126600092bd77008f3f95e686f75d76c21dd755b8216ee82e9ed5,2026-09-02T03:55:52+00:00,.zip,False,False,IGNORED,,CONTEXTUAL_TEACHER,SUPERSEDED_BUT_IMPORTANT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/history/CONTEXTUAL_TEACHER_TARGET_V1_F1_ADJUDICATOR_REPAIR_REVIEW_20260902.zip,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,EXACT_LOCAL_BYTES,,1_recovered_historical_authority_ledger,False,PROPOSE_REVIEW_MIRROR,
outputs/full104_v014_20260826/PHASE2_PREFLIGHT_COUNCIL_20260827.md,1910,0be971e32f4b783cb32bae2201a13c4741ea05c2f49eb6191d046c1472b377fb,2026-08-27T13:03:40+00:00,.md,False,False,IGNORED,,FULL104,SUPERSEDED_BUT_IMPORTANT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/history/full104_v014_20260826/PHASE2_PREFLIGHT_COUNCIL_20260827.md,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,EXACT_LOCAL_BYTES,,1_recovered_historical_authority_ledger,False,PROPOSE_REVIEW_MIRROR,
outputs/full104_v014_20260826/00_environment/PHASE0_PREFLIGHT.md,1995,675dbb59f7190409574173e1f81af9e62fc3d4fb299d53d80417fcf321370598,2026-08-26T16:33:52+00:00,.md,False,False,IGNORED,,FULL104,SUPERSEDED_BUT_IMPORTANT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/history/full104_v014_20260826/00_environment/PHASE0_PREFLIGHT.md,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,EXACT_LOCAL_BYTES,,1_recovered_historical_authority_ledger,False,PROPOSE_REVIEW_MIRROR,
outputs/full104_v014_20260826/00_environment/PHASE0_PREFLIGHT.json,981,32a0e0e33b0584d20a6b204b71559a0b19456467db502997a52d9218f4dec609,2026-08-26T16:33:58+00:00,.json,False,False,IGNORED,,FULL104,SUPERSEDED_BUT_IMPORTANT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/history/full104_v014_20260826/00_environment/PHASE0_PREFLIGHT.json,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,EXACT_LOCAL_BYTES,,1_recovered_historical_authority_ledger,False,PROPOSE_REVIEW_MIRROR,
outputs/full104_v014_20260826/01_capacity/CAPACITY_AUDIT_ADJUDICATION.md,2134,f25ce83426feec5fb8fad7182cbb9b8bf4977c44c7bf5033cb13dae6be65ed30,2026-08-26T17:07:46+00:00,.md,False,False,IGNORED,,FULL104,SUPERSEDED_BUT_IMPORTANT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/history/full104_v014_20260826/01_capacity/CAPACITY_AUDIT_ADJUDICATION.md,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,EXACT_LOCAL_BYTES,,1_recovered_historical_authority_ledger,False,PROPOSE_REVIEW_MIRROR,
outputs/full104_v014_20260826/01_full104_metadata_adapter/FULL104_ADAPTER_SHA256_MANIFEST.csv,5998,54e4ba5b60e9c5d3ff23a307df03576f45ac725f3b71642888500a469ebdbc74,2026-08-26T18:50:26+00:00,.csv,False,False,IGNORED,,FULL104,HISTORICAL_AUTHORITY,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/history/full104_v014_20260826/01_full104_metadata_adapter/FULL104_ADAPTER_SHA256_MANIFEST.csv,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,EXACT_LOCAL_BYTES,,1_recovered_historical_authority_ledger,False,PROPOSE_REVIEW_MIRROR,
outputs/full104_v014_20260826/01_full104_metadata_adapter/DATASET_FIDELITY_REVIEW.md,2472,6c56edfeb122293dafa16366f1e2062fccd88a54e5e3db20ba575e73f55f49d1,2026-08-26T18:42:50+00:00,.md,False,False,IGNORED,,FULL104,SUPERSEDED_BUT_IMPORTANT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/history/full104_v014_20260826/01_full104_metadata_adapter/DATASET_FIDELITY_REVIEW.md,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,EXACT_LOCAL_BYTES,,1_recovered_historical_authority_ledger,False,PROPOSE_REVIEW_MIRROR,
outputs/full104_v014_20260826/01_full104_metadata_adapter/RED_TEAM_REVIEW.md,2659,75827564f1b528501f9cd26825a7b9fcfa54b41fd2b3e7e650f9fb8a82415469,2026-08-26T18:49:30+00:00,.md,False,False,IGNORED,,FULL104,SUPERSEDED_BUT_IMPORTANT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/history/full104_v014_20260826/01_full104_metadata_adapter/RED_TEAM_REVIEW.md,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,EXACT_LOCAL_BYTES,,1_recovered_historical_authority_ledger,False,PROPOSE_REVIEW_MIRROR,
outputs/full104_v014_20260826/01_full104_metadata_adapter/FULL104_METADATA_SCOPE_STATUS.json,546,7ce2e8351c46419c56eacc6ce6e236644e264b4fb5d68ae762fbe82054b05fb2,2026-08-26T18:50:08+00:00,.json,False,False,IGNORED,,FULL104,SUPERSEDED_BUT_IMPORTANT,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/history/full104_v014_20260826/01_full104_metadata_adapter/FULL104_METADATA_SCOPE_STATUS.json,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,EXACT_LOCAL_BYTES,,1_recovered_historical_authority_ledger,False,PROPOSE_REVIEW_MIRROR,
outputs/full104_v014_20260826/02_expression_interface_preflight/FULL104_EXPRESSION_INTERFACE_FREEZE_MANIFEST.csv,780,8529dd3d56d1389cd6661bce4ebefc788e1af61aafc3c99f94a01d8f12ab5dce,2026-08-26T19:49:04+00:00,.csv,False,False,IGNORED,,FULL104,HISTORICAL_AUTHORITY,True,False,REVIEW_SAFE,False,True,,PROPOSE_REVIEW_MIRROR,compact conclusion-bearing/review authority,docs/history/full104_v014_20260826/02_expression_interface_preflight/FULL104_EXPRESSION_INTERFACE_FREEZE_MANIFEST.csv,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,EXACT_LOCAL_BYTES,,1_recovered_historical_authority_ledger,False,PROPOSE_REVIEW_MIRROR,
