dataset_id,cohort,study_id,modality,source_path,source_hash,size_bytes,shape,registered_role,documentation_only,source_exists
gse133357_regional_microglia_fpkm,normal_reference,GSE133357,expression,data/external/v4/normal_references/gse133357/GSE133357_Unfiltered_Human_microglia_FPKM.csv.gz,909ccd3165cffc3021a78e89116dcf4a0ec7f483a25d9d44e0e48cb154faf4a5,245528,"[""not_applicable"", ""not_applicable""]",regional_primary_microglia_reference,False,True
gse146639_processed_microglia_archive,normal_reference,GSE146639,expression,data/external/v4/normal_references/gse146639/GSE146639_RAW.tar,b5ee658b48554fa4ec38ed0282c6a9ffe361f943804b34240369acd3e452e251,46796800,"[""not_applicable"", ""not_applicable""]",aged_primary_microglia_validation,False,True
gse175721_09deb6fed0c6,perturbation,GSE175721,perturbation_expression_or_assignment,data/external/v4/perturbation/GSE175721/GSE175721_RAW.tar,fa4f6a1214bef5d4cffdda0748fc58da79c0a75b557c59727d8c8cef6eeec6a1,160399360,unresolved_source_archive_or_table,amyloid_context_validation,False,True
gse175721_efcc78179a9c,perturbation,GSE175721,documentation,data/external/v4/perturbation/GSE175721/GSE175721_CRISPR_seq.fa.gz,45e8d92cd4cfebb7b53233931cbee20bf5abdd5e82216efa6b0c7646658a673f,427,unresolved_source_archive_or_table,amyloid_context_validation,True,True
gse178317_ba77161eeaa1,perturbation,GSE178317,perturbation_expression_or_assignment,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,1fedaf717380a7d858544be56d1253f4c5bc6f7738f85833c5c1209d32e8fde2,1010032640,unresolved_source_archive_or_table,primary_microglial_perturbation_training,False,True
gse178317_f5881facc710,perturbation,GSE178317,perturbation_expression_or_assignment,data/external/v4/perturbation/GSE178317/GSE178317_iTF_Microglia_RNAseq_abundance.csv.gz,0b323c815487ace813e5ce50feb0f1b3bf5ce60a0d9f8e2f7e7fad583bc60321,1668560,unresolved_source_archive_or_table,primary_microglial_perturbation_training,False,True
gse240609_1155194f2ab8,perturbation,GSE240609,perturbation_expression_or_assignment,data/external/v4/perturbation/GSE240609/GSE240609_RAW.tar,1c6cd8c01fd4221a545a90576d3354bbc72da4cb22ccedb401d03f3612b19873,440320,unresolved_source_archive_or_table,mechanistic_bulk_validation,False,True
gse241858_139c1d1976d8,perturbation,GSE241858,perturbation_expression_or_assignment,data/external/v4/perturbation/GSE241858/GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03,940109,unresolved_source_archive_or_table,genotype_context_validation,False,True
gse241858_cb7d87bdeb0f,perturbation,GSE241858,perturbation_expression_or_assignment,data/external/v4/perturbation/GSE241858/GSE241858_TREM2_RNAseq_countfile.txt.gz,2c7811e25e6283dbb9f0149e71c7dea55e00d9a20ed279d4b7bbe5f8bd049496,509325,unresolved_source_archive_or_table,genotype_context_validation,False,True
gse243292_full_dlpfc_h5ad,normal_reference,GSE243292,expression,data/external/v4/normal_references/gse243292/GSE243292_ADsnRNAseq_GEO.h5ad.gz,e267a5fe1d87aa43d413e186502ca69c0e516c41442a0efa2eb7bf18c890b69d,294960107,"[122606, 26423]",aged_normal_and_pathology_context_validation,False,True
gse243292_readme,normal_reference,GSE243292,documentation,data/external/v4/normal_references/gse243292/GSE243292_processed_data_readme.txt,7d4c82d860c893b219c3120f9edf30a2081de08f02639bcff1a9e57e571736d4,680,"[""not_applicable"", ""not_applicable""]",technical_compatibility_only,True,True
gse254205_3bc2196b5493,perturbation,GSE254205,perturbation_expression_or_assignment,data/external/v4/perturbation/GSE254205/GSE254205_human_APOE3_IPSCmicroglia_ATAC.tar.gz,65046cbe82780307e31bed3744de0977ac93d23c6db89d4d9cf78dc95c6cb313,1701960,unresolved_source_archive_or_table,genotype_context_validation,False,True
gse254205_8ae26813ce5d,perturbation,GSE254205,perturbation_expression_or_assignment,data/external/v4/perturbation/GSE254205/GSE254205_iMG_LD_sort_RNA_seq.tar.gz,b85a8d6630dd5805ef2d5de1ad11cd57d0d7293e3370dc3bc2574f8dfe0a40be,2114725,unresolved_source_archive_or_table,genotype_context_validation,False,True
gse254205_cff143b59c0c,perturbation,GSE254205,perturbation_expression_or_assignment,data/external/v4/perturbation/GSE254205/GSE254205_ad_raw.h5ad.gz,eb351dc74725b5aaa260234b3891cfa74f398512880af69d8d6bd6abac5dfa0e,734059992,unresolved_source_archive_or_table,genotype_context_validation,False,True
gse254205_fca1d393501d,perturbation,GSE254205,perturbation_expression_or_assignment,data/external/v4/perturbation/GSE254205/GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,ae3761514b5ac0bf37ae727ab956f6e6bee70c4dab52519ab2f20cc9a322d569,2327894,unresolved_source_archive_or_table,genotype_context_validation,False,True
gse293118_1d15aff2e5fa,perturbation,GSE293118,perturbation_expression_or_assignment,data/external/v4/perturbation/GSE293118/GSE293118_RAW.tar,caeef49f695223bacaedb41a9dbfe745a25471683c55c4ef8371982d29f199eb,1113804800,unresolved_source_archive_or_table,regulatory_element_perturbation,False,True
gse293118_6dab6ce5e82e,perturbation,GSE293118,documentation,data/external/v4/perturbation/GSE293118/GSE293118_feature_reference.csv.gz,3b8cc0b9368040c5dd8e60758a6582181fe25817a46f008bf099660ac5346a48,4626,unresolved_source_archive_or_table,regulatory_element_perturbation,True,True
