r_HVS,r_NPH52,r_SEAAD,admissible,strictly_dominated_by_selected,is_pareto_maximal_admissible,is_universal_maximum,reason_codes,loo_critical_donor_ids
0,0,0,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
0,0,1,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
0,0,2,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
0,0,3,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
0,0,4,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
0,1,0,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
0,1,1,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
0,1,2,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
0,1,3,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
0,1,4,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
1,0,0,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
1,0,1,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
1,0,2,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
1,0,3,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
1,0,4,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
1,1,0,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
1,1,1,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
1,1,2,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
1,1,3,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
1,1,4,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
2,0,0,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
2,0,1,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
2,0,2,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
2,0,3,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
2,0,4,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
2,1,0,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
2,1,1,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
2,1,2,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
2,1,3,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
2,1,4,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
3,0,0,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
3,0,1,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
3,0,2,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
3,0,3,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
3,0,4,True,True,False,False,PASS_DONOR_REPLICATED_HC3,
3,1,0,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
3,1,1,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
3,1,2,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
3,1,3,False,False,False,False,NONREPLICATED_NUISANCE_DIRECTION|HC3_LEVERAGE_BOUNDARY,NPH52::human_NPH_906
