target_gene,independent,producer,abs_delta,lanes_used,cells_used
EPOR,-0.59204975,-0.592,4.974836997262422e-05,4,290
DCPS,-1.17564288,-1.1756,4.2875994521685e-05,4,145
CSF1R,-0.18135789,-0.1814,4.211232674844467e-05,4,246
RPS6KB2,-0.00204046,-0.002,4.045629572768834e-05,4,388
STK40,-0.43255957,-0.4326,4.043280222221224e-05,4,272
AURKB,-1.83836109,-1.8384,3.890906752435086e-05,4,63
TRAPPC3,-0.32853836,-0.3285,3.835663512186116e-05,4,228
ATP1A1,-1.1403631,-1.1404,3.68977260201131e-05,4,260
PLK1,-2.89603681,-2.896,3.6811658331359354e-05,4,75
MTHFD2,-0.05113599,-0.0511,3.598910360450708e-05,4,400
CSNK2A1,-0.99133372,-0.9913,3.372076771157584e-05,4,467
RPS6KB1,-0.64006707,-0.6401,3.2926576728375956e-05,4,374
PFN2,-1.08003035,-1.08,3.0353170861419088e-05,4,301
CDK8,-0.13537188,-0.1354,2.811943839636788e-05,3,272
CDK12,-1.03887206,-1.0389,2.7937099971842017e-05,4,265
NDUFA8,-1.39627424,-1.3963,2.5760857551571092e-05,4,228
DDX39B,-0.86087428,-0.8609,2.5717697724303434e-05,4,61
LSM6,-0.25507466,-0.2551,2.53407720961496e-05,1,13
CDC25B,-0.73887634,-0.7389,2.3662102243804384e-05,4,342
TRIM24,-0.63852216,-0.6385,2.2159955056832992e-05,4,464
PKM,-0.24641992,-0.2464,1.9917086140297524e-05,4,395
TGFBR1,-0.45361932,-0.4536,1.932440769358834e-05,4,232
INPP5D,-1.18941807,-1.1894,1.8067068480842607e-05,4,407
PPM1D,-0.11438244,-0.1144,1.7558285617724767e-05,4,297
CSF2RB,-0.9054831,-0.9055,1.68977520517144e-05,4,273
MAPK14,-1.23261619,-1.2326,1.6193927858010326e-05,4,403
SPTLC2,-1.81548574,-1.8155,1.4261345833821437e-05,4,239
NDUFV2,-0.71458655,-0.7146,1.3453037534527645e-05,4,394
ZMYND8,-0.28841345,-0.2884,1.344767309419126e-05,4,498
MAP2K6,-0.39841331,-0.3984,1.3306771152410413e-05,4,388
TGFBR2,-0.51198686,-0.512,1.3144725813374336e-05,4,564
CSF2RA,-0.80591173,-0.8059,1.1725992190236845e-05,4,254
IFNAR2,-1.09368906,-1.0937,1.0944862474993045e-05,4,252
NDUFS5,-1.4316105,-1.4316,1.0502093005237967e-05,4,207
AARS,-1.56029328,-1.5603,6.7216320143170805e-06,1,18
RPS6KA6,-0.47740637,-0.4774,6.370079221607039e-06,4,402
RIOK2,-0.36440384,-0.3644,3.835843576216469e-06,3,45
MED1,-0.83039639,-0.8304,3.6065288533393414e-06,4,195
DBF4,-0.61460255,-0.6146,2.5461847473762234e-06,4,301
