donor_id,AT8_available
H19.33.004,True
H20.33.001,True
H20.33.002,True
H20.33.004,True
H20.33.005,True
H20.33.008,True
H20.33.011,True
H20.33.012,True
H20.33.013,True
H20.33.014,True
H20.33.015,True
H20.33.016,True
H20.33.017,True
H20.33.018,True
H20.33.019,True
H20.33.020,True
H20.33.024,True
H20.33.025,True
H20.33.026,True
H20.33.027,True
H20.33.028,True
H20.33.029,True
H20.33.030,True
H20.33.031,True
H20.33.032,True
H20.33.033,True
H20.33.034,True
H20.33.035,True
H20.33.036,True
H20.33.037,True
H20.33.038,True
H20.33.039,True
H20.33.040,True
H20.33.041,True
H20.33.043,True
H20.33.044,True
H20.33.045,True
H20.33.046,True
H21.33.001,True
H21.33.002,True
H21.33.003,True
H21.33.004,True
H21.33.005,True
H21.33.006,True
H21.33.007,True
H21.33.008,True
H21.33.009,True
H21.33.010,True
H21.33.011,True
H21.33.012,True
H21.33.013,True
H21.33.014,True
H21.33.015,True
H21.33.016,True
H21.33.017,True
H21.33.018,True
H21.33.019,True
H21.33.020,True
H21.33.021,True
H21.33.022,True
H21.33.023,True
H21.33.025,True
H21.33.026,True
H21.33.027,True
H21.33.028,True
H21.33.029,True
H21.33.030,True
H21.33.031,True
H21.33.032,True
H21.33.033,True
H21.33.034,True
H21.33.035,True
H21.33.036,True
H21.33.037,True
H21.33.038,True
H21.33.039,True
H21.33.040,True
H21.33.041,True
H21.33.042,True
H21.33.043,True
H21.33.044,True
H21.33.045,True
H21.33.046,True
H21.33.047,True
