donor_id,cells,split_hash,role,tail_measurable,namespace
H21.33.039,200,003f93e36ab269ee91e8497a445a153ebbe3d57488ba3c5f249cc6f765b33bd3,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H20.33.036,142,0132748d3a3f1b33ff646e14ec53128be09335a0bbad812163ac082a93e3cc80,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H21.33.040,379,1dce2845d7b57d12db3c1c414b852d80146f45ad122b4423fc450c81d174fd03,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H21.33.012,209,2463f3e0036dfa203c96a337ec21b36dc35f2270b774e3adb859fcf28db06c92,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H20.33.012,480,2599fa598a5727bbbff7ad95a6c678fbee8b68dd471aaf3f3c59296455cdb911,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H20.33.040,516,28abf5a9b20521f45683eed6ef40ae56c3a5ff0543956b3b3f485aa799fc9df3,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H20.33.017,515,2cdb928efb12fe97844d3c04d1771b980ab5b7bfbffb9ea47a64cdf0027ed210,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H21.33.002,432,2d621e6cff96b2cc3d0d7c7b3e4772363ebc22b23a363879f324302eb04a221e,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H20.33.035,192,2fb6e234e76dd8726c645e3944108c9ed4c434556807f7c319eed810f2e32acb,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H20.33.020,579,336a41e50be440cd118efea2b781cf9d789f25b586f0d87efd0f5c059ec8786d,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H21.33.028,749,3742002a46ccdf30465d9b89f597374a650111aca194066c32291f7721cf1db8,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H21.33.014,234,38e62dc40e2938f8f2e27d8895ab6a42afbfb3f1ba9748784f0b387e24acfc62,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H20.33.027,214,3f2fddd799d840bcc1830a958ff521a697a42bad998d3abcba69c6b75657b192,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H20.33.024,117,53846a02814d5d6a53002c59613660b8699812375ead841baf29fdb6c9af2600,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H21.33.047,382,56de916cfef3e2f677ef67eacc65ae6c049a10f0a5f960b8974cc5c3fa3d7a18,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H20.33.004,677,5ea20e272ce3214b76dcabd438f02622bd2ceaf7f6507a4849808962070e2dfd,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
