relative_path,bytes,sha256
F1_EVIDENCE_TREND_COMPLETE_GATE_VECTOR_COMPARISON.json,1191,afecf274da675efc5df6db181f754e73a091324a1e6c7b92d7f453f5b9efd169
F1_EVIDENCE_TREND_EXACT_FLAT_FIXTURE_BINDING.json,211,2ea98a25983cde7db2b996e647ef4f316abfbd61fb10fcab5b268a285592c63d
F1_EVIDENCE_TREND_EXACT_FLAT_FIXTURES_F64LE.bin,160,fb2061a0942506ad87cb655e7c533a4aaff45d386c8cde5a75407b5a966b4c86
F1_EVIDENCE_TREND_INDEPENDENT_REFERENCE_RESULTS.json,1576,1f45147c18f9b958369ec0556a82527ff0cb03f67915740631bf27148e1d3961
F1_EVIDENCE_TREND_LEGACY_DEFECT_DEMONSTRATION.json,306,73b20f3695b102cb58a57af9655e14c4ca28b52a3e4ab4eaa7c18457707a53b1
F1_EVIDENCE_TREND_LINEAR_FIXTURE_BINDING.json,200,aca1c0f037549503951d5d18b08fb64e3a2e4c631fee6f50e3a35fc7a7198b96
F1_EVIDENCE_TREND_LINEAR_FIXTURES_F64LE.bin,80,34e8098c1ba3de9928ecaea1b4ddab421c42b472b543c32b2f221fa7a07422d2
F1_EVIDENCE_TREND_NEAR_BOUNDARY_FIXTURE_BINDING.json,647,a7a7a7ee4649feae249630fa892e4bee74ac42e178e95304b9e3c50da14da932
F1_EVIDENCE_TREND_NEAR_BOUNDARY_NEGATIVE_F64LE.bin,4160,7e63fba7fa2f4f53baded85d52685152a4f0473034586a533ee9aca34615b030
F1_EVIDENCE_TREND_NEAR_BOUNDARY_POSITIVE_F64LE.bin,4160,95c1ea0d35804021d61e178255febff65fb1ffe87327f47aabda66db125c1298
F1_EVIDENCE_TREND_NUMERICAL_COMPARISON.json,881,31c1cd1f0be44e1a591e25486cb0da9330a4efa8fc45bbacaec88a30f06d6b4d
F1_EVIDENCE_TREND_REGRESSION_RESULTS.json,1597,9a5ea65fab4d228789c85b86853ce341248f248ceef71c3d7195287068b6827c
F1_EVIDENCE_TREND_REPAIR_AUTHORITY_BINDING.json,1537,2ce5500cc627e1afeab2dd88949958414c24e0f077e66c74fb29bd0115ff923a
F1_EVIDENCE_TREND_REPAIR_EXTERNAL_REVIEW_HANDOFF.md,1789,61be41d5e92b79725ea0bd131230a319ea6f7f1d13182f1bbb45f1b015d03e6f
F1_EVIDENCE_TREND_REPAIR_FIREWALL_AUDIT.json,307,822d92384940b509ccf3b40cb7d86a30e6c0af97ddabef130f7c39854088aab9
F1_EVIDENCE_TREND_REPAIR_HISTORICAL_HASH_BINDING.json,1118,ac9ad0d3b423196e91d870852cfbf9a5cc7535b86ef65c7b0b7f9e845ef91dc4
F1_EVIDENCE_TREND_REPAIR_SOURCE_MANIFEST.csv,1626,8af60d1ed55e5d618d1bffb929a24c636a216f8f2fb6482873b2aaaba79d055a
F1_EVIDENCE_TREND_REPAIRED_SLOPE_RESULTS.json,1601,01479265ea69fecebbde1b2db287df66c06d4b3a407021552103668a7a5aaf16
source_snapshots/contextual_target_f1_evidence_slope_v1.py,2121,afa32c5608ed6749e7c61f6ec7183f186377f6bcd29280b330af6a5265be00ce
source_snapshots/contextual_target_f1_evidence_trend_decision_v1.py,2839,99c4b7668d7fcb1b150290fa357f46604df54337061afa914a766b9ee058687b
source_snapshots/finalize_contextual_target_f1_evidence_trend_repair_v1.py,7266,88dc82669585b9c5d56813a73887f22e35c7d8a730364ddf65e8200c6f8985ed
source_snapshots/run_contextual_target_f1_evidence_trend_repair_v1.py,16546,8d161d4d47cd1600b3c15cf4f7a95bd48162c5e38c040fa0c33f70cec1f0f0b1
source_snapshots/test_contextual_target_f1_evidence_trend_numerical_v1.py,9684,2dccdcbf079bb7d360211de10eff458b94c62cbc9745c0f7898e765baa51927c
source_snapshots/validate_contextual_target_f1_evidence_trend_v1.py,2660,a89e6f1adad920fb6d183b262b81fd26a4cd9f543083e7de55470a43eccb08d7
