guide_id,target_id,target_class,nominated_gene,nominated_gene_measured
ELMO1_tss_g1,ELMO1_tss,tss_cis_element,ELMO1,True
ELMO1_tss_g2,ELMO1_tss,tss_cis_element,ELMO1,True
ELMO1_tss_g3,ELMO1_tss,tss_cis_element,ELMO1,True
MERTK_tss_g1,MERTK_tss,tss_cis_element,MERTK,True
MERTK_tss_g2,MERTK_tss,tss_cis_element,MERTK,True
MERTK_tss_g3,MERTK_tss,tss_cis_element,MERTK,True
MAF_tss_g1,MAF_tss,tss_cis_element,MAF,True
MAF_tss_g2,MAF_tss,tss_cis_element,MAF,True
MAF_tss_g3,MAF_tss,tss_cis_element,MAF,True
SLC25A19_tss_g1,SLC25A19_tss,tss_cis_element,SLC25A19,True
SLC25A19_tss_g2,SLC25A19_tss,tss_cis_element,SLC25A19,True
SLC25A19_tss_g3,SLC25A19_tss,tss_cis_element,SLC25A19,True
MARCHF1_tss_g1,MARCHF1_tss,tss_cis_element,MARCHF1,False
MARCHF1_tss_g2,MARCHF1_tss,tss_cis_element,MARCHF1,False
MARCHF1_tss_g3,MARCHF1_tss,tss_cis_element,MARCHF1,False
IRF5_tss_g1,IRF5_tss,tss_cis_element,IRF5,True
IRF5_tss_g2,IRF5_tss,tss_cis_element,IRF5,True
IRF5_tss_g3,IRF5_tss,tss_cis_element,IRF5,True
IFNGR1_tss_g1,IFNGR1_tss,tss_cis_element,IFNGR1,True
IFNGR1_tss_g2,IFNGR1_tss,tss_cis_element,IFNGR1,True
IFNGR1_tss_g3,IFNGR1_tss,tss_cis_element,IFNGR1,True
C3_tss_g1,C3_tss,tss_cis_element,C3,True
C3_tss_g2,C3_tss,tss_cis_element,C3,True
C3_tss_g3,C3_tss,tss_cis_element,C3,True
CD86_tss_g1,CD86_tss,tss_cis_element,CD86,True
CD86_tss_g2,CD86_tss,tss_cis_element,CD86,True
CD86_tss_g3,CD86_tss,tss_cis_element,CD86,True
ELMO1_nsig_e1_g1,ELMO1_nsig_e1,other,,False
ELMO1_nsig_e1_g2,ELMO1_nsig_e1,other,,False
ELMO1_nsig_e1_g3,ELMO1_nsig_e1,other,,False
ELMO1_nsig_e1_g4,ELMO1_nsig_e1,other,,False
ELMO1_nsig_e1_g5,ELMO1_nsig_e1,other,,False
ELMO1_nsig_e2_g1,ELMO1_nsig_e2,other,,False
ELMO1_nsig_e2_g2,ELMO1_nsig_e2,other,,False
ELMO1_nsig_e2_g3,ELMO1_nsig_e2,other,,False
ELMO1_nsig_e2_g5,ELMO1_nsig_e2,other,,False
ELMO1_nsig_e3_g1,ELMO1_nsig_e3,other,,False
ELMO1_nsig_e3_g2,ELMO1_nsig_e3,other,,False
ELMO1_nsig_e3_g3,ELMO1_nsig_e3,other,,False
ELMO1_nsig_e3_g4,ELMO1_nsig_e3,other,,False
ELMO1_nsig_e3_g5,ELMO1_nsig_e3,other,,False
