study,sample,guide_id,target_id,target_class,n_cells,total_counts
GSE311359,S2,IFNGR1_sig_e6_g4,IFNGR1_sig_e6,other,8,42792
GSE311359,S2,IFNGR1_sig_e6_g5,IFNGR1_sig_e6,other,11,48698
GSE311359,S2,IFNGR1_sig_e7_g1,IFNGR1_sig_e7,other,9,34729
GSE311359,S2,IFNGR1_sig_e7_g2,IFNGR1_sig_e7,other,11,45472
GSE311359,S2,IFNGR1_sig_e7_g3,IFNGR1_sig_e7,other,1,4155
GSE311359,S2,C3_sig_e1_g1,C3_sig_e1,other,1,3778
GSE311359,S2,C3_sig_e1_g2,C3_sig_e1,other,17,88768
GSE311359,S2,C3_sig_e1_g4,C3_sig_e1,other,7,42430
GSE311359,S2,C3_sig_e1_g5,C3_sig_e1,other,7,29314
GSE311359,S2,C3_sig_e2_g1,C3_sig_e2,other,15,75171
GSE311359,S2,C3_sig_e2_g2,C3_sig_e2,other,3,9146
GSE311359,S2,C3_sig_e2_g3,C3_sig_e2,other,7,30946
GSE311359,S2,C3_sig_e2_g4,C3_sig_e2,other,11,80649
GSE311359,S2,C3_sig_e2_g5,C3_sig_e2,other,16,61576
GSE311359,S2,C3_sig_e2_g6,C3_sig_e2,other,6,26730
GSE311359,S2,C3_sig_e2_g7,C3_sig_e2,other,15,70463
GSE311359,S2,C3_sig_e2_g8,C3_sig_e2,other,3,17558
GSE311359,S2,C3_sig_e2_g10,C3_sig_e2,other,6,19428
GSE311359,S2,C3_sig_e2_g11,C3_sig_e2,other,4,11589
GSE311359,S2,C3_sig_e2_g12,C3_sig_e2,other,5,22328
GSE311359,S2,CD86_sig_e1_g1,CD86_sig_e1,other,16,58997
GSE311359,S2,CD86_sig_e1_g2,CD86_sig_e1,other,15,67858
GSE311359,S2,CD86_sig_e1_g3,CD86_sig_e1,other,9,40217
GSE311359,S2,CD86_sig_e1_g4,CD86_sig_e1,other,1,2305
GSE311359,S2,CD86_sig_e1_g5,CD86_sig_e1,other,14,59786
GSE311359,S2,CD86_sig_e1_g6,CD86_sig_e1,other,2,7902
GSE311359,S2,CD86_sig_e1_g7,CD86_sig_e1,other,43,200984
GSE311359,S2,CD86_sig_e1_g8,CD86_sig_e1,other,14,57232
GSE311359,S2,CD86_sig_e1_g9,CD86_sig_e1,other,5,21726
GSE311359,S2,CD86_sig_e1_g10,CD86_sig_e1,other,20,84875
GSE311359,S2,CD86_sig_e2_g1,CD86_sig_e2,other,23,91523
GSE311359,S2,CD86_sig_e2_g2,CD86_sig_e2,other,8,31112
GSE311359,S2,CD86_sig_e2_g3,CD86_sig_e2,other,9,37408
GSE311359,S2,non-targeting_00000,non-targeting_00000,non_targeting_control,14,70355
GSE311359,S2,non-targeting_00002,non-targeting_00002,non_targeting_control,11,42049
GSE311359,S2,non-targeting_00003,non-targeting_00003,non_targeting_control,22,107126
GSE311359,S2,non-targeting_00004,non-targeting_00004,non_targeting_control,7,28532
GSE311359,S2,non-targeting_00005,non-targeting_00005,non_targeting_control,23,110331
GSE311359,S2,non-targeting_00007,non-targeting_00007,non_targeting_control,12,55213
GSE311359,S2,non-targeting_00008,non-targeting_00008,non_targeting_control,12,48547
GSE311359,S2,non-targeting_00009,non-targeting_00009,non_targeting_control,8,36168
GSE311359,S2,non-targeting_00010,non-targeting_00010,non_targeting_control,1,5247
GSE311359,S2,non-targeting_00012,non-targeting_00012,non_targeting_control,15,62364
GSE311359,S2,non-targeting_00013,non-targeting_00013,non_targeting_control,13,56138
GSE311359,S2,non-targeting_00014,non-targeting_00014,non_targeting_control,5,18139
GSE311359,S2,ELMO1_tss_g4,ELMO1_tss,tss_cis_element,16,71049
GSE311359,S2,BIN1_tss_g1,BIN1_tss,tss_cis_element,9,39709
GSE311359,S2,BIN1_tss_g2,BIN1_tss,tss_cis_element,5,20412
GSE311359,S2,BIN1,BIN1,other,32,0
GSE311359,S2,BIN1,BIN1,other,32,0
GSE311359,S2,BIN1,BIN1,other,32,121130
GSE311359,S3,ELMO1_tss_g1,ELMO1_tss,tss_cis_element,1,2930
GSE311359,S3,ELMO1_tss_g2,ELMO1_tss,tss_cis_element,2,5588
GSE311359,S3,ELMO1_tss_g3,ELMO1_tss,tss_cis_element,15,60011
GSE311359,S3,MERTK_tss_g1,MERTK_tss,tss_cis_element,9,37875
GSE311359,S3,MERTK_tss_g2,MERTK_tss,tss_cis_element,10,44097
GSE311359,S3,MERTK_tss_g3,MERTK_tss,tss_cis_element,8,36740
GSE311359,S3,MAF_tss_g1,MAF_tss,tss_cis_element,2,7507
GSE311359,S3,MAF_tss_g2,MAF_tss,tss_cis_element,10,32670
GSE311359,S3,MAF_tss_g3,MAF_tss,tss_cis_element,3,13624
GSE311359,S3,SLC25A19_tss_g1,SLC25A19_tss,tss_cis_element,5,25962
GSE311359,S3,SLC25A19_tss_g2,SLC25A19_tss,tss_cis_element,5,17646
GSE311359,S3,SLC25A19_tss_g3,SLC25A19_tss,tss_cis_element,6,19911
GSE311359,S3,MARCHF1_tss_g2,MARCHF1_tss,tss_cis_element,4,13833
GSE311359,S3,MARCHF1_tss_g3,MARCHF1_tss,tss_cis_element,5,29133
GSE311359,S3,IRF5_tss_g1,IRF5_tss,tss_cis_element,4,17146
GSE311359,S3,IRF5_tss_g2,IRF5_tss,tss_cis_element,5,25096
GSE311359,S3,IRF5_tss_g3,IRF5_tss,tss_cis_element,7,34081
GSE311359,S3,IFNGR1_tss_g1,IFNGR1_tss,tss_cis_element,4,15368
GSE311359,S3,IFNGR1_tss_g2,IFNGR1_tss,tss_cis_element,8,42169
GSE311359,S3,C3_tss_g2,C3_tss,tss_cis_element,8,36811
GSE311359,S3,C3_tss_g3,C3_tss,tss_cis_element,28,118675
GSE311359,S3,CD86_tss_g1,CD86_tss,tss_cis_element,38,164939
GSE311359,S3,CD86_tss_g2,CD86_tss,tss_cis_element,5,16533
GSE311359,S3,CD86_tss_g3,CD86_tss,tss_cis_element,1,3074
GSE311359,S3,ELMO1_nsig_e1_g2,ELMO1_nsig_e1,other,2,14698
GSE311359,S3,ELMO1_nsig_e1_g3,ELMO1_nsig_e1,other,7,30053
GSE311359,S3,ELMO1_nsig_e1_g4,ELMO1_nsig_e1,other,12,58089
GSE311359,S3,ELMO1_nsig_e1_g5,ELMO1_nsig_e1,other,2,9726
GSE311359,S3,ELMO1_nsig_e2_g1,ELMO1_nsig_e2,other,24,99481
GSE311359,S3,ELMO1_nsig_e2_g3,ELMO1_nsig_e2,other,14,71832
GSE311359,S3,ELMO1_nsig_e2_g5,ELMO1_nsig_e2,other,14,64294
GSE311359,S3,ELMO1_nsig_e3_g2,ELMO1_nsig_e3,other,10,49918
GSE311359,S3,ELMO1_nsig_e3_g4,ELMO1_nsig_e3,other,15,61695
GSE311359,S3,ELMO1_nsig_e3_g5,ELMO1_nsig_e3,other,13,52445
GSE311359,S3,ELMO1_nsig_gwas_g1,ELMO1_nsig_gwas,other,8,38974
GSE311359,S3,ELMO1_nsig_gwas_g2,ELMO1_nsig_gwas,other,6,23906
GSE311359,S3,ELMO1_nsig_gwas_g3,ELMO1_nsig_gwas,other,2,7945
GSE311359,S3,ELMO1_nsig_gwas_g4,ELMO1_nsig_gwas,other,7,27092
GSE311359,S3,ELMO1_nsig_gwas_g5,ELMO1_nsig_gwas,other,11,58794
GSE311359,S3,MERTK_nsig_e1_g1,MERTK_nsig_e1,other,11,45035
GSE311359,S3,MERTK_nsig_e1_g2,MERTK_nsig_e1,other,17,83670
GSE311359,S3,MERTK_nsig_e1_g3,MERTK_nsig_e1,other,5,22089
GSE311359,S3,MERTK_nsig_e1_g4,MERTK_nsig_e1,other,31,136550
GSE311359,S3,MERTK_nsig_e1_g5,MERTK_nsig_e1,other,12,37607
GSE311359,S3,MERTK_nsig_e2_g1,MERTK_nsig_e2,other,19,68603
GSE311359,S3,MERTK_nsig_e2_g2,MERTK_nsig_e2,other,7,25991
GSE311359,S3,MERTK_nsig_e2_g3,MERTK_nsig_e2,other,3,13259
GSE311359,S3,MERTK_nsig_e2_g4,MERTK_nsig_e2,other,4,14028
GSE311359,S3,MERTK_nsig_e2_g5,MERTK_nsig_e2,other,8,32241
GSE311359,S3,MERTK_nsig_e2_g6,MERTK_nsig_e2,other,5,31513
GSE311359,S3,MERTK_nsig_e2_g7,MERTK_nsig_e2,other,12,68728
GSE311359,S3,MERTK_nsig_e2_g8,MERTK_nsig_e2,other,2,8276
GSE311359,S3,MERTK_nsig_e3_g1,MERTK_nsig_e3,other,13,58619
GSE311359,S3,MERTK_nsig_e3_g3,MERTK_nsig_e3,other,24,104290
GSE311359,S3,MERTK_nsig_e3_g4,MERTK_nsig_e3,other,10,43341
GSE311359,S3,MERTK_nsig_e3_g5,MERTK_nsig_e3,other,8,31438
GSE311359,S3,MERTK_nsig_e4_g1,MERTK_nsig_e4,other,13,64867
GSE311359,S3,MERTK_nsig_e4_g2,MERTK_nsig_e4,other,3,8704
GSE311359,S3,MAF_nsig_e1_g1,MAF_nsig_e1,other,11,46390
GSE311359,S3,MAF_nsig_e1_g2,MAF_nsig_e1,other,7,27267
GSE311359,S3,MAF_nsig_e1_g3,MAF_nsig_e1,other,1,5409
GSE311359,S3,MAF_nsig_e1_g4,MAF_nsig_e1,other,16,72299
GSE311359,S3,MAF_nsig_e1_g5,MAF_nsig_e1,other,11,44760
GSE311359,S3,MAF_nsig_e2_g1,MAF_nsig_e2,other,14,73924
GSE311359,S3,MAF_nsig_e2_g2,MAF_nsig_e2,other,4,15063
GSE311359,S3,MAF_nsig_e2_g3,MAF_nsig_e2,other,5,24974
GSE311359,S3,MAF_genebodyctrl_g1,MAF_genebodyctrl,other,12,52757
GSE311359,S3,MAF_genebodyctrl_g2,MAF_genebodyctrl,other,12,53542
GSE311359,S3,MAF_genebodyctrl_g3,MAF_genebodyctrl,other,25,116497
GSE311359,S3,MARCHF1_nsig_e1_g1,MARCHF1_nsig_e1,other,15,69693
GSE311359,S3,MARCHF1_nsig_e1_g2,MARCHF1_nsig_e1,other,1,5709
GSE311359,S3,MARCHF1_nsig_e1_g4,MARCHF1_nsig_e1,other,5,24260
GSE311359,S3,MARCHF1_nsig_e1_g5,MARCHF1_nsig_e1,other,5,21262
GSE311359,S3,MARCHF1_nsig_e2_g1,MARCHF1_nsig_e2,other,1,12695
GSE311359,S3,MARCHF1_nsig_e2_g2,MARCHF1_nsig_e2,other,18,78658
GSE311359,S3,MARCHF1_nsig_e2_g3,MARCHF1_nsig_e2,other,1,6753
GSE311359,S3,MARCHF1_nsig_e2_g4,MARCHF1_nsig_e2,other,12,42635
GSE311359,S3,MARCHF1_nsig_e2_g5,MARCHF1_nsig_e2,other,13,65297
GSE311359,S3,IRF5_nsig_e1_g1,IRF5_nsig_e1,other,5,25785
GSE311359,S3,IRF5_nsig_e1_g2,IRF5_nsig_e1,other,31,150723
GSE311359,S3,IRF5_nsig_e1_g3,IRF5_nsig_e1,other,12,49302
GSE311359,S3,IRF5_nsig_e1_g4,IRF5_nsig_e1,other,1,2873
GSE311359,S3,IRF5_nsig_e1_g5,IRF5_nsig_e1,other,8,35818
GSE311359,S3,SLC25A19_nsig_e1_g1,SLC25A19_nsig_e1,other,4,20817
GSE311359,S3,SLC25A19_nsig_e1_g2,SLC25A19_nsig_e1,other,16,66445
GSE311359,S3,SLC25A19_nsig_e1_g3,SLC25A19_nsig_e1,other,5,25812
GSE311359,S3,SLC25A19_nsig_e1_g4,SLC25A19_nsig_e1,other,3,10349
GSE311359,S3,SLC25A19_nsig_e1_g5,SLC25A19_nsig_e1,other,15,71392
GSE311359,S3,SLC25A19_nsig_e2_g1,SLC25A19_nsig_e2,other,3,15878
GSE311359,S3,SLC25A19_nsig_e2_g3,SLC25A19_nsig_e2,other,7,42660
GSE311359,S3,SLC25A19_nsig_e2_g4,SLC25A19_nsig_e2,other,1,4780
GSE311359,S3,SLC25A19_nsig_e2_g5,SLC25A19_nsig_e2,other,10,36717
GSE311359,S3,IFNGR1_nsig_e1_g1,IFNGR1_nsig_e1,other,21,111309
GSE311359,S3,IFNGR1_nsig_e1_g2,IFNGR1_nsig_e1,other,8,34166
GSE311359,S3,IFNGR1_nsig_e1_g3,IFNGR1_nsig_e1,other,2,9979
GSE311359,S3,IFNGR1_nsig_e1_g4,IFNGR1_nsig_e1,other,12,71580
GSE311359,S3,IFNGR1_nsig_e1_g5,IFNGR1_nsig_e1,other,11,46929
GSE311359,S3,IFNGR1_nsig_e1_g6,IFNGR1_nsig_e1,other,5,15913
GSE311359,S3,IFNGR1_nsig_e1_g7,IFNGR1_nsig_e1,other,8,29700
GSE311359,S3,IFNGR1_nsig_e2_g2,IFNGR1_nsig_e2,other,7,29760
GSE311359,S3,IFNGR1_nsig_e2_g3,IFNGR1_nsig_e2,other,13,59080
GSE311359,S3,IFNGR1_nsig_e2_g4,IFNGR1_nsig_e2,other,24,108385
GSE311359,S3,IFNGR1_nsig_e2_g5,IFNGR1_nsig_e2,other,8,31664
GSE311359,S3,C3_nsig_e1_g1,C3_nsig_e1,other,11,54443
GSE311359,S3,C3_nsig_e1_g2,C3_nsig_e1,other,7,29880
GSE311359,S3,C3_nsig_e1_g3,C3_nsig_e1,other,12,57541
GSE311359,S3,CD86_nsig_e1_g1,CD86_nsig_e1,other,22,95301
GSE311359,S3,CD86_nsig_e1_g2,CD86_nsig_e1,other,15,75102
GSE311359,S3,CD86_nsig_e1_g3,CD86_nsig_e1,other,14,57520
GSE311359,S3,CD86_nsig_e2_g1,CD86_nsig_e2,other,19,67812
GSE311359,S3,CD86_nsig_e2_g2,CD86_nsig_e2,other,11,49701
GSE311359,S3,CD86_nsig_e2_g3,CD86_nsig_e2,other,6,25342
GSE311359,S3,ELMO1_sig_e1_g1,ELMO1_sig_e1,other,19,83370
GSE311359,S3,ELMO1_sig_e1_g2,ELMO1_sig_e1,other,16,67467
GSE311359,S3,ELMO1_sig_e1_g3,ELMO1_sig_e1,other,1,5563
GSE311359,S3,ELMO1_sig_e1_g4,ELMO1_sig_e1,other,20,84512
GSE311359,S3,ELMO1_sig_e1_g5,ELMO1_sig_e1,other,12,48496
GSE311359,S3,ELMO1_sig_e1_g7,ELMO1_sig_e1,other,3,13958
GSE311359,S3,ELMO1_sig_e1_g8,ELMO1_sig_e1,other,5,14948
GSE311359,S3,ELMO1_sig_e2_g1,ELMO1_sig_e2,other,7,37256
GSE311359,S3,ELMO1_sig_e2_g2,ELMO1_sig_e2,other,12,54251
GSE311359,S3,ELMO1_sig_e2_g3,ELMO1_sig_e2,other,19,91161
GSE311359,S3,ELMO1_sig_e2_g4,ELMO1_sig_e2,other,11,48287
GSE311359,S3,ELMO1_sig_e2_g5,ELMO1_sig_e2,other,8,37859
GSE311359,S3,ELMO1_sig_e2_g6,ELMO1_sig_e2,other,9,37013
GSE311359,S3,ELMO1_sig_e2_g7,ELMO1_sig_e2,other,24,102714
GSE311359,S3,ELMO1_sig_e2_g8,ELMO1_sig_e2,other,6,31939
GSE311359,S3,ELMO1_sig_e2_g9,ELMO1_sig_e2,other,17,92020
GSE311359,S3,ELMO1_sig_e2_g10,ELMO1_sig_e2,other,8,35418
GSE311359,S3,ELMO1_sig_e2_g11,ELMO1_sig_e2,other,2,5201
GSE311359,S3,ELMO1_sig_e2_g13,ELMO1_sig_e2,other,17,111111
GSE311359,S3,ELMO1_sig_e3_g1,ELMO1_sig_e3,other,10,50091
GSE311359,S3,ELMO1_sig_e3_g2,ELMO1_sig_e3,other,8,44579
GSE311359,S3,ELMO1_sig_e3_g3,ELMO1_sig_e3,other,15,67742
GSE311359,S3,ELMO1_sig_e3_g4,ELMO1_sig_e3,other,22,75900
GSE311359,S3,ELMO1_sig_e3_g5,ELMO1_sig_e3,other,18,91349
GSE311359,S3,ELMO1_sig_e4_g1,ELMO1_sig_e4,other,14,63162
GSE311359,S3,ELMO1_sig_e4_g2,ELMO1_sig_e4,other,10,45614
GSE311359,S3,ELMO1_sig_e4_g3,ELMO1_sig_e4,other,11,40281
GSE311359,S3,ELMO1_sig_e4_g4,ELMO1_sig_e4,other,7,34720
GSE311359,S3,ELMO1_sig_e4_g5,ELMO1_sig_e4,other,20,96248
GSE311359,S3,ELMO1_sig_e5_g1,ELMO1_sig_e5,other,19,67730
GSE311359,S3,ELMO1_sig_e5_g2,ELMO1_sig_e5,other,8,32492
GSE311359,S3,ELMO1_sig_e5_g3,ELMO1_sig_e5,other,24,99377
GSE311359,S3,ELMO1_sig_e5_g4,ELMO1_sig_e5,other,23,98983
GSE311359,S3,ELMO1_sig_e5_g5,ELMO1_sig_e5,other,10,49969
GSE311359,S3,ELMO1_sig_e5_g6,ELMO1_sig_e5,other,11,48592
GSE311359,S3,ELMO1_sig_e5_g7,ELMO1_sig_e5,other,8,41630
GSE311359,S3,ELMO1_sig_e5_g8,ELMO1_sig_e5,other,29,134041
GSE311359,S3,MERTK_sig_e1_g1,MERTK_sig_e1,other,7,34711
GSE311359,S3,MERTK_sig_e1_g2,MERTK_sig_e1,other,9,37878
GSE311359,S3,MERTK_sig_e1_g3,MERTK_sig_e1,other,13,54643
GSE311359,S3,MERTK_sig_e1_g4,MERTK_sig_e1,other,4,14559
GSE311359,S3,MERTK_sig_e1_g5,MERTK_sig_e1,other,7,23568
GSE311359,S3,MERTK_sig_e1_g6,MERTK_sig_e1,other,25,89105
GSE311359,S3,MERTK_sig_e1_g7,MERTK_sig_e1,other,44,200685
GSE311359,S3,MERTK_sig_e1_g8,MERTK_sig_e1,other,9,47133
GSE311359,S3,MERTK_sig_e1_g9,MERTK_sig_e1,other,27,127813
GSE311359,S3,MERTK_sig_e1_g10,MERTK_sig_e1,other,3,11521
GSE311359,S3,MERTK_sig_e2_g1,MERTK_sig_e2,other,10,43876
GSE311359,S3,MERTK_sig_e2_g2,MERTK_sig_e2,other,2,15178
GSE311359,S3,MERTK_sig_e2_g4,MERTK_sig_e2,other,3,6255
GSE311359,S3,MERTK_sig_e2_g5,MERTK_sig_e2,other,9,36683
GSE311359,S3,MERTK_sig_e2_g6,MERTK_sig_e2,other,29,103846
GSE311359,S3,MERTK_sig_e2_g7,MERTK_sig_e2,other,12,58397
GSE311359,S3,MERTK_sig_e2_g8,MERTK_sig_e2,other,11,44217
GSE311359,S3,MERTK_sig_e3_g1,MERTK_sig_e3,other,3,11986
GSE311359,S3,MERTK_sig_e3_g2,MERTK_sig_e3,other,8,32542
GSE311359,S3,MERTK_sig_e3_g3,MERTK_sig_e3,other,10,45751
GSE311359,S3,MERTK_sig_e3_g4,MERTK_sig_e3,other,4,14657
GSE311359,S3,MERTK_sig_e3_g5,MERTK_sig_e3,other,13,48465
GSE311359,S3,MERTK_sig_e4_g1,MERTK_sig_e4,other,32,115257
GSE311359,S3,MERTK_sig_e4_g3,MERTK_sig_e4,other,20,87639
GSE311359,S3,MERTK_sig_e4_g4,MERTK_sig_e4,other,10,55155
GSE311359,S3,MERTK_sig_e4_g5,MERTK_sig_e4,other,9,46580
GSE311359,S3,MERTK_sig_e4_g6,MERTK_sig_e4,other,8,28869
GSE311359,S3,MERTK_sig_e4_g7,MERTK_sig_e4,other,13,69508
GSE311359,S3,MAF_sig_e1_g1,MAF_sig_e1,other,13,67446
GSE311359,S3,MAF_sig_e1_g2,MAF_sig_e1,other,14,67873
GSE311359,S3,MAF_sig_e1_g4,MAF_sig_e1,other,4,18342
GSE311359,S3,MAF_sig_e2_g1,MAF_sig_e2,other,20,84546
GSE311359,S3,MAF_sig_e2_g3,MAF_sig_e2,other,12,49941
GSE311359,S3,MAF_sig_e2_g4,MAF_sig_e2,other,2,8702
GSE311359,S3,MAF_sig_e3_g1,MAF_sig_e3,other,14,59517
GSE311359,S3,MAF_sig_e3_g2,MAF_sig_e3,other,12,51548
GSE311359,S3,MAF_sig_e3_g3,MAF_sig_e3,other,11,42764
GSE311359,S3,MAF_sig_e3_g4,MAF_sig_e3,other,15,80578
GSE311359,S3,MAF_sig_e3_g5,MAF_sig_e3,other,20,85954
GSE311359,S3,MAF_sig_e4_g1,MAF_sig_e4,other,15,66786
GSE311359,S3,MAF_sig_e4_g2,MAF_sig_e4,other,13,50471
GSE311359,S3,MAF_sig_e4_g3,MAF_sig_e4,other,19,84639
GSE311359,S3,MAF_sig_e4_g4,MAF_sig_e4,other,10,51559
GSE311359,S3,MAF_sig_e4_g5,MAF_sig_e4,other,2,6353
GSE311359,S3,MAF_sig_e4_g6,MAF_sig_e4,other,4,17103
GSE311359,S3,MAF_sig_e4_g7,MAF_sig_e4,other,4,14887
GSE311359,S3,MAF_sig_e4_g8,MAF_sig_e4,other,8,39888
GSE311359,S3,MAF_sig_e4_g9,MAF_sig_e4,other,16,63343
GSE311359,S3,MARCHF1_sig_e1_g1,MARCHF1_sig_e1,other,14,60059
GSE311359,S3,MARCHF1_sig_e1_g2,MARCHF1_sig_e1,other,11,40440
GSE311359,S3,MARCHF1_sig_e1_g3,MARCHF1_sig_e1,other,8,38125
GSE311359,S3,MARCHF1_sig_e1_g4,MARCHF1_sig_e1,other,14,57175
GSE311359,S3,MARCHF1_sig_e1_g5,MARCHF1_sig_e1,other,11,45243
GSE311359,S3,MARCHF1_sig_e2_g2,MARCHF1_sig_e2,other,12,53536
GSE311359,S3,MARCHF1_sig_e2_g3,MARCHF1_sig_e2,other,17,80147
GSE311359,S3,MARCHF1_sig_e2_g4,MARCHF1_sig_e2,other,17,57308
GSE311359,S3,MARCHF1_sig_e2_g5,MARCHF1_sig_e2,other,13,51982
GSE311359,S3,MARCHF1_sig_e2_g6,MARCHF1_sig_e2,other,13,67095
GSE311359,S3,MARCHF1_sig_e2_g7,MARCHF1_sig_e2,other,5,21123
GSE311359,S3,MARCHF1_sig_e2_g8,MARCHF1_sig_e2,other,22,100376
GSE311359,S3,MARCHF1_sig_e2_g9,MARCHF1_sig_e2,other,14,66337
GSE311359,S3,MARCHF1_sig_e2_g10,MARCHF1_sig_e2,other,16,70418
GSE311359,S3,MARCHF1_sig_e2_g11,MARCHF1_sig_e2,other,13,52346
GSE311359,S3,MARCHF1_sig_e2_g12,MARCHF1_sig_e2,other,11,45900
GSE311359,S3,IRF5_sig_e1_g1,IRF5_sig_e1,other,25,104714
GSE311359,S3,IRF5_sig_e1_g2,IRF5_sig_e1,other,26,105291
GSE311359,S3,IRF5_sig_e1_g3,IRF5_sig_e1,other,10,37861
GSE311359,S3,IRF5_sig_e1_g4,IRF5_sig_e1,other,1,5331
GSE311359,S3,IRF5_sig_e1_g5,IRF5_sig_e1,other,13,45826
GSE311359,S3,IRF5_sig_e1_g6,IRF5_sig_e1,other,13,50777
GSE311359,S3,IRF5_sig_e1_g7,IRF5_sig_e1,other,9,36895
GSE311359,S3,IRF5_sig_e1_g8,IRF5_sig_e1,other,4,16081
GSE311359,S3,IRF5_sig_e1_g9,IRF5_sig_e1,other,2,7031
GSE311359,S3,IRF5_sig_e1_g10,IRF5_sig_e1,other,11,51614
GSE311359,S3,SLC25A19_sig_e1_g1,SLC25A19_sig_e1,other,7,25692
GSE311359,S3,SLC25A19_sig_e1_g2,SLC25A19_sig_e1,other,12,43930
GSE311359,S3,SLC25A19_sig_e1_g3,SLC25A19_sig_e1,other,11,60567
GSE311359,S3,SLC25A19_sig_e1_g5,SLC25A19_sig_e1,other,13,56660
GSE311359,S3,SLC25A19_sig_e2_g1,SLC25A19_sig_e2,other,3,10985
GSE311359,S3,SLC25A19_sig_e2_g2,SLC25A19_sig_e2,other,1,6590
GSE311359,S3,SLC25A19_sig_e2_g3,SLC25A19_sig_e2,other,6,23085
GSE311359,S3,SLC25A19_sig_e2_g4,SLC25A19_sig_e2,other,6,34087
GSE311359,S3,SLC25A19_sig_e2_g5,SLC25A19_sig_e2,other,18,80386
GSE311359,S3,SLC25A19_sig_e3_g1,SLC25A19_sig_e3,other,7,27141
GSE311359,S3,SLC25A19_sig_e3_g2,SLC25A19_sig_e3,other,1,3984
GSE311359,S3,SLC25A19_sig_e3_g3,SLC25A19_sig_e3,other,13,70808
GSE311359,S3,SLC25A19_sig_e3_g4,SLC25A19_sig_e3,other,17,63752
GSE311359,S3,SLC25A19_sig_e3_g5,SLC25A19_sig_e3,other,3,12932
GSE311359,S3,SLC25A19_sig_e4_g1,SLC25A19_sig_e4,other,10,49716
GSE311359,S3,SLC25A19_sig_e4_g2,SLC25A19_sig_e4,other,12,50828
GSE311359,S3,SLC25A19_sig_e4_g3,SLC25A19_sig_e4,other,15,79750
GSE311359,S3,SLC25A19_sig_e4_g4,SLC25A19_sig_e4,other,17,73727
GSE311359,S3,SLC25A19_sig_e4_g6,SLC25A19_sig_e4,other,29,117244
GSE311359,S3,SLC25A19_sig_e4_g7,SLC25A19_sig_e4,other,7,32418
GSE311359,S3,SLC25A19_sig_e4_g8,SLC25A19_sig_e4,other,14,60651
GSE311359,S3,SLC25A19_sig_e4_g9,SLC25A19_sig_e4,other,22,100774
GSE311359,S3,SLC25A19_sig_e4_g10,SLC25A19_sig_e4,other,18,73944
GSE311359,S3,SLC25A19_sig_e4_g11,SLC25A19_sig_e4,other,14,55760
GSE311359,S3,SLC25A19_sig_e4_g12,SLC25A19_sig_e4,other,12,42865
GSE311359,S3,SLC25A19_sig_e4_g13,SLC25A19_sig_e4,other,18,75971
GSE311359,S3,SLC25A19_sig_e4_g14,SLC25A19_sig_e4,other,20,106970
GSE311359,S3,SLC25A19_sig_e4_g15,SLC25A19_sig_e4,other,3,5840
GSE311359,S3,SLC25A19_sig_e4_g16,SLC25A19_sig_e4,other,15,58363
GSE311359,S3,SLC25A19_sig_e4_g17,SLC25A19_sig_e4,other,18,82052
GSE311359,S3,SLC25A19_sig_e4_g18,SLC25A19_sig_e4,other,8,39871
GSE311359,S3,SLC25A19_sig_e4_g19,SLC25A19_sig_e4,other,3,12419
GSE311359,S3,SLC25A19_sig_e4_g20,SLC25A19_sig_e4,other,12,53911
GSE311359,S3,SLC25A19_sig_e5_g1,SLC25A19_sig_e5,other,11,53566
GSE311359,S3,SLC25A19_sig_e5_g2,SLC25A19_sig_e5,other,22,85380
GSE311359,S3,SLC25A19_sig_e5_g3,SLC25A19_sig_e5,other,6,36104
GSE311359,S3,SLC25A19_sig_e5_g4,SLC25A19_sig_e5,other,11,43382
GSE311359,S3,SLC25A19_sig_e5_g5,SLC25A19_sig_e5,other,1,7787
GSE311359,S3,SLC25A19_sig_e6_g1,SLC25A19_sig_e6,other,8,36387
GSE311359,S3,SLC25A19_sig_e6_g2,SLC25A19_sig_e6,other,11,55577
GSE311359,S3,SLC25A19_sig_e6_g3,SLC25A19_sig_e6,other,21,93199
GSE311359,S3,SLC25A19_sig_e6_g5,SLC25A19_sig_e6,other,9,37533
GSE311359,S3,SLC25A19_sig_e7_g1,SLC25A19_sig_e7,other,24,106075
GSE311359,S3,SLC25A19_sig_e7_g2,SLC25A19_sig_e7,other,2,6872
GSE311359,S3,SLC25A19_sig_e7_g3,SLC25A19_sig_e7,other,8,34557
GSE311359,S3,SLC25A19_sig_e7_g4,SLC25A19_sig_e7,other,4,12601
GSE311359,S3,SLC25A19_sig_e7_g5,SLC25A19_sig_e7,other,1,3339
GSE311359,S3,IFNGR1_sig_e1_g1,IFNGR1_sig_e1,other,6,27827
GSE311359,S3,IFNGR1_sig_e1_g2,IFNGR1_sig_e1,other,9,40901
GSE311359,S3,IFNGR1_sig_e1_g3,IFNGR1_sig_e1,other,10,37150
GSE311359,S3,IFNGR1_sig_e1_g4,IFNGR1_sig_e1,other,17,72518
GSE311359,S3,IFNGR1_sig_e1_g5,IFNGR1_sig_e1,other,6,28135
GSE311359,S3,IFNGR1_sig_e2_g1,IFNGR1_sig_e2,other,3,12149
GSE311359,S3,IFNGR1_sig_e2_g2,IFNGR1_sig_e2,other,24,93448
