study,system,sample,target_id,target_class,nominated_gene,engagement_measurable,engagement_unavailable_reason,n_guides,n_cells,n_nt_guides,n_nt_cells,target_log2fc_mean,target_log2fc_se
GSE311359,iPSC_derived_microglia,S1,BIN1,other,BIN1,True,,3,111,15,145,-0.35535441547870183,1.4738591786833213
GSE311359,iPSC_derived_microglia,S2,BIN1,other,BIN1,True,,3,96,12,143,-2.5115995318585447,1.070108483746027
GSE311359,iPSC_derived_microglia,S3,BIN1,other,BIN1,True,,3,108,14,140,-0.6495098643619911,1.7896465152609544
GSE311359,iPSC_derived_microglia,S4,BIN1,other,BIN1,True,,3,87,13,145,-1.5686683950900553,1.4300575638145656
GSE311359,iPSC_derived_microglia,S5,BIN1,other,BIN1,True,,3,135,15,148,-2.2690380179422656,1.5397393009626699
GSE311359,iPSC_derived_microglia,S6,BIN1,other,BIN1,True,,3,96,13,129,-1.942355180596741,1.2381692563316966
GSE311359,iPSC_derived_microglia,S7,BIN1,other,BIN1,True,,3,84,13,135,-2.0444298621486694,1.5947025912766033
GSE311359,iPSC_derived_microglia,S1,BIN1_tss,tss_cis_element,BIN1,True,,2,14,15,145,-1.8292135941620231,0.0
GSE311359,iPSC_derived_microglia,S2,BIN1_tss,tss_cis_element,BIN1,True,,2,14,12,143,-0.7599128090434188,2.8217952065611525
GSE311359,iPSC_derived_microglia,S3,BIN1_tss,tss_cis_element,BIN1,True,,2,18,14,140,-2.4391563796229456,0.0
GSE311359,iPSC_derived_microglia,S4,BIN1_tss,tss_cis_element,BIN1,True,,2,17,13,145,-2.998725958904621,0.0
GSE311359,iPSC_derived_microglia,S5,BIN1_tss,tss_cis_element,BIN1,True,,2,15,15,148,-1.5333381461518285,2.275439172753107
GSE311359,iPSC_derived_microglia,S6,BIN1_tss,tss_cis_element,BIN1,True,,2,10,13,129,-0.925380797042056,2.2551436398863816
GSE311359,iPSC_derived_microglia,S7,BIN1_tss,tss_cis_element,BIN1,True,,2,11,13,135,-3.639132453425272,0.0
GSE311359,iPSC_derived_microglia,S1,C3_nsig_e1,other,C3_nsig_e1,False,no measured feature matches the nominated cis gene,3,35,15,145,,
GSE311359,iPSC_derived_microglia,S2,C3_nsig_e1,other,C3_nsig_e1,False,no measured feature matches the nominated cis gene,3,31,12,143,,
GSE311359,iPSC_derived_microglia,S3,C3_nsig_e1,other,C3_nsig_e1,False,no measured feature matches the nominated cis gene,3,30,14,140,,
GSE311359,iPSC_derived_microglia,S4,C3_nsig_e1,other,C3_nsig_e1,False,no measured feature matches the nominated cis gene,3,41,13,145,,
GSE311359,iPSC_derived_microglia,S5,C3_nsig_e1,other,C3_nsig_e1,False,no measured feature matches the nominated cis gene,3,32,15,148,,
GSE311359,iPSC_derived_microglia,S6,C3_nsig_e1,other,C3_nsig_e1,False,no measured feature matches the nominated cis gene,3,27,13,129,,
GSE311359,iPSC_derived_microglia,S7,C3_nsig_e1,other,C3_nsig_e1,False,no measured feature matches the nominated cis gene,3,25,13,135,,
GSE311359,iPSC_derived_microglia,S1,C3_sig_e1,other,C3_sig_e1,False,no measured feature matches the nominated cis gene,4,35,15,145,,
GSE311359,iPSC_derived_microglia,S2,C3_sig_e1,other,C3_sig_e1,False,no measured feature matches the nominated cis gene,4,32,12,143,,
GSE311359,iPSC_derived_microglia,S3,C3_sig_e1,other,C3_sig_e1,False,no measured feature matches the nominated cis gene,4,38,14,140,,
GSE311359,iPSC_derived_microglia,S4,C3_sig_e1,other,C3_sig_e1,False,no measured feature matches the nominated cis gene,4,38,13,145,,
GSE311359,iPSC_derived_microglia,S5,C3_sig_e1,other,C3_sig_e1,False,no measured feature matches the nominated cis gene,4,31,15,148,,
GSE311359,iPSC_derived_microglia,S6,C3_sig_e1,other,C3_sig_e1,False,no measured feature matches the nominated cis gene,4,36,13,129,,
GSE311359,iPSC_derived_microglia,S7,C3_sig_e1,other,C3_sig_e1,False,no measured feature matches the nominated cis gene,4,39,13,135,,
GSE311359,iPSC_derived_microglia,S1,C3_sig_e2,other,C3_sig_e2,False,no measured feature matches the nominated cis gene,11,105,15,145,,
GSE311359,iPSC_derived_microglia,S2,C3_sig_e2,other,C3_sig_e2,False,no measured feature matches the nominated cis gene,11,91,12,143,,
GSE311359,iPSC_derived_microglia,S3,C3_sig_e2,other,C3_sig_e2,False,no measured feature matches the nominated cis gene,11,115,14,140,,
GSE311359,iPSC_derived_microglia,S4,C3_sig_e2,other,C3_sig_e2,False,no measured feature matches the nominated cis gene,11,104,13,145,,
GSE311359,iPSC_derived_microglia,S5,C3_sig_e2,other,C3_sig_e2,False,no measured feature matches the nominated cis gene,11,96,15,148,,
GSE311359,iPSC_derived_microglia,S6,C3_sig_e2,other,C3_sig_e2,False,no measured feature matches the nominated cis gene,11,96,13,129,,
GSE311359,iPSC_derived_microglia,S7,C3_sig_e2,other,C3_sig_e2,False,no measured feature matches the nominated cis gene,11,93,13,135,,
GSE311359,iPSC_derived_microglia,S1,C3_tss,tss_cis_element,C3,True,,3,33,15,145,-6.050260291728741,3.1133151161230317
GSE311359,iPSC_derived_microglia,S2,C3_tss,tss_cis_element,C3,True,,2,25,12,143,-1.8605746571211585,2.0579883777978387
GSE311359,iPSC_derived_microglia,S3,C3_tss,tss_cis_element,C3,True,,2,36,14,140,-1.7164959132811854,1.6979421690288679
GSE311359,iPSC_derived_microglia,S4,C3_tss,tss_cis_element,C3,True,,3,37,13,145,-3.902816301113606,2.7116139242282715
GSE311359,iPSC_derived_microglia,S5,C3_tss,tss_cis_element,C3,True,,2,51,15,148,-2.2125757128987473,2.2878730613480105
GSE311359,iPSC_derived_microglia,S6,C3_tss,tss_cis_element,C3,True,,2,29,13,129,-4.775016410980975,4.627445872306931
GSE311359,iPSC_derived_microglia,S7,C3_tss,tss_cis_element,C3,True,,2,32,13,135,-2.1848145622215984,2.0598717543581855
GSE311359,iPSC_derived_microglia,S1,CD86_nsig_e1,other,CD86_nsig_e1,False,no measured feature matches the nominated cis gene,3,45,15,145,,
GSE311359,iPSC_derived_microglia,S2,CD86_nsig_e1,other,CD86_nsig_e1,False,no measured feature matches the nominated cis gene,3,43,12,143,,
GSE311359,iPSC_derived_microglia,S3,CD86_nsig_e1,other,CD86_nsig_e1,False,no measured feature matches the nominated cis gene,3,51,14,140,,
GSE311359,iPSC_derived_microglia,S4,CD86_nsig_e1,other,CD86_nsig_e1,False,no measured feature matches the nominated cis gene,3,43,13,145,,
GSE311359,iPSC_derived_microglia,S5,CD86_nsig_e1,other,CD86_nsig_e1,False,no measured feature matches the nominated cis gene,3,40,15,148,,
GSE311359,iPSC_derived_microglia,S6,CD86_nsig_e1,other,CD86_nsig_e1,False,no measured feature matches the nominated cis gene,3,53,13,129,,
GSE311359,iPSC_derived_microglia,S7,CD86_nsig_e1,other,CD86_nsig_e1,False,no measured feature matches the nominated cis gene,3,41,13,135,,
GSE311359,iPSC_derived_microglia,S1,CD86_nsig_e2,other,CD86_nsig_e2,False,no measured feature matches the nominated cis gene,3,36,15,145,,
GSE311359,iPSC_derived_microglia,S2,CD86_nsig_e2,other,CD86_nsig_e2,False,no measured feature matches the nominated cis gene,3,36,12,143,,
GSE311359,iPSC_derived_microglia,S3,CD86_nsig_e2,other,CD86_nsig_e2,False,no measured feature matches the nominated cis gene,3,36,14,140,,
GSE311359,iPSC_derived_microglia,S4,CD86_nsig_e2,other,CD86_nsig_e2,False,no measured feature matches the nominated cis gene,3,47,13,145,,
GSE311359,iPSC_derived_microglia,S5,CD86_nsig_e2,other,CD86_nsig_e2,False,no measured feature matches the nominated cis gene,3,32,15,148,,
GSE311359,iPSC_derived_microglia,S6,CD86_nsig_e2,other,CD86_nsig_e2,False,no measured feature matches the nominated cis gene,3,50,13,129,,
GSE311359,iPSC_derived_microglia,S7,CD86_nsig_e2,other,CD86_nsig_e2,False,no measured feature matches the nominated cis gene,3,41,13,135,,
GSE311359,iPSC_derived_microglia,S1,CD86_sig_e1,other,CD86_sig_e1,False,no measured feature matches the nominated cis gene,9,108,15,145,,
GSE311359,iPSC_derived_microglia,S2,CD86_sig_e1,other,CD86_sig_e1,False,no measured feature matches the nominated cis gene,10,139,12,143,,
GSE311359,iPSC_derived_microglia,S3,CD86_sig_e1,other,CD86_sig_e1,False,no measured feature matches the nominated cis gene,10,108,14,140,,
GSE311359,iPSC_derived_microglia,S4,CD86_sig_e1,other,CD86_sig_e1,False,no measured feature matches the nominated cis gene,9,120,13,145,,
GSE311359,iPSC_derived_microglia,S5,CD86_sig_e1,other,CD86_sig_e1,False,no measured feature matches the nominated cis gene,10,143,15,148,,
GSE311359,iPSC_derived_microglia,S6,CD86_sig_e1,other,CD86_sig_e1,False,no measured feature matches the nominated cis gene,9,126,13,129,,
GSE311359,iPSC_derived_microglia,S7,CD86_sig_e1,other,CD86_sig_e1,False,no measured feature matches the nominated cis gene,9,112,13,135,,
GSE311359,iPSC_derived_microglia,S1,CD86_sig_e2,other,CD86_sig_e2,False,no measured feature matches the nominated cis gene,3,41,15,145,,
GSE311359,iPSC_derived_microglia,S2,CD86_sig_e2,other,CD86_sig_e2,False,no measured feature matches the nominated cis gene,3,40,12,143,,
GSE311359,iPSC_derived_microglia,S3,CD86_sig_e2,other,CD86_sig_e2,False,no measured feature matches the nominated cis gene,3,35,14,140,,
GSE311359,iPSC_derived_microglia,S4,CD86_sig_e2,other,CD86_sig_e2,False,no measured feature matches the nominated cis gene,3,45,13,145,,
GSE311359,iPSC_derived_microglia,S5,CD86_sig_e2,other,CD86_sig_e2,False,no measured feature matches the nominated cis gene,3,33,15,148,,
GSE311359,iPSC_derived_microglia,S6,CD86_sig_e2,other,CD86_sig_e2,False,no measured feature matches the nominated cis gene,3,30,13,129,,
GSE311359,iPSC_derived_microglia,S7,CD86_sig_e2,other,CD86_sig_e2,False,no measured feature matches the nominated cis gene,3,35,13,135,,
GSE311359,iPSC_derived_microglia,S1,CD86_tss,tss_cis_element,CD86,True,,2,38,15,145,-0.7868167779332249,0.7180594803336143
GSE311359,iPSC_derived_microglia,S2,CD86_tss,tss_cis_element,CD86,True,,2,39,12,143,-0.9193543236413606,0.8407877306657947
GSE311359,iPSC_derived_microglia,S3,CD86_tss,tss_cis_element,CD86,True,,3,44,14,140,-3.7577047222089512,2.2436172801367116
GSE311359,iPSC_derived_microglia,S4,CD86_tss,tss_cis_element,CD86,True,,2,23,13,145,-0.9796268729030109,0.00019908116904954198
GSE311359,iPSC_derived_microglia,S5,CD86_tss,tss_cis_element,CD86,True,,2,35,15,148,-1.0627810014406975,0.1946583416168863
GSE311359,iPSC_derived_microglia,S6,CD86_tss,tss_cis_element,CD86,True,,2,30,13,129,-1.3460815466859963,0.0421740130121333
GSE311359,iPSC_derived_microglia,S7,CD86_tss,tss_cis_element,CD86,True,,2,35,13,135,-0.4162771708163935,0.09972563342306318
GSE311359,iPSC_derived_microglia,S1,ELMO1_nsig_e1,other,ELMO1_nsig_e1,False,no measured feature matches the nominated cis gene,4,33,15,145,,
GSE311359,iPSC_derived_microglia,S2,ELMO1_nsig_e1,other,ELMO1_nsig_e1,False,no measured feature matches the nominated cis gene,4,19,12,143,,
