minimum_expected_group_hits_within_half_life,half_life_fraction_num,half_life_fraction_den,half_life_fraction_of_horizon,half_life_presentations_exact_num,half_life_presentations_exact_den,half_life_presentations_float,minimum_group_expected_hits_recomputed,median_group_expected_hits,maximum_group_expected_hits,per_min_group_zero_hit_poisson_bound,all_1400_groups_zero_hit_union_bound,selection_authority
1,1,16,0.0625,4553407,16,284587.9375,1.0,93.3387770906232,3758.8893346386544,0.36787944117144233,515.0312176400192,False
2,1,8,0.125,4553407,8,569175.875,2.0,186.6775541812464,7517.778669277309,0.1353352832366127,189.4693965312578,False
4,1,4,0.25,4553407,4,1138351.75,4.0,373.3551083624928,15035.557338554618,0.01831563888873418,25.64189444422785,False
8,1,2,0.5,4553407,2,2276703.5,8.0,746.7102167249856,30071.114677109235,0.00033546262790251185,0.4696476790635166,False
12,3,4,0.75,13660221,4,3415055.25,12.0,1120.0653250874784,45106.672015663855,6.14421235332821e-06,0.008601897294659494,False
16,1,1,1.0,4553407,1,4553407.0,16.0,1493.4204334499711,60142.22935421847,1.1253517471925912e-07,0.00015754924460696277,False
