operator_index,matrix_id,source,operator_measured,family,family_support_count,family_loss_weight_num,family_loss_weight_den,family_loss_weight,target_count,student_visible_count,teacher_support_count,target_fraction_within_family,student_visible_fraction_of_universe,per_address_expected_loss_mass
0,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
0,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
1,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
1,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
2,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
2,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
3,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
3,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
4,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
4,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
5,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
5,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
6,HVS::5fff0955-173e-407d-b160-64f513ca6db6,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
6,HVS::5fff0955-173e-407d-b160-64f513ca6db6,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
7,HVS::6201fd7d-f35b-4487-bace-99426881237b,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
7,HVS::6201fd7d-f35b-4487-bace-99426881237b,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
8,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
8,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
9,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
9,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
10,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
10,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
