"guide_donor","guide_identity","donor","Gene_Targeted","crispr","n_cells","total_counts"
"ADA2_CRISPRi_sgRNA_2||D2","ADA2_CRISPRi_sgRNA_2","D2","ADA2","Perturbed",38,327823
"ADA2_CRISPRi_sgRNA_3||D1","ADA2_CRISPRi_sgRNA_3","D1","ADA2","Perturbed",17,182370
"ADA2_CRISPRi_sgRNA_3||D2","ADA2_CRISPRi_sgRNA_3","D2","ADA2","Perturbed",14,164300
"ADA2_CRISPRi_sgRNA_4||D1","ADA2_CRISPRi_sgRNA_4","D1","ADA2","Perturbed",7,62863
"ADA2_CRISPRi_sgRNA_4||D2","ADA2_CRISPRi_sgRNA_4","D2","ADA2","Perturbed",7,42781
"ADA2_CRISPRi_sgRNA_5||D1","ADA2_CRISPRi_sgRNA_5","D1","ADA2","Perturbed",26,260305
"ADA2_CRISPRi_sgRNA_5||D2","ADA2_CRISPRi_sgRNA_5","D2","ADA2","Perturbed",18,129338
"ADAM10_CRISPRi_sgRNA_1||D1","ADAM10_CRISPRi_sgRNA_1","D1","ADAM10","Perturbed",8,63971
"ADAM10_CRISPRi_sgRNA_1||D2","ADAM10_CRISPRi_sgRNA_1","D2","ADAM10","Perturbed",8,62772
"ADAM10_CRISPRi_sgRNA_2||D1","ADAM10_CRISPRi_sgRNA_2","D1","ADAM10","Perturbed",19,226847
"ADAM10_CRISPRi_sgRNA_2||D2","ADAM10_CRISPRi_sgRNA_2","D2","ADAM10","Perturbed",16,104016
"ADAM10_CRISPRi_sgRNA_3||D1","ADAM10_CRISPRi_sgRNA_3","D1","ADAM10","Perturbed",3,20673
"ADAM10_CRISPRi_sgRNA_3||D2","ADAM10_CRISPRi_sgRNA_3","D2","ADAM10","Perturbed",5,31420
"ADAM10_CRISPRi_sgRNA_4||D1","ADAM10_CRISPRi_sgRNA_4","D1","ADAM10","Perturbed",9,69480
"ADAM10_CRISPRi_sgRNA_4||D2","ADAM10_CRISPRi_sgRNA_4","D2","ADAM10","Perturbed",10,83052
"ADAM10_CRISPRi_sgRNA_5||D1","ADAM10_CRISPRi_sgRNA_5","D1","ADAM10","Perturbed",23,225288
"ADAM10_CRISPRi_sgRNA_5||D2","ADAM10_CRISPRi_sgRNA_5","D2","ADAM10","Perturbed",15,116725
"ADGRG1_CRISPRi_sgRNA_1||D1","ADGRG1_CRISPRi_sgRNA_1","D1","ADGRG1","Perturbed",20,156017
"ADGRG1_CRISPRi_sgRNA_1||D2","ADGRG1_CRISPRi_sgRNA_1","D2","ADGRG1","Perturbed",7,44631
"ADGRG1_CRISPRi_sgRNA_2||D1","ADGRG1_CRISPRi_sgRNA_2","D1","ADGRG1","Perturbed",8,80634
"ADGRG1_CRISPRi_sgRNA_2||D2","ADGRG1_CRISPRi_sgRNA_2","D2","ADGRG1","Perturbed",4,34666
"ADGRG1_CRISPRi_sgRNA_3||D1","ADGRG1_CRISPRi_sgRNA_3","D1","ADGRG1","Perturbed",4,25434
"ADGRG1_CRISPRi_sgRNA_3||D2","ADGRG1_CRISPRi_sgRNA_3","D2","ADGRG1","Perturbed",1,19911
"ADGRG1_CRISPRi_sgRNA_4||D1","ADGRG1_CRISPRi_sgRNA_4","D1","ADGRG1","Perturbed",32,324143
"ADGRG1_CRISPRi_sgRNA_4||D2","ADGRG1_CRISPRi_sgRNA_4","D2","ADGRG1","Perturbed",20,148159
"ADGRG1_CRISPRi_sgRNA_5||D1","ADGRG1_CRISPRi_sgRNA_5","D1","ADGRG1","Perturbed",12,97257
"ADGRG1_CRISPRi_sgRNA_5||D2","ADGRG1_CRISPRi_sgRNA_5","D2","ADGRG1","Perturbed",6,42542
"AIF1_CRISPRi_sgRNA_1||D1","AIF1_CRISPRi_sgRNA_1","D1","AIF1","Perturbed",6,49491
"AIF1_CRISPRi_sgRNA_1||D2","AIF1_CRISPRi_sgRNA_1","D2","AIF1","Perturbed",3,17760
"AIF1_CRISPRi_sgRNA_2||D1","AIF1_CRISPRi_sgRNA_2","D1","AIF1","Perturbed",28,216970
"AIF1_CRISPRi_sgRNA_2||D2","AIF1_CRISPRi_sgRNA_2","D2","AIF1","Perturbed",15,129833
"AIF1_CRISPRi_sgRNA_3||D1","AIF1_CRISPRi_sgRNA_3","D1","AIF1","Perturbed",10,81857
"AIF1_CRISPRi_sgRNA_3||D2","AIF1_CRISPRi_sgRNA_3","D2","AIF1","Perturbed",7,46042
"AIF1_CRISPRi_sgRNA_4||D1","AIF1_CRISPRi_sgRNA_4","D1","AIF1","Perturbed",10,74295
"AIF1_CRISPRi_sgRNA_4||D2","AIF1_CRISPRi_sgRNA_4","D2","AIF1","Perturbed",11,90114
"AIF1_CRISPRi_sgRNA_5||D1","AIF1_CRISPRi_sgRNA_5","D1","AIF1","Perturbed",2,24298
"AIF1_CRISPRi_sgRNA_5||D2","AIF1_CRISPRi_sgRNA_5","D2","AIF1","Perturbed",4,54460
"APOC1_CRISPRi_sgRNA_1||D1","APOC1_CRISPRi_sgRNA_1","D1","APOC1","Perturbed",5,50499
"APOC1_CRISPRi_sgRNA_1||D2","APOC1_CRISPRi_sgRNA_1","D2","APOC1","Perturbed",7,44632
"APOC1_CRISPRi_sgRNA_2||D1","APOC1_CRISPRi_sgRNA_2","D1","APOC1","Perturbed",2,36847
"APOC1_CRISPRi_sgRNA_2||D2","APOC1_CRISPRi_sgRNA_2","D2","APOC1","Perturbed",2,20512
"APOC1_CRISPRi_sgRNA_3||D1","APOC1_CRISPRi_sgRNA_3","D1","APOC1","Perturbed",19,194921
"APOC1_CRISPRi_sgRNA_3||D2","APOC1_CRISPRi_sgRNA_3","D2","APOC1","Perturbed",9,61012
"APOC1_CRISPRi_sgRNA_4||D1","APOC1_CRISPRi_sgRNA_4","D1","APOC1","Perturbed",7,70325
"APOC1_CRISPRi_sgRNA_4||D2","APOC1_CRISPRi_sgRNA_4","D2","APOC1","Perturbed",11,61247
"APOC1_CRISPRi_sgRNA_5||D1","APOC1_CRISPRi_sgRNA_5","D1","APOC1","Perturbed",16,128018
"APOC1_CRISPRi_sgRNA_5||D2","APOC1_CRISPRi_sgRNA_5","D2","APOC1","Perturbed",12,83198
"APOE_CRISPRi_sgRNA_1||D1","APOE_CRISPRi_sgRNA_1","D1","APOE","Perturbed",24,228157
"APOE_CRISPRi_sgRNA_1||D2","APOE_CRISPRi_sgRNA_1","D2","APOE","Perturbed",10,83303
"APOE_CRISPRi_sgRNA_3||D1","APOE_CRISPRi_sgRNA_3","D1","APOE","Perturbed",53,505756
"APOE_CRISPRi_sgRNA_3||D2","APOE_CRISPRi_sgRNA_3","D2","APOE","Perturbed",18,148189
"APOE_CRISPRi_sgRNA_4||D1","APOE_CRISPRi_sgRNA_4","D1","APOE","Perturbed",45,433411
"APOE_CRISPRi_sgRNA_4||D2","APOE_CRISPRi_sgRNA_4","D2","APOE","Perturbed",26,221611
"APOE_CRISPRi_sgRNA_5||D1","APOE_CRISPRi_sgRNA_5","D1","APOE","Perturbed",1,4773
"APOE_CRISPRi_sgRNA_5||D2","APOE_CRISPRi_sgRNA_5","D2","APOE","Perturbed",2,14526
"APP_CRISPRi_sgRNA_1||D1","APP_CRISPRi_sgRNA_1","D1","APP","Perturbed",25,232533
"APP_CRISPRi_sgRNA_1||D2","APP_CRISPRi_sgRNA_1","D2","APP","Perturbed",12,87098
