"study","assay_object","donor","target_gene","target_gene_measured","n_guides","n_cells","n_nt_guides","n_nt_cells","target_log2fc_mean","target_log2fc_sd","target_log2fc_se"
"GSE301119","CRISPRi","D2","C3AR1",TRUE,5,53,90,759,-2.79042387776131,2.24501629949787,1.00400181125445
"GSE301119","CRISPRi","D2","C9orf72",TRUE,2,13,90,759,-3.92890868695271,4.21847713968015,2.98291379174826
"GSE301119","CRISPRi","D2","CCR2",TRUE,4,97,90,759,0,0,0
"GSE301119","CRISPRi","D2","CD14",TRUE,4,33,90,759,-0.931593856557606,1.03150579712752,0.515752898563761
"GSE301119","CRISPRi","D2","CD180",TRUE,4,32,90,759,-1.91070659585565,0,0
"GSE301119","CRISPRi","D2","CD19",TRUE,5,48,90,759,0.695902403834502,1.8706516352787,0.836580843740863
"GSE301119","CRISPRi","D2","CD1D",TRUE,5,88,90,759,-1.86447225664797,2.10498799435675,0.941379249440526
"GSE301119","CRISPRi","D2","CD200R1",TRUE,5,15,90,759,-1.75981222631823,0,0
"GSE301119","CRISPRi","D2","CD226",TRUE,4,28,90,759,-1.45340638512303,2.43239115389218,1.21619557694609
"GSE301119","CRISPRi","D2","CD300A",TRUE,5,67,90,759,-2.16301519159541,2.54893487103012,1.1399183283686
"GSE301119","CRISPRi","D2","CD300C",TRUE,5,61,90,759,0.651432238793891,2.30020313136901,1.0286821127598
"GSE301119","CRISPRi","D2","CD300LB",TRUE,5,50,90,759,-0.97657498099547,2.26943085178281,1.01492033096432
"GSE301119","CRISPRi","D2","CD300LF",TRUE,5,26,90,759,-3.01320893220291,0,0
"GSE301119","CRISPRi","D2","CD33",TRUE,4,47,90,759,-1.63008648714407,1.24107878058876,0.620539390294381
"GSE301119","CRISPRi","D2","CD37",TRUE,5,46,90,759,-3.38642616231578,2.53258695022311,1.13260731592555
"GSE301119","CRISPRi","D2","CD40",TRUE,5,40,90,759,-1.44675977372355,2.61376232525644,1.16891004726026
"GSE301119","CRISPRi","D2","CD44",TRUE,5,35,90,759,0.01710255457568,0.577944467723695,0.258464623410023
"GSE301119","CRISPRi","D2","CD48",TRUE,4,32,90,759,-2.47216908851387,2.63444377128688,1.31722188564344
"GSE301119","CRISPRi","D2","CD52",TRUE,3,24,90,759,0.195928189518862,3.29807411177669,1.90414397624161
"GSE301119","CRISPRi","D2","CD58",TRUE,4,37,90,759,-1.63427790132833,3.10184758275766,1.55092379137883
"GSE301119","CRISPRi","D2","CD68",TRUE,4,54,90,759,-1.92309507758887,0.331240837487758,0.165620418743879
"GSE301119","CRISPRi","D2","CD69",TRUE,5,46,90,759,-1.16910848877884,0,0
"GSE301119","CRISPRi","D2","CD80",TRUE,4,18,90,759,-1.86489138906407,2.58220491894128,1.29110245947064
"GSE301119","CRISPRi","D2","CD81",TRUE,5,33,90,759,-0.262218187981563,0.821160942137653,0.367234337417513
"GSE301119","CRISPRi","D2","CD86",TRUE,5,70,90,759,-0.026114280524013,0.3537612057337,0.158206820764568
"GSE301119","CRISPRi","D2","CEMIP2",TRUE,4,38,90,759,-0.887046218728357,2.78277923997919,1.39138961998959
"GSE301119","CRISPRi","D2","CHRNE",TRUE,5,35,90,759,-0.714467487300248,0,0
"GSE301119","CRISPRi","D2","CLDN7",TRUE,5,25,90,759,-1.16155343734905,1.98074178386589,0.885814654919663
"GSE301119","CRISPRi","D2","CLEC2B",TRUE,5,28,90,759,0.292600813094812,0.362010268549593,0.161895913805969
"GSE301119","CRISPRi","D2","CLEC2D",TRUE,5,54,90,759,1.16543511839567,0.57545562095406,0.257351577297526
"GSE301119","CRISPRi","D2","CLEC7A",TRUE,5,17,90,759,-4.19053799501499,3.55574485098358,1.59017743948883
"GSE301119","CRISPRi","D2","CLECL1",TRUE,4,36,90,759,-1.46272076109832,2.70356763242347,1.35178381621173
"GSE301119","CRISPRi","D2","CLIC1",TRUE,3,29,90,759,-3.22948423350098,4.43404898192494,2.55999937331435
