"study","assay_object","donor","target_gene","target_gene_measured","n_guides","n_cells","n_nt_guides","n_nt_cells","target_log2fc_mean","target_log2fc_sd","target_log2fc_se"
"GSE301119","CRISPRi","D1","EPHA1",TRUE,5,119,98,1425,0,0,0
"GSE301119","CRISPRi","D1","FCER1G",TRUE,5,131,98,1425,-1.91656999578,1.7156121177234,0.767245063650377
"GSE301119","CRISPRi","D1","FCGR1A",TRUE,4,36,98,1425,-1.03413285803214,1.78701224340995,0.893506121704976
"GSE301119","CRISPRi","D1","FCGR2A",TRUE,5,104,98,1425,-2.62442159780993,2.92004048454167,1.30588180409732
"GSE301119","CRISPRi","D1","FCGR2B",TRUE,3,26,98,1425,1.03683520759051,2.59176319687631,1.4963551793923
"GSE301119","CRISPRi","D1","FCGR2C",FALSE,5,87,98,1425,NA,NA,NA
"GSE301119","CRISPRi","D1","FCGR3A",TRUE,5,111,98,1425,-2.10597041418275,0.616844748404038,0.275861357799037
"GSE301119","CRISPRi","D1","FCGR3B",TRUE,5,104,98,1425,-0.353834171481754,1.06318921514862,0.475472671603392
"GSE301119","CRISPRi","D1","FERMT3",TRUE,5,89,98,1425,-0.567250236362741,0.655110746890492,0.29297443256756
"GSE301119","CRISPRi","D1","FLT1",TRUE,5,86,98,1425,-0.317197219521689,0,0
"GSE301119","CRISPRi","D1","FOLR2",TRUE,5,110,98,1425,0.582524822122683,1.42416205707652,0.636904634119806
"GSE301119","CRISPRi","D1","FPR1",TRUE,5,87,98,1425,-0.358231045172915,0.723164408764541,0.323408955381191
"GSE301119","CRISPRi","D1","FPR2",TRUE,5,184,98,1425,-1.79425877569122,1.01126965923272,0.452253540325484
"GSE301119","CRISPRi","D1","FPR3",TRUE,5,52,98,1425,-0.34384066941375,1.07462266625565,0.48058586638194
"GSE301119","CRISPRi","D1","GBA",TRUE,5,81,98,1425,-1.98125881040394,1.84914052892812,0.826960784526637
"GSE301119","CRISPRi","D1","GPNMB",TRUE,5,38,98,1425,-2.36188959251682,3.82237979122591,1.70942020980052
"GSE301119","CRISPRi","D1","GPR141",TRUE,5,60,98,1425,-0.337355141337531,1.35542682725788,0.606165304855099
"GSE301119","CRISPRi","D1","GPR183",TRUE,5,68,98,1425,-3.47144253750375,2.31426740572806,1.034971847464
"GSE301119","CRISPRi","D1","GPR65",TRUE,5,51,98,1425,-1.37253991558561,0.838822078629021,0.375132637768433
"GSE301119","CRISPRi","D1","GPR87",TRUE,5,34,98,1425,0,0,0
"GSE301119","CRISPRi","D1","GRN",TRUE,5,54,98,1425,-3.01271659920426,3.71463784008677,1.6612365444454
"GSE301119","CRISPRi","D1","HAVCR1",TRUE,3,17,98,1425,0.468368118403473,2.50775130560914,1.44785089135407
"GSE301119","CRISPRi","D1","HEXA",TRUE,5,50,98,1425,-2.35446157094621,3.06879284299692,1.37240588116119
"GSE301119","CRISPRi","D1","HEXB",TRUE,5,61,98,1425,-1.10661441464051,0.717014272818768,0.320658530972069
"GSE301119","CRISPRi","D1","HLA-DRB5",TRUE,5,53,98,1425,-0.305526642103888,1.02111476087215,0.456656403627713
"GSE301119","CRISPRi","D1","ICAM1",TRUE,5,112,98,1425,-0.773937779173574,0.665348948106777,0.297553095344947
