replicate,t_depth,t_detect,t_max,argmax_metric
0,0.17011978301378136,0.15978723710657014,0.17011978301378136,Q_DEPTH
1,0.1593133012545963,0.15642918436852316,0.1593133012545963,Q_DEPTH
2,0.24355225453467566,0.21281995118501895,0.24355225453467566,Q_DEPTH
3,0.17556012096391335,0.19135032982082892,0.19135032982082892,Q_DETECT
4,0.19747885930895048,0.2064840809398194,0.2064840809398194,Q_DETECT
5,0.1794248714774308,0.18692057641741722,0.18692057641741722,Q_DETECT
6,0.2556522986191688,0.2462798873189072,0.2556522986191688,Q_DEPTH
7,0.20039801951312997,0.19156518718894178,0.20039801951312997,Q_DEPTH
8,0.25348298519887313,0.23434834860589923,0.25348298519887313,Q_DEPTH
9,0.24835719918537846,0.23611475670392584,0.24835719918537846,Q_DEPTH
10,0.1757624066870981,0.17723103467039608,0.17723103467039608,Q_DETECT
11,0.1737076423346345,0.18492727720492536,0.18492727720492536,Q_DETECT
12,0.23091642411793856,0.2086204385187632,0.23091642411793856,Q_DEPTH
13,0.21848626503056637,0.22501109957171478,0.22501109957171478,Q_DETECT
14,0.2325526509414172,0.2238911584834831,0.2325526509414172,Q_DEPTH
15,0.19078559439272685,0.19773127180659186,0.19773127180659186,Q_DETECT
16,0.24194649684540684,0.2413910221930592,0.24194649684540684,Q_DEPTH
17,0.2600301708903335,0.24481150172159316,0.2600301708903335,Q_DEPTH
18,0.20358572653859797,0.19826938396644742,0.20358572653859797,Q_DEPTH
19,0.25326512025969256,0.24948640424370824,0.25326512025969256,Q_DEPTH
20,0.18448058747508983,0.18174473978013495,0.18448058747508983,Q_DEPTH
21,0.14237487806858284,0.14292790002882333,0.14292790002882333,Q_DETECT
22,0.21622362331509765,0.218021839351936,0.218021839351936,Q_DETECT
23,0.19396582551038644,0.20019191946054488,0.20019191946054488,Q_DETECT
24,0.21065746264596674,0.21654699983397876,0.21654699983397876,Q_DETECT
25,0.227465245616448,0.21988411108439387,0.227465245616448,Q_DEPTH
26,0.22658701896146324,0.20035388487602865,0.22658701896146324,Q_DEPTH
27,0.2771112093164253,0.3018640878734889,0.3018640878734889,Q_DETECT
28,0.17431708719256173,0.1775781213382114,0.1775781213382114,Q_DETECT
29,0.22712287957424573,0.2502469171959918,0.2502469171959918,Q_DETECT
30,0.17023801428826513,0.17237262075930554,0.17237262075930554,Q_DETECT
31,0.24273700879646423,0.22764097455995172,0.24273700879646423,Q_DEPTH
32,0.17885715997140672,0.19323566516533627,0.19323566516533627,Q_DETECT
33,0.1648943119138691,0.18546048779253,0.18546048779253,Q_DETECT
34,0.20446681623496976,0.1836228755018715,0.20446681623496976,Q_DEPTH
35,0.26079366566419926,0.2605777687851365,0.26079366566419926,Q_DEPTH
36,0.26745435297568504,0.2576258497580152,0.26745435297568504,Q_DEPTH
37,0.14647273248071738,0.1456951989274969,0.14647273248071738,Q_DEPTH
38,0.2180497542171108,0.2247950427916776,0.2247950427916776,Q_DETECT
39,0.2564239292583202,0.2557486120442773,0.2564239292583202,Q_DEPTH
40,0.1545234095269656,0.14969132701604573,0.1545234095269656,Q_DEPTH
41,0.16149048386878723,0.16811545135770242,0.16811545135770242,Q_DETECT
42,0.22079615226376517,0.21721669826214154,0.22079615226376517,Q_DEPTH
43,0.18792858817936126,0.1687138759039518,0.18792858817936126,Q_DEPTH
44,0.20381401624887002,0.20078973785119517,0.20381401624887002,Q_DEPTH
45,0.1930397443325203,0.192420807177207,0.1930397443325203,Q_DEPTH
46,0.1950496815584633,0.18900839624636973,0.1950496815584633,Q_DEPTH
47,0.18335362907746522,0.18736296948375675,0.18736296948375675,Q_DETECT
48,0.17877092998969557,0.17771466206110886,0.17877092998969557,Q_DEPTH
49,0.15305256017521518,0.1471585925276697,0.15305256017521518,Q_DEPTH
50,0.1880394235809402,0.18505278235534553,0.1880394235809402,Q_DEPTH
51,0.20949003353442194,0.22820876783927224,0.22820876783927224,Q_DETECT
52,0.2329045686903168,0.21569275001225452,0.2329045686903168,Q_DEPTH
53,0.147760766709884,0.1355199836560384,0.147760766709884,Q_DEPTH
54,0.23077252925729283,0.2525312132835631,0.2525312132835631,Q_DETECT
55,0.2578096195290632,0.23081319948992654,0.2578096195290632,Q_DEPTH
56,0.2395508636442964,0.23427798425556348,0.2395508636442964,Q_DEPTH
