test,class_name,panel,source_pair,n_donors,n_cells,cell_split_edge_r_median,donor_block_edge_r_median,cross_source_edge_r,cross_source_depthmatched_edge_r,disattenuated_cell_reliability,seaad_cap_cells_per_donor
WITHIN_SOURCE_RELIABILITY,Neuronal: Glutamatergic,0,HVS,41,4871.0,0.2941774154246056,0.19416784472728535,,,,
WITHIN_SOURCE_RELIABILITY,Neuronal: Glutamatergic,0,SEA_AD,46,5007.0,0.30249276947650205,0.25480615016021746,,,,
CROSS_SOURCE,Neuronal: Glutamatergic,0,HVS__SEA_AD,41,,,,-0.005491105450255543,-0.0055304176614229174,-0.018407619173099583,117.0
WITHIN_SOURCE_RELIABILITY,Neuronal: Glutamatergic,1,HVS,41,4871.0,0.32002204124592304,0.21341182540701736,,,,
WITHIN_SOURCE_RELIABILITY,Neuronal: Glutamatergic,1,SEA_AD,46,5007.0,0.32803379355906026,0.27239933692940876,,,,
CROSS_SOURCE,Neuronal: Glutamatergic,1,HVS__SEA_AD,41,,,,-0.00308742606957904,-0.0031993479723867015,-0.00952900002801543,117.0
WITHIN_SOURCE_RELIABILITY,Neuronal: Glutamatergic,2,HVS,41,4871.0,0.3445454148307013,0.21765699654772003,,,,
WITHIN_SOURCE_RELIABILITY,Neuronal: Glutamatergic,2,SEA_AD,46,5007.0,0.3497246750937816,0.2900780765038605,,,,
CROSS_SOURCE,Neuronal: Glutamatergic,2,HVS__SEA_AD,41,,,,-0.000718259545876294,-0.0002480494666848062,-0.002069164560947018,117.0
WITHIN_SOURCE_RELIABILITY,Neuronal: Glutamatergic,3,HVS,41,4871.0,0.30696182380646636,0.21619912228307608,,,,
WITHIN_SOURCE_RELIABILITY,Neuronal: Glutamatergic,3,SEA_AD,46,5007.0,0.3243371030280452,0.2745288210478144,,,,
CROSS_SOURCE,Neuronal: Glutamatergic,3,HVS__SEA_AD,41,,,,0.005138529576894917,0.005114416884753793,0.016285397397394794,117.0
WITHIN_SOURCE_RELIABILITY,Neuronal: GABAergic,0,HVS,41,2496.0,0.14491223435768302,0.09956588394320409,,,,
WITHIN_SOURCE_RELIABILITY,Neuronal: GABAergic,0,SEA_AD,46,2509.0,0.1251567296847262,0.12240623088655411,,,,
CROSS_SOURCE,Neuronal: GABAergic,0,HVS__SEA_AD,41,,,,0.0018306997729275899,0.0017093547750947858,0.013593694264443264,61.0
WITHIN_SOURCE_RELIABILITY,Neuronal: GABAergic,1,HVS,41,2496.0,0.15075795887289034,0.09733726737369161,,,,
WITHIN_SOURCE_RELIABILITY,Neuronal: GABAergic,1,SEA_AD,46,2509.0,0.14735968556158086,0.14977070528777683,,,,
CROSS_SOURCE,Neuronal: GABAergic,1,HVS__SEA_AD,41,,,,0.00697782275756625,0.005734750238645669,0.04681558625923233,61.0
WITHIN_SOURCE_RELIABILITY,Neuronal: GABAergic,2,HVS,41,2496.0,0.16152288310777757,0.10751672256094658,,,,
WITHIN_SOURCE_RELIABILITY,Neuronal: GABAergic,2,SEA_AD,46,2509.0,0.16630529334388422,0.17076904453612393,,,,
CROSS_SOURCE,Neuronal: GABAergic,2,HVS__SEA_AD,41,,,,-0.0026946094953038745,-0.003953123086527067,-0.01644090691748854,61.0
WITHIN_SOURCE_RELIABILITY,Neuronal: GABAergic,3,HVS,41,2496.0,0.14298338398600852,0.10702431542042809,,,,
WITHIN_SOURCE_RELIABILITY,Neuronal: GABAergic,3,SEA_AD,46,2509.0,0.10276917862789037,0.09523140008947263,,,,
CROSS_SOURCE,Neuronal: GABAergic,3,HVS__SEA_AD,41,,,,0.00249831386260295,0.002662259135004284,0.02060975216642449,61.0
