panel,source_pair,K,geometry_r,null_p95,null_p99,exact_perm_p,min_donors_per_bin
0,HVS__SEA_AD,8,0.9798935982723348,0.5538767252606942,0.7804388836048454,4.960194439622033e-05,41
0,HVS__NPH52,8,0.6438120830957411,0.5431956905220773,0.6933746566275661,0.022792093450063243,14
0,NPH52__SEA_AD,8,0.6633572164391867,0.546076928169439,0.6826985921424646,0.013566131792366262,14
1,HVS__SEA_AD,8,0.9856194974858811,0.5276923005188132,0.7679188210015081,4.960194439622033e-05,41
1,HVS__NPH52,8,0.7187052027167616,0.532280551968281,0.6451149249548176,0.001959276803650703,14
1,NPH52__SEA_AD,8,0.719787943352527,0.516525594729631,0.6330641364793762,0.0015872622206790506,14
2,HVS__SEA_AD,8,0.9799818211002838,0.5555277348364622,0.7942014542270638,4.960194439622033e-05,41
2,HVS__NPH52,8,0.6490670698046009,0.5457939094757269,0.6934868861739594,0.025545001364053473,14
2,NPH52__SEA_AD,8,0.6181432043265713,0.5402631766429544,0.6782397820431456,0.024825773170308277,14
3,HVS__SEA_AD,8,0.98446805185511,0.5247207656296523,0.7522181036628814,4.960194439622033e-05,41
3,HVS__NPH52,8,0.6534416172583692,0.5439781885865174,0.681864657099174,0.016988665955705463,14
3,NPH52__SEA_AD,8,0.6540511829145691,0.5350091183921724,0.663691352160896,0.011830063738498549,14
