donor_id,tail_before,rest_before,tail_after,rest_after,q_depth_low,q_depth_high,q_detect_low,q_detect_high,q_depth_contrast_before,q_depth_contrast_after,q_detect_contrast_before,q_detect_contrast_after,holdout_cosine_to_unrestricted
H19.33.004,31,690,31,662,7.390798521735676,10.283463897877127,0.03406887900558787,0.19169802714106512,0.2137149995651271,0.16633620734501436,0.29048043543353846,0.265320267828657,0.9990579415061959
H20.33.004,129,548,129,504,7.759614150696903,9.618069581737414,0.04119625955068993,0.14026684912760862,-0.24367581420862647,-0.34443633492782655,-0.29519226352307937,-0.36883393218205124,0.9992283231283292
H20.33.012,42,438,42,387,7.650168700845001,10.058266606323683,0.04054054054054054,0.16706579997719237,0.32390596283514855,0.15439733922186008,0.5155228476662685,0.40330490229858107,0.9973699433226492
H20.33.017,26,489,26,462,7.4673710669175595,9.73554216168668,0.035180750370623785,0.13416581138100125,-0.04705257301832799,-0.11982662079590863,0.05165810328053577,0.014784710196156825,0.9988569513464295
H20.33.020,44,535,44,481,7.655864017616056,10.298868654190272,0.04079712624016422,0.1695461284068879,0.25259205350922753,0.06250365346090295,0.43443139966886946,0.30281246417438773,0.9945096367987095
H20.33.024,6,111,5,60,8.40178233990491,9.14782646658694,0.06922111985403125,0.11036036036036036,0.4731495560595361,-1.082494918366261,0.4948850553145145,-1.0530485193565693,0.9334216649121876
H20.33.027,10,204,10,168,7.7488913372555315,9.205126804923296,0.037233435967613186,0.09881400387729501,0.02804843005144517,-0.252050137990185,-0.007961284213983818,-0.2279018705466029,0.9921087154860855
H20.33.035,5,187,5,44,8.765146421639022,9.300820725104558,0.09251339947542479,0.11517846960884935,0.5343094077309651,-0.3605000056756987,0.7911438606035082,0.7313619451442371,0.963712702898597
H20.33.036,7,135,7,113,7.2875606403097235,9.375430991841775,0.029478845934542138,0.10696772722089178,-0.2624444163735224,-0.08081505473266234,-0.18412720244530778,0.06065549398005213,0.9972898960166524
H20.33.038,15,284,15,262,7.4109518755836366,9.577480365762678,0.03059071729957806,0.11281217926787547,-0.4053399380034137,-0.38926298461640335,-0.3710942402453988,-0.3317162931441988,0.9974529660226593
H20.33.040,29,487,29,459,7.776535028185241,9.924612834151077,0.04028395484091687,0.1471091344509066,0.005065719529426658,-0.06895715521619242,-0.08909232669672926,-0.14811863444213125,0.9979759313645205
H21.33.002,40,392,39,381,7.596392304064196,10.220667745776721,0.04002736914129319,0.16735089519899646,0.28486520778248814,0.1819821457884665,0.49683568395473415,0.41559154745244126,0.9970464912513267
H21.33.012,6,203,5,184,7.807916628926408,9.908723819331374,0.043362983236400955,0.14086554909339719,0.11470099912430237,-0.5523549159182579,0.1590192743767098,-0.6133176384322965,0.9698642592220393
H21.33.014,11,223,11,190,7.3031700512368,8.892473968347087,0.028680579313490707,0.07823012886304026,-0.22784756557203373,0.007390988481186564,-0.14978764189913368,0.12744358137782533,0.9982537817167402
H21.33.028,40,709,40,662,7.354362330421477,9.76428295481558,0.032130231497320104,0.13416581138100125,-0.1473065179959973,-0.08886738957042578,-0.10477068807966444,-0.021727375105167018,0.999645348923171
H21.33.039,8,192,8,137,8.061802274538348,9.445017159104065,0.05374044931006956,0.11831451704869426,-0.11765523736349913,-0.263382284417221,-0.15847161023735135,-0.24306049062614601,0.9935221015542188
H21.33.040,19,360,19,304,7.633853559681768,9.21612361673191,0.04119625955068993,0.11700307902839549,0.22749389133262413,0.11481602827840888,0.16980860871775133,0.07940635480682459,0.9946057617687664
H21.33.047,48,334,48,276,7.794411205726601,9.810823867672708,0.04019842627437564,0.16829170943094993,0.4767081813708839,0.25340169062818513,0.5400692971221088,0.4020862569999968,0.9916006822247341
