scope,path,bytes,sha256
package,CANDIDATE_DIMENSION_AUTHORITY_RESOLUTION.json,5130,5dba086cd64ba4d90386bf654580596cc0816d97e3ad916526f34c796aa63c15
package,REFIT_NULL_SENSITIVITY_CAP_LADDER.csv,643,b27b460de7820eab0bfe0998f9828baea0435a36b38a8e92e1ee39473b84e2df
package,PROSPECTIVE_REFIT_NULL_NATURAL_WEIGHT_FULL_FEATURE_SENSITIVITY_V1.json,19164,74b10b0ea7eddcb3a19a7437866fc087e177a15869909bebe86596f6b59beb87
package,REFIT_NULL_SENSITIVITY_MATHEMATICAL_CONTRACT.md,1161,943f01d5a538fd571c65aea82442f6b928f1294f78a4ee0c75664cdd1dcc7ed4
package,REFIT_NULL_SENSITIVITY_FREEZE_PRECHECK.json,383,844506f99cb361dc9bc247ec71a3b5125e36dbbc54154c7ad6a0fc132252da75
package,REFIT_NULL_SENSITIVITY_PREFLIGHT_COUNCIL.md,1806,c7e4abaf4ccc6eb0100b73d379a13ede0fcf561add150b6293ecacedfeeeac8b
external_authority,D:\Jepa project\scripts\v4\freeze_full104_refit_null_sensitivity_v1.py,25112,cf8dae0ac764a9617aadb82037ecc467134447569f78686771f5a4dc9928c76a
external_authority,D:\Jepa project\outputs\full104_v014_20260826\03_phase2_state_derivation_v1\shared_procedure_amendment_v2\PHASE2_SHARED_PROCEDURE_AMENDMENT_V2.json,4764,3c3306380944fffb697050baee1447f434d06054399daa26ffc9f63ac597911c
external_authority,D:\Jepa project\outputs\full104_v014_20260826\03_phase2_state_derivation_v1\preexpression_freeze\PHASE2_DERIVATION_FREEZE.json,5421,5943e628bd2c8aa72622226c6267a610135ae1ef4bbb9f582e9ed3cd9f48f5c8
external_authority,D:\Jepa project\outputs\full104_v014_20260826\03_phase2_state_derivation_v1\shared_d_p0_repair_v1\P0_REPAIR_HASH_MANIFEST.csv,2271,ebc5987e193f2cf083330518903bd4db46e7d6675bbb5f32a063e1a55b4b16fb
external_authority,D:\Jepa project\outputs\full104_v014_20260826\03_phase2_state_derivation_v1\feature_matrix_level4\PHASE2_FEATURE_MATRIX_MANIFEST.csv,906,986c9508314fdceadfac2397dad94767f2590126fb5902221307aea536accf91
external_authority,D:\Jepa project\outputs\full104_v014_20260826\03_phase2_state_derivation_v1\shared_analytic_level4_v1\SHARED_LEVEL4_ANALYTIC_DIAGNOSTIC_MANIFEST.csv,2538,a79c6db3696ce619f8d4501cf2d75288ff742aaaa276f0f40e0c5290cbb052f0
external_authority,D:\Jepa project\outputs\full104_v014_20260826\03_phase2_state_derivation_v1\preexpression_freeze\PHASE2_RNG_KEYS.json,834,2fc629447c60884e11201ac6d02d8015fe65933c37b709e62c586ba5d1dd9e60
external_authority,D:\Jepa project\outputs\full104_v014_20260826\03_phase2_state_derivation_v1\preexpression_freeze\PHASE2_DONOR_FOLDS.csv,2022,2ce50daeedfea8f86f1002114ea3b220686b6c4f534532a9ce443976d13c715a
external_authority,D:\Jepa project\scripts\v4\correct_full104_phase2_shared_selection_with_refit_null.py,6701,8facc871d9700f21367ffb2fce2296efff6d4e1eb23b86258cead1c33056bd29
external_authority,D:\Jepa project\scripts\v4\independent_validate_full104_phase2_shared_level.py,17324,6162a4721e46bd42c6dce71ca678154b119dd5dfa6b4bf96b05e90d13d898712
external_authority,D:\Jepa project\scripts\v4\test_shared_d_selector_harness_v2.py,5372,392d59d6cf16a00c080c1369f73b1c9f185b0d55443dc7d5d6c2710f07d5bfc7
external_authority,D:\Jepa project\outputs\full104_v014_20260826\03_phase2_state_derivation_v1\shared_d_p0_repair_v1\SHARED_D_HARNESS_V2_TEST_REPORT.json,2214,b799feeab0111e3967bb057df19a778d87fc46aec38ad108627b90eaaf7cc976
