path,sha256,role
scripts/v4/contextual_target_f1_decision_v1.py,204859f48b96d1bb268d9249596b801537f2c911183dc4a20bc30fe5683e2d34,FROZEN_ARITHMETIC
scripts/v4/contextual_target_f1_querydesign_decision_v2.py,ac8157105b66ccd1617efb3740768a91711b429e5288afc34fb9a54adedcc462,FROZEN_POPULATION_COMPONENT
scripts/v4/contextual_target_f1_decision_integration_v3.py,e2681cfdd624313a0686eee47adc9385643c6303256f6c08f68f3076354755e5,HISTORICAL_SUPERSEDED
scripts/v4/contextual_target_f1_decision_v4.py,cd51a219a1075462e94a6e5ad77d7f647800b619b81431c83972aca4aca47b65,NEW_CURRENT_DECISION
scripts/v4/contextual_target_f1_decision_integration_v4.py,6e7303155cdbd540263b4699439b293748e927c7afc64b0722ae05fda8daecc0,NEW_CURRENT_INTEGRATION
scripts/v4/test_contextual_target_f1_decision_truth_table_v2.py,0ea2a18098aaaeb8706c5901622800c6eca70a16b5a7c6f3d026b64de19338c2,NEW_ADVERSARIAL
scripts/v4/validate_contextual_target_f1_decision_truth_table_v2.py,b993b0f838c89c5ac8ab34fcb2f5d7c1c56a2f1efe6bf8042123352e1332828e,NEW_INDEPENDENT_VALIDATOR
scripts/v4/finalize_contextual_target_f1_decision_truth_table_v2.py,74bdb4210fe1321cd5021cb0896417d5adba9aaf49a58d5f6e255b21a4ea12fb,NEW_FINALIZER
outputs/contextual_teacher_target_v1_f1_prospective_repair_20260901/F1_DECISION_LOGIC_PROPOSAL.md,c7c4938f01762a4f6ae221690b87ef1e77dea0107dcca5fa8e5e7364875963bf,FROZEN_AUTHORITY
outputs/contextual_teacher_target_v1_f1_prospective_repair_20260901/F1_CONTEXTUAL_STATISTICAL_ESTIMAND_CONTRACT.md,34af5c31b361eb8d17e1daaf47126f14fb6296f6d998f4855622922ca2f8df14,FROZEN_AUTHORITY
outputs/contextual_teacher_target_v1_f1_querydesign_repair_20260901/F1_TWO_DRAW_QUERY_STATISTICAL_CONTRACT.md,3df23920738169edecfe79a865456f96f73795364d8f074c290b8f3d2c8923f5,FROZEN_AUTHORITY
outputs/contextual_teacher_target_v1_f1_querydesign_repair_20260901/F1_QUERY_IDENTITY_V2_CONTRACT.md,15d873871787e0820f63aaead8f27a6f1057541e16640d8492053144a9c69423,FROZEN_AUTHORITY
outputs/contextual_teacher_target_v1_f1_querydesign_repair_20260901/F1_QUERY_ASSIGNMENTS_2DRAW.csv,12fd5f1549bb600e6bf52605196024f91bae28d7d20cb35a327d67c383f2c617,FROZEN_AUTHORITY
