donor_id,cells,Q_DEPTH,Q_DETECT,technical_complete
H19.33.004,721,8.388476413096,0.066837747525,True
H20.33.001,789,8.891667780168,0.090367416557,True
H20.33.004,677,8.605183507124,0.077363852082,True
H20.33.008,186,8.664145472248,0.074847152175,True
H20.33.011,387,8.509218198784,0.070719453631,True
H20.33.012,480,8.805445890802,0.086503414015,True
H20.33.013,350,8.412376509315,0.067975009367,True
H20.33.017,515,8.724564613271,0.079336630473,True
H20.33.018,528,8.693512896655,0.078905556160,True
H20.33.020,579,8.713488524309,0.077764670291,True
H20.33.024,117,8.488107805682,0.072822822823,True
H20.33.026,163,8.997202202318,0.096597956969,True
H20.33.027,214,8.268948319836,0.058983670172,True
H20.33.029,348,8.947023530499,0.089793689368,True
H20.33.030,604,8.566201141982,0.078557988368,True
H20.33.031,345,8.896184605633,0.092641568371,True
H20.33.035,192,8.835806162956,0.088279735432,True
H20.33.036,142,8.627420835236,0.073477069510,True
H20.33.037,67,8.419667710066,0.067960318149,True
H20.33.038,299,8.747767151358,0.075716428083,True
H20.33.039,386,8.292253259480,0.060388116522,True
H20.33.040,516,8.894994267371,0.087709876494,True
H20.33.041,261,8.510969982156,0.072289225061,True
H20.33.043,736,8.594614680988,0.072836483636,True
H20.33.044,319,8.406315143789,0.066970923147,True
H21.33.001,822,8.541603568097,0.061946752259,True
H21.33.002,432,8.880309971092,0.090338756478,True
H21.33.005,541,8.409916942559,0.069949719953,True
H21.33.009,258,8.764922228060,0.071301541459,True
H21.33.010,907,8.939529258674,0.094586327776,True
H21.33.012,209,8.693286609225,0.078623669396,True
H21.33.014,234,8.302195270967,0.057809026163,True
H21.33.017,875,8.941014638266,0.088979913005,True
H21.33.018,755,8.722189495837,0.077281837962,True
H21.33.025,892,8.579128261100,0.075248678462,True
H21.33.028,749,8.745370499107,0.087211656063,True
H21.33.032,320,8.309041508854,0.064981486629,True
H21.33.033,587,8.535762458534,0.071260740610,True
H21.33.034,213,8.330688521417,0.066286111392,True
H21.33.035,408,8.192627105088,0.062044825913,True
H21.33.036,316,8.757930239819,0.086085855524,True
H21.33.039,200,8.796479175605,0.085807532216,True
H21.33.040,379,8.331580586179,0.067055674960,True
H21.33.042,440,8.739632892827,0.087574578318,True
H21.33.043,964,8.407760217797,0.069561962430,True
H21.33.047,382,8.415566154412,0.069473899309,True
