path,bytes,sha256,role
artifacts\00_run_full104_refit_null_block_major_v1.py,26667,2e148fb2ee855e60d20b99b294eb5308d5f52e2854407efe132633dba1959d93,runner_sha256
artifacts\01_run_full104_refit_null_sensitivity_v1.py,28387,0fdcb0f186c0184c2e907658baba0fd91c3b2352c2a1a0709c2b5aec9aece90a,sequential_helper_sha256
artifacts\02_full104_refit_null_sensitivity_core_v1.py,13662,838d9c6f2dbdd6ee201566b281e22e6a621548723bb55b6286c51187d119f6e4,core_sha256
artifacts\03_derive_full104_phase2_shared_state.py,32033,395562010dcfa3a546e50d22164de70e40d995d0ca02245230a1deb96166db8f,fit_basis_code_sha256
artifacts\04_test_full104_block_major_executor_v1.py,17391,cb25f0fc2b36a2e68ad1795d2935779486cc59fdfd62b82ddd601dda8cbc0c56,targeted_test_code_sha256
artifacts\05_benchmark_full104_block_major_executor_v1.py,11985,4a957719dba346c9090672d053283d27770ad1e65f36117f8267a88bf377b883,benchmark_code_sha256
artifacts\06_validate_full104_block_major_gold_replicate_v1.py,8566,500da08bc9d2583aa88121d636884a01a2dbbd06d15e92921de193ab05b0e0c4,gold_validator_current_sha256
artifacts\07_launch_full104_block_major_wsl_all_v1.sh,834,6d6eea2ed9122c08b5d20b1c2ac34372316be1f98d1f2654ccde9ca15db28387,production_command_sha256
artifacts\08_build_full104_block_major_wsl_gate_v1.py,10211,44d76d3ec4e9566fef7bb59c94fe690bb1c6127f30b7e98530fbb5810d9e4968,gate_builder_code_sha256
artifacts\09_CROSS_BLAS_DECISION_INVARIANCE.json,2558,bbce0b3d1754db178525c0de0310058d43415bd8afa45e4874090cb1636ad58c,historical_cross_blas_stop_sha256
artifacts\10_SCIENTIFIC_RED_TEAM.json,1009,c76653f18f733960ab8b0234c278fd0d569b13e178255fe34d53af1465336c98,historical_red_team_stop_sha256
artifacts\11_FULL104_CROSS_BLAS_PROMOTION_SCOPE_CORRECTION_V1.json,2989,2ac7759fd374ffb2d5dede7e3fb50c7908add8edc8569cc494c52f9299ef5b4d,scope_correction_sha256
artifacts\12_CORRECTED_GOLD_REPLICATE_NUMERICAL_PARITY.json,3628,e4969b4ba7d2bede0a445ff329d298805cccdf71494cbe57e38350734279d349,corrected_numerical_parity_sha256
artifacts\13_CORRECTED_SCIENTIFIC_RED_TEAM.json,1519,15abd8552058d45d314048129e1589ae99f9ea501f0316e80d6e181d20ac9e97,corrected_red_team_sha256
artifacts\14_TARGETED_IMPLEMENTATION_COUNCIL_V1.json,2691,549c019a2551192e377d7c207ba9bc9cfdb4fa0c04d39b0498761cb5771065ab,council_sha256
artifacts\15_BLOCK_MAJOR_TARGETED_PARITY.json,6375,1835d98b77d86b5de2bc105e1b2166c8f28d1d8e1bf8c04482ba419a59854c83,targeted_parity_v12_sha256
artifacts\16_BLOCK_MAJOR_BATCH_BENCHMARK.json,11919,3582be0e373ca22043ef2cc27bbf715f9bbf05ddebb1ee7af1e7208c87512f2d,wsl_benchmark_sha256
artifacts\17_WSL_BACKEND_PREFLIGHT.json,9208,6e61a2ea722b7da6675349cb15e8164c2be8dcea1b34a629c7ca14a27e6a30b8,wsl_environment_sha256
artifacts\18_PHASE2_FEATURE_MATRIX_MANIFEST.csv,906,986c9508314fdceadfac2397dad94767f2590126fb5902221307aea536accf91,matrix_manifest_sha256
artifacts\19_LOSSLESS_PLAN_AUTHORITY.json,843,751f585a681aa392446341fc519797f8ad60c99e2edf0fbccccc4f9bea6016d2,all_plan_authority_sha256
artifacts\20_FULL104_GOLD_REPLICATE_PARITY.json,2173,dcc236700dc240abe2d984c002a9d7ebf300e3bc090d03d71066dc944ec922a3,gold_report_sha256
artifacts\21_AUTHENTICATED_OLD_OBSERVED_BASIS_AUDIT.json,905,7ae00037e6c025ca92841ed993bfe3bb8158e408a8606026384c77e83910702a,gold_basis_audit_sha256
IMPLEMENTATION_COMPONENTS.json,3052,15502ee2fc50737827ac0260fd154220dd591108b2bfa2c32673a88fbd2fa3b4,fingerprint_components
