group,cells_full,share_full,cells_cached,share_cached,retention_rate
HVS,198718,0.04364160726243009,41984,0.39775278769907063,0.21127426805825342
NPH52,236476,0.05193385963521381,16465,0.15598798707758188,0.06962651601008137
SEA_AD,4118213,0.9044245331023562,47104,0.4462592252233475,0.011437970789757597
