status,operator_family,matrix_id,frozen_assay_measured_addresses,scalar_materializable_addresses,collision_unresolved_addresses,structurally_unmeasured_addresses,fraction_measured_support_scalar_materializable,train_cells
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,18736,18736,0,22502,1.0,3754
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,18736,18736,0,22502,1.0,6674
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,18736,18736,0,22502,1.0,455
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,18736,18736,0,22502,1.0,16053
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,18736,18736,0,22502,1.0,66268
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,18736,18736,0,22502,1.0,246
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::5fff0955-173e-407d-b160-64f513ca6db6,18736,18736,0,22502,1.0,23312
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::6201fd7d-f35b-4487-bace-99426881237b,18736,18736,0,22502,1.0,4270
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,18736,18736,0,22502,1.0,5737
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,18736,18736,0,22502,1.0,1207
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,18736,18736,0,22502,1.0,46405
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,18736,18736,0,22502,1.0,13540
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,18736,18736,0,22502,1.0,3479
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,18736,18736,0,22502,1.0,512
