belief_factor_r2,belief_minus_visible_factor_r2,belief_state_cosine,coverage_1_96sigma,coverage_1sigma,diagonalized_nll,family,gaussian_excess_kurtosis_median,gaussian_severe_fraction,gaussian_skewness_median,joint_scale,mean_correlated_energy,measured_genes,median_correlated_rank,median_logdet,median_trace,nll,panel,prior_nll,recoverable_gap_fraction,replicate_factor_prediction_correlation,replicate_paired_standardized_distance,standardized_variance,synthetic_full_expected_factor_r2,uncertainty_error_spearman,view,visible_factor_r2
0.9218267202377319,1.0728836059570312e-06,0.37454333901405334,1.0,1.0,0.1575034111738205,RANDOM_STRUCTURAL,0.8253107070922852,0.3187499940395355,-0.054140590131282806,0.0023038676008582115,1.3722425364903756e-06,4096,30.76344871520996,-244.04159545898438,35.312339782714844,0.1575438529253006,FULL,0.3114178478717804,1.3774104683195593e-05,0.9224975109100342,15.139642715454102,3.64857041859068e-05,0.9997169971466064,-0.9997850656509399,0,0.921825647354126
0.9080838561058044,9.5367431640625e-07,0.354337602853775,0.9999634027481079,0.983105480670929,0.24762870371341705,RANDOM_STRUCTURAL,-0.06363916397094727,0.0,-0.0027460968121886253,0.15707889199256897,1.4326784594231867e-06,3277,30.771467208862305,-239.97349548339844,36.25300979614258,0.24765919148921967,P80,0.37322840094566345,1.040741788709903e-05,0.9107159972190857,14.874605178833008,0.11962737888097763,0.9997169971466064,0.1260855793952942,0,0.908082902431488
0.8855917453765869,1.0728836059570312e-06,0.33483827114105225,0.98809814453125,0.9196716547012329,0.3629731833934784,RANDOM_STRUCTURAL,-0.05808258056640625,0.0,-0.025308018550276756,0.3538323640823364,1.511782215857238e-06,2458,30.781835556030273,-234.54469299316406,37.56090545654297,0.3629957139492035,P60,0.46230876445770264,9.400842524397798e-06,0.8907431364059448,14.630501747131348,0.2846370041370392,0.9997169971466064,0.1352321058511734,0,0.885590672492981
0.8492234349250793,4.76837158203125e-07,0.31381067633628845,0.962512195110321,0.878247082233429,0.5139356255531311,RANDOM_STRUCTURAL,0.0249481201171875,0.012500000186264515,-0.020515022799372673,0.6079827547073364,1.610109848115826e-06,1638,30.794092178344727,-226.90309143066406,39.5066032409668,0.5139503479003906,P40,0.5872549414634705,3.1684787064368834e-06,0.8561416864395142,14.441095352172852,0.49494773149490356,0.9997169971466064,0.13021835684776306,0,0.8492229580879211
0.7623612284660339,-2.6226043701171875e-06,0.28136128187179565,0.9391540288925171,0.866009533405304,0.6985701322555542,RANDOM_STRUCTURAL,0.11303901672363281,0.0062500000931322575,-0.0017606858164072037,0.9044943451881409,1.7165999679491506e-06,819,30.806913375854492,-215.26150512695312,42.729530334472656,0.6985765099525452,P20,0.7439471483230591,-1.104937690303544e-05,0.7698569893836975,14.419296264648438,0.7433586120605469,0.9997169971466064,0.11467960476875305,0,0.762363851070404
0.9218267202377319,1.0728836059570312e-06,0.37454333901405334,1.0,1.0,0.1575034111738205,RANDOM_STRUCTURAL,0.8253107070922852,0.3187499940395355,-0.054140590131282806,0.0023038676008582115,1.3722425364903756e-06,4096,30.76344871520996,-244.04159545898438,35.312339782714844,0.1575438529253006,FULL,0.3114178478717804,1.3774104683195593e-05,0.9224975109100342,15.139642715454102,3.64857041859068e-05,0.9997169971466064,-0.9997850656509399,1,0.921825647354126
0.9058805704116821,9.5367431640625e-07,0.35220545530319214,1.0,0.9832763671875,0.24775098264217377,RANDOM_STRUCTURAL,-0.07921504974365234,0.0062500000931322575,0.009627163410186768,0.15730294585227966,1.433381612514495e-06,3277,30.77136993408203,-239.96563720703125,36.25490188598633,0.24778178334236145,P80,0.37405669689178467,1.0163053489420896e-05,0.905994176864624,14.886768341064453,0.11702114343643188,0.9997169971466064,0.05614177882671356,1,0.9058796167373657
0.8842934370040894,1.0728836059570312e-06,0.32916712760925293,0.987194836139679,0.9152771234512329,0.36966079473495483,RANDOM_STRUCTURAL,-0.03316068649291992,0.0062500000931322575,0.001144561916589737,0.3671973645687103,1.5120344869501423e-06,2458,30.78147315979004,-234.54119873046875,37.5617790222168,0.36968305706977844,P60,0.4690242111682892,9.295100862172245e-06,0.8873674869537354,14.686419486999512,0.2857189178466797,0.9997169971466064,0.1128532811999321,1,0.8842923641204834
0.8444605469703674,4.172325134277344e-07,0.3052562177181244,0.961962878704071,0.876385509967804,0.5206825733184814,RANDOM_STRUCTURAL,0.010127544403076172,0.0062500000931322575,0.0052519384771585464,0.6215723752975464,1.6051758393587079e-06,1638,30.79401397705078,-226.91453552246094,39.50354766845703,0.5206977725028992,P40,0.594383716583252,2.687369134720886e-06,0.8480291366577148,14.50098991394043,0.4976572096347809,0.9997169971466064,0.10165371745824814,1,0.844460129737854
0.7531119585037231,2.9802322387695312e-06,0.2907344698905945,0.939099133014679,0.8640807867050171,0.7046658992767334,RANDOM_STRUCTURAL,0.07736539840698242,0.0062500000931322575,-0.006683193147182465,0.9166707396507263,1.7174362483274308e-06,819,30.807003021240234,-215.25587463378906,42.731178283691406,0.7046723961830139,P20,0.7501201629638672,1.2084895910374545e-05,0.7585150599479675,14.335853576660156,0.7456932663917542,0.9997169971466064,0.09598514437675476,1,0.7531089782714844
