dataset_id,canonical_mapping_file,mapping_status,feature_order_sha256,mapping_policy,future_vocabulary_projection_status
gse133357_regional_microglia_fpkm,data/processed/v4/pre_stage81a2/mappings/feature_universe_33e23288c248cd9c.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,33e23288c248cd9c14cba0e7873cccc5dab1225a794f53f4d95c5a28712d8aae,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse146639_processed_microglia_archive,data/processed/v4/pre_stage81a2/mappings/feature_universe_2534e36a030e919e.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,2534e36a030e919eb756ca3fa795308de3f67320e05f4e837e7e2569e7f9692f,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse175721_09deb6fed0c6,data/processed/v4/pre_stage81a2/mappings/feature_universe_32128ab4e7fae0b4.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,32128ab4e7fae0b41498be5f2ca41e597715420fbc4f9baa1bd95101a9d5550c,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse175721_efcc78179a9c,not_available,documentation_not_in_virtual_matrix,unresolved,exact_source_symbol_or_exact_source_ensembl_only,blocked_or_not_applicable
gse178317_ba77161eeaa1,data/processed/v4/pre_stage81a2/mappings/feature_universe_2534e36a030e919e.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,2534e36a030e919eb756ca3fa795308de3f67320e05f4e837e7e2569e7f9692f,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse178317_f5881facc710,data/processed/v4/pre_stage81a2/mappings/feature_universe_ea90271e70b9a996.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,ea90271e70b9a99689ed9582242e12423d458eb1f748583360a02d6dd71c4878,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse240609_1155194f2ab8,data/processed/v4/pre_stage81a2/mappings/feature_universe_537ea5453b98c994.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,537ea5453b98c9944b76831cb0216b88363373e323477668199656690f69eb4b,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse241858_139c1d1976d8,data/processed/v4/pre_stage81a2/mappings/feature_universe_fcc6b2e76538a06a.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,fcc6b2e76538a06a2c9d062f166c15fabdbe26592e37ab7d1cc737c27fcd184c,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse241858_cb7d87bdeb0f,data/processed/v4/pre_stage81a2/mappings/feature_universe_fcc6b2e76538a06a.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,fcc6b2e76538a06a2c9d062f166c15fabdbe26592e37ab7d1cc737c27fcd184c,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse243292_full_dlpfc_h5ad,data/processed/v4/pre_stage81a2/mappings/feature_universe_b13ed9261c5ebff7.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,b13ed9261c5ebff729e3622ece23ffacc068b454ded9b0ca4952c38520c6060c,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse243292_readme,not_available,documentation_not_in_virtual_matrix,unresolved,exact_source_symbol_or_exact_source_ensembl_only,blocked_or_not_applicable
gse254205_3bc2196b5493,not_available,unresolved_exact_feature_mapping_required,unresolved,exact_source_symbol_or_exact_source_ensembl_only,blocked_or_not_applicable
gse254205_8ae26813ce5d,data/processed/v4/pre_stage81a2/mappings/feature_universe_c96ee8c667edf262.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,c96ee8c667edf262b97e9715e71cbd57159bb6f56e6ae67a6843e4a74b89191a,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse254205_cff143b59c0c,data/processed/v4/pre_stage81a2/mappings/feature_universe_0cbd85a66c61929d.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,0cbd85a66c61929d0e59da26e5a47f7c29ea293dc24430c0189eb326a2720794,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse254205_fca1d393501d,data/processed/v4/pre_stage81a2/mappings/feature_universe_2690067292bede5b.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,2690067292bede5b0fef9ce5e2a64b3d37153794754eb54fbc5295fa5305d16b,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse293118_1d15aff2e5fa,data/processed/v4/pre_stage81a2/mappings/feature_universe_75977576c9e8a20b.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,75977576c9e8a20bf23bad6d60146225cdb32b6a5035d37243f6d2e3e02e8422,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse293118_6dab6ce5e82e,not_available,documentation_not_in_virtual_matrix,unresolved,exact_source_symbol_or_exact_source_ensembl_only,blocked_or_not_applicable
gse301119_1c0fbaf672ab,not_available,unresolved_exact_feature_mapping_required,unresolved,exact_source_symbol_or_exact_source_ensembl_only,blocked_or_not_applicable
gse301119_5ff4821904a5,not_available,unresolved_exact_feature_mapping_required,unresolved,exact_source_symbol_or_exact_source_ensembl_only,blocked_or_not_applicable
gse311359_7d3438f8c8db,data/processed/v4/pre_stage81a2/mappings/feature_universe_d2d1bcd24f13ef91.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,d2d1bcd24f13ef91d9734906a36de26024be317028c3d12f006b998fabc5d692,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse97930_cerebellar_umi,data/processed/v4/pre_stage81a2/mappings/feature_universe_a89115fdab89ce60.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,a89115fdab89ce6027978f5b261a7cf13c7a80f81fc8855bd5bc3946387d3017,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse97930_frontal_cortex_umi,data/processed/v4/pre_stage81a2/mappings/feature_universe_5afeb3f07e51abaa.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,5afeb3f07e51abaa3561f51a0a1bb82289846ede7063c2472fa494f328c80516,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse97930_readme,not_available,documentation_not_in_virtual_matrix,unresolved,exact_source_symbol_or_exact_source_ensembl_only,blocked_or_not_applicable
gse97930_visual_cortex_umi,data/processed/v4/pre_stage81a2/mappings/feature_universe_0700edcfcf869196.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,0700edcfcf8691963f6635ee1ba7a3e330885991ec5d7f03d5dc215b9ea56907,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
gse99074_human_microglia_counts,data/processed/v4/pre_stage81a2/mappings/feature_universe_8d473f5e07389ca2.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,8d473f5e07389ca20941c93a5cec3fd5e6bded2bbe7fb5a3212ef445ee049ca5,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_ang_rna_final_2026,data/processed/v4/pre_stage81a2/mappings/feature_universe_a7391464dbde2f15.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_caudate_rna_all_2025,data/processed/v4/pre_stage81a2/mappings/feature_universe_a7391464dbde2f15.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_caudate_xenium_combined_2026,data/processed/v4/pre_stage81a2/mappings/feature_universe_2a04505536304518.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,2a045055363045185cd3d77ed98828f560d631d665c0eb54a28090e49eeb55d2,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_fi_rna_final_2026,data/processed/v4/pre_stage81a2/mappings/feature_universe_a7391464dbde2f15.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_hip_merscope_combined_2026,data/processed/v4/pre_stage81a2/mappings/feature_universe_2fc47c775e9817da.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,2fc47c775e9817dae75f49014271191621fca97cf826acf2edc9f8a61dddfe07,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
