annotation,broad_family,train_audit_cell_count,global_train_cell_count,global_train_frequency,donor_breadth,donor_breadth_fraction,median_cells_per_donor,minimum_cells_per_donor,maximum_cells_per_donor,annotation_rare,donor_recurring_rare,frequency_scope
Astro,Astro,36,20942,0.0032970425644699977,18,0.12080536912751678,1007.5,163,2633,True,True,all eligible pathology-blind TRAIN metadata
AstrocyteSubclass,AstrocyteSubclass,157,67354,0.010604001761403506,37,0.2483221476510067,1761.0,294,3699,False,False,all eligible pathology-blind TRAIN metadata
CN LAMP5-CXCL14 GABASubclass,CN LAMP5-CXCL14 GABASubclass,4,1127,0.0001774313327360179,37,0.2483221476510067,27.0,3,62,True,True,all eligible pathology-blind TRAIN metadata
CN ST18 GABASubclass,CN ST18 GABASubclass,119,41925,0.00660054003989135,37,0.2483221476510067,970.0,390,2435,True,True,all eligible pathology-blind TRAIN metadata
Endo,Endo,38,5499,0.0008657452517438887,19,0.12751677852348994,229.0,64,809,True,True,all eligible pathology-blind TRAIN metadata
EndothelialSubclass,EndothelialSubclass,131,67254,0.0105882580761563,37,0.2483221476510067,1224.0,470,7692,False,False,all eligible pathology-blind TRAIN metadata
EpendymalSubclass,EpendymalSubclass,10,4085,0.0006431295423483879,34,0.22818791946308725,88.5,1,427,True,True,all eligible pathology-blind TRAIN metadata
ExN,ExN,32,32,0.000499555083753532,16,0.10738255033557047,2.0,2,2,False,False,all eligible pathology-blind TRAIN metadata
InN,InN,32,32,0.000499555083753532,16,0.10738255033557047,2.0,2,2,False,False,all eligible pathology-blind TRAIN metadata
MG,MG,36,36,0.0005619994692227235,18,0.12080536912751678,2.0,2,2,False,False,all eligible pathology-blind TRAIN metadata
Microglia-PVMSubclass,Microglia-PVMSubclass,106,43289,0.006815283906663247,37,0.2483221476510067,1090.0,405,2950,True,True,all eligible pathology-blind TRAIN metadata
Neuronal: GABAergic,Neuronal: GABAergic,19696,1233942,0.19426794461308555,130,0.87248322147651,3771.0,259,34661,False,False,all eligible pathology-blind TRAIN metadata
Neuronal: Glutamatergic,Neuronal: Glutamatergic,27307,2734078,0.4304446347331201,130,0.87248322147651,7421.0,768,79146,False,False,all eligible pathology-blind TRAIN metadata
Non-neuronal and Non-neural,Non-neuronal and Non-neural,14760,1289625,0.2030345008692876,130,0.87248322147651,4516.0,133,34179,False,False,all eligible pathology-blind TRAIN metadata
OB GabaSubclass,OB GabaSubclass,1,53,8.344153181019476e-06,19,0.12751677852348994,2.0,1,12,False,False,all eligible pathology-blind TRAIN metadata
OPC,OPC,36,10013,0.0015764152038027926,18,0.12080536912751678,502.5,103,1292,True,True,all eligible pathology-blind TRAIN metadata
OPCSubclass,OPCSubclass,40,14374,0.0022629973174334707,37,0.2483221476510067,335.0,115,915,True,True,all eligible pathology-blind TRAIN metadata
Oligo,Oligo,36,139508,0.021963700414672927,18,0.12080536912751678,8740.5,344,9600,False,False,all eligible pathology-blind TRAIN metadata
OligodendrocyteSubclass,OligodendrocyteSubclass,150,55502,0.008738060185904584,37,0.2483221476510067,1171.0,269,4786,True,True,all eligible pathology-blind TRAIN metadata
STR D1 MSNSubclass,STR D1 MSNSubclass,554,219913,0.03462241053768936,37,0.2483221476510067,5250.0,832,12742,False,False,all eligible pathology-blind TRAIN metadata
STR D2 MSNSubclass,STR D2 MSNSubclass,571,219029,0.03448323636010405,37,0.2483221476510067,5444.0,597,13033,False,False,all eligible pathology-blind TRAIN metadata
STR Hybrid MSNSubclass,STR Hybrid MSNSubclass,23,15902,0.002503560828010787,37,0.2483221476510067,436.0,73,1110,True,True,all eligible pathology-blind TRAIN metadata
STR RSPO2 GABASubclass,STR RSPO2 GABASubclass,3,711,0.00011193760210763863,37,0.2483221476510067,16.0,4,112,True,True,all eligible pathology-blind TRAIN metadata
Sst ChodlSubclass,Sst ChodlSubclass,19,8401,0.001322626997617823,37,0.2483221476510067,173.0,51,832,True,True,all eligible pathology-blind TRAIN metadata
VLMCSubclass,VLMCSubclass,153,66574,0.010481201016475294,37,0.2483221476510067,1228.0,551,7848,False,False,all eligible pathology-blind TRAIN metadata
VipSubclass,VipSubclass,7,3054,0.0004808121474496883,37,0.2483221476510067,68.0,20,210,True,True,all eligible pathology-blind TRAIN metadata
