previous_canonical_ensembl_id,authoritative_canonical_ensembl_id,frozen_vocabulary_indices,frozen_symbols,affected_source_row_count,source_datasets,source_objects,source_feature_indices,source_feature_ids,source_symbols,source_exact_ensembl_ids,identity_change_classification,history_transition_types,one_to_one_identity_continuity,human_a2r_decision_required,supporting_source_chromosomes,supporting_source_biotypes,supporting_ncbi_gene_ids,ensembl_history_replacements,frozen_artifact_modified,required_action,protected_identity_decision,protected_identity_evidence,remaining_human_blocker
ENSG00000213676,,4022,ATF6B,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,1778|2241|2374|2535|2727|3025|3203,1778|2241|2374|2535|2727|3025|3203,ATF6B,ENSG00000168468,SOURCE_EXACT_ALT_LOCUS_SAME_GENE,,False,False,CHR_HSCHR6_MHC_DBB_CTG1,protein_coding,1388,,False,KEEP_FROZEN_ALT_LOCUS_SOURCE_ALIAS,KEEP_FROZEN_ALT_LOCUS_SOURCE_ALIAS,exact source ENSG00000168468 lies on an alternate contig and shares NCBI Gene 1388 with frozen HGNC canonical ENSG00000213676,False
ENSG00000221995,ENSG00000196535,3016,MYO18A,8,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs|SEA_AD_COMMON,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs|SEA_AD_COMMON,17937|18747|21450|22279|23613|25132|27099|28415,17937|18747|21450|22279|23613|25132|27099|28415,TIAF1,ENSG00000221995,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,17,protein_coding,9220,ENSG00000196535,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000224884,ENSG00000227110,2292,LMCD1-AS1,1,SEA_AD_COMMON,SEA_AD_COMMON,19259,19259,AC034187.1,ENSG00000224884,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,,,,ENSG00000227110,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000225746,ENSG00000258399,3134,MEG8,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,9348|10774|11025|11634|12211|12945|13423,10774|11025|11634|12211|12945|13423|9348,MEG8,ENSG00000258399,GENUINE_CANONICAL_ID_CORRECTION,,False,True,14,lincRNA,NA,,False,HUMAN_A2R_IDENTITY_REVIEW,HUMAN_A2R_IDENTITY_REVIEW,prior Stage81A2R evidence unchanged,True
ENSG00000237327,ENSG00000007001,2886,UPP2,8,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs|SEA_AD_COMMON,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs|SEA_AD_COMMON,23271|24790|28349|28832|29682|31470|31867|33278,23271|24790|28349|28832|29682|31470|31867|33278,UPP2-IT1,ENSG00000237327,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,2,sense_intronic,NA,ENSG00000007001,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000239407,ENSG00000223546,3892,LINC00630,1,SEA_AD_COMMON,SEA_AD_COMMON,23621,23621,Z68871.1,ENSG00000239407,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,,,,ENSG00000223546,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000241772,ENSG00000144228,2995,SPOPL,1,SEA_AD_COMMON,SEA_AD_COMMON,23933,23933,AC092620.1,ENSG00000241772,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,,,,ENSG00000144228,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000250410,ENSG00000109762,2412,SNX25,1,SEA_AD_COMMON,SEA_AD_COMMON,25304,25304,AC112722.1,ENSG00000250410,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,,,,ENSG00000109762,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000253878,ENSG00000156170,2080,NDUFAF6,1,SEA_AD_COMMON,SEA_AD_COMMON,26229,26229,AC087752.3,ENSG00000253878,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,,,,ENSG00000156170,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000258414,ENSG00000151338,1463,MIPOL1,1,SEA_AD_COMMON,SEA_AD_COMMON,27812,27812,AL121790.1,ENSG00000258414,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,,,,ENSG00000151338,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
