a3_core_eligible,boundary_available,brain_region,canonical_person_group_id,coordinate_class,dataset_id,direct_measurement,exact_donors,frozen4096_support_fraction,frozen4096_supported,measurement_semantics,n_exact_matches,pairing_class,pairing_fraction,pathology_blind_provenance,physical_geometry,qualification_role,quarantine_required,reason,reference_only,sample_id,source_donor_id,source_feature_count,spatial_entity_type,supportive_eligible,technology
false,false,cortex,UNRESOLVED,NO_SPATIAL_COORDINATES,10x_Xenium_healthy_cortex_preview,true,0,0.0,0,RAW_FEATURE_COUNT,,UNKNOWN,,SURGICAL_TISSUE_PROVENANCE_REVIEW,false,QUARANTINED_PENDING_GOVERNANCE,true,predeclared dataset class,false,dataset_level,unresolved,0,CELL,false,10x Xenium
false,false,approximately 100 adult human brain dissections,PERSON_0002,NO_SPATIAL_COORDINATES,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,false,4,0.999755859375,4095,PROCESSED_COUNT_LIKE,,REFERENCE_ONLY,,REFERENCE_ONLY,false,MOLECULAR_REFERENCE_ONLY,false,predeclared dataset class,true,donor_H18.30.001,H18.30.001,58232,NUCLEUS,false,10x 3' v3 snRNA-seq
false,false,approximately 100 adult human brain dissections,PERSON_0003,NO_SPATIAL_COORDINATES,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,false,4,0.999755859375,4095,PROCESSED_COUNT_LIKE,,REFERENCE_ONLY,,REFERENCE_ONLY,false,MOLECULAR_REFERENCE_ONLY,false,predeclared dataset class,true,donor_H18.30.002,H18.30.002,58232,NUCLEUS,false,10x 3' v3 snRNA-seq
false,false,approximately 100 adult human brain dissections,PERSON_0004,NO_SPATIAL_COORDINATES,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,false,4,0.999755859375,4095,PROCESSED_COUNT_LIKE,,REFERENCE_ONLY,,REFERENCE_ONLY,false,MOLECULAR_REFERENCE_ONLY,false,predeclared dataset class,true,donor_H19.30.001,H19.30.001,58232,NUCLEUS,false,10x 3' v3 snRNA-seq
false,false,approximately 100 adult human brain dissections,PERSON_0005,NO_SPATIAL_COORDINATES,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,false,4,0.999755859375,4095,PROCESSED_COUNT_LIKE,,REFERENCE_ONLY,,REFERENCE_ONLY,false,MOLECULAR_REFERENCE_ONLY,false,predeclared dataset class,true,donor_H19.30.002,H19.30.002,58232,NUCLEUS,false,10x 3' v3 snRNA-seq
false,false,hypothalamus,PERSON_0006,NO_SPATIAL_COORDINATES,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,11,0.99951171875,4094,PROCESSED_COUNT_LIKE,,REFERENCE_ONLY,,REFERENCE_ONLY,false,MOLECULAR_REFERENCE_ONLY,false,predeclared dataset class,true,donor_1C41i,1C41i,36924,NUCLEUS,false,10x 3' v3 snRNA-seq
false,false,hypothalamus,PERSON_0007,NO_SPATIAL_COORDINATES,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,11,0.99951171875,4094,PROCESSED_COUNT_LIKE,,REFERENCE_ONLY,,REFERENCE_ONLY,false,MOLECULAR_REFERENCE_ONLY,false,predeclared dataset class,true,donor_3u5kk,3u5kk,36924,NUCLEUS,false,10x 3' v3 snRNA-seq
false,false,hypothalamus,PERSON_0008,NO_SPATIAL_COORDINATES,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,11,0.99951171875,4094,PROCESSED_COUNT_LIKE,,REFERENCE_ONLY,,REFERENCE_ONLY,false,MOLECULAR_REFERENCE_ONLY,false,predeclared dataset class,true,donor_TweV8,TweV8,36924,NUCLEUS,false,10x 3' v3 snRNA-seq
false,false,hypothalamus,PERSON_0009,NO_SPATIAL_COORDINATES,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,11,0.99951171875,4094,PROCESSED_COUNT_LIKE,,REFERENCE_ONLY,,REFERENCE_ONLY,false,MOLECULAR_REFERENCE_ONLY,false,predeclared dataset class,true,donor_buFpQ,buFpQ,36924,NUCLEUS,false,10x 3' v3 snRNA-seq
false,false,hypothalamus,PERSON_0010,NO_SPATIAL_COORDINATES,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,11,0.99951171875,4094,PROCESSED_COUNT_LIKE,,REFERENCE_ONLY,,REFERENCE_ONLY,false,MOLECULAR_REFERENCE_ONLY,false,predeclared dataset class,true,donor_eXCJJ,eXCJJ,36924,NUCLEUS,false,10x 3' v3 snRNA-seq
false,false,hypothalamus,PERSON_0011,NO_SPATIAL_COORDINATES,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,11,0.99951171875,4094,PROCESSED_COUNT_LIKE,,REFERENCE_ONLY,,REFERENCE_ONLY,false,MOLECULAR_REFERENCE_ONLY,false,predeclared dataset class,true,donor_f5sVM,f5sVM,36924,NUCLEUS,false,10x 3' v3 snRNA-seq
false,false,hypothalamus,PERSON_0012,NO_SPATIAL_COORDINATES,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,11,0.99951171875,4094,PROCESSED_COUNT_LIKE,,REFERENCE_ONLY,,REFERENCE_ONLY,false,MOLECULAR_REFERENCE_ONLY,false,predeclared dataset class,true,donor_siletti_H18.30.002,siletti_H18.30.002,36924,NUCLEUS,false,10x 3' v3 snRNA-seq
false,false,hypothalamus,PERSON_0013,NO_SPATIAL_COORDINATES,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,11,0.99951171875,4094,PROCESSED_COUNT_LIKE,,REFERENCE_ONLY,,REFERENCE_ONLY,false,MOLECULAR_REFERENCE_ONLY,false,predeclared dataset class,true,donor_siletti_H19.30.001,siletti_H19.30.001,36924,NUCLEUS,false,10x 3' v3 snRNA-seq
false,false,hypothalamus,PERSON_0014,NO_SPATIAL_COORDINATES,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,11,0.99951171875,4094,PROCESSED_COUNT_LIKE,,REFERENCE_ONLY,,REFERENCE_ONLY,false,MOLECULAR_REFERENCE_ONLY,false,predeclared dataset class,true,donor_siletti_H19.30.002,siletti_H19.30.002,36924,NUCLEUS,false,10x 3' v3 snRNA-seq
false,false,hypothalamus,PERSON_0015,NO_SPATIAL_COORDINATES,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,11,0.99951171875,4094,PROCESSED_COUNT_LIKE,,REFERENCE_ONLY,,REFERENCE_ONLY,false,MOLECULAR_REFERENCE_ONLY,false,predeclared dataset class,true,donor_tzan2,tzan2,36924,NUCLEUS,false,10x 3' v3 snRNA-seq
