dataset_id,study_id,source_authority,source_accession,source_version,tissue_state,tissue,brain_region,assay,modality,clinical_context,living_control_definition,donor_count,sample_count,cell_count,matrix_semantics,feature_identifier_type,direct_brain_foundation_eligible,living_early_ad_continuation_eligible,adapter_role,validation_role,pathology_metadata_sealed,known_caveat,acquisition_status
GSE134577,GSE134577,NCBI_GEO,GSE134577,"Thu, 07 Nov 2019 00:09:33 GMT",living_csf,csf,not_cortex,processed_archive_pending_member_audit,scRNA-seq,sealed_or_source_metadata_not_used_for_foundation_selection,not_healthy_volunteer,18,18,25092,source_representations_retained_separately,source_native_pending_harmonization,False,False,,living_csf_external_validation_only,False,tissue_specific_role_not_equivalent_to_postmortem_brain,verified
GSE146639,GSE146639,NCBI_GEO,GSE146639,existing_verified_local_source,postmortem_brain,brain,superior_parietal_and_frontal,processed_microglia_archive,RNA_and_related_assays,postmortem_reference,not_applicable,existing_registry,existing_registry,existing_registry,existing_source_unchanged,existing_registry,False,False,,postmortem_primary_microglia_reference_or_validation,False,postmortem_not_living,existing_not_redownloaded
GSE181279,GSE181279,NCBI_GEO,GSE181279,"Tue, 03 Aug 2021 19:23:23 GMT",living_pbmc,pbmc,not_cortex,10x_processed_matrix_triplet,scRNA-seq,sealed_or_source_metadata_not_used_for_foundation_selection,not_healthy_volunteer,5,15,36849,source_representations_retained_separately,source_native_pending_harmonization,False,False,,living_blood_independent_validation_only,False,tissue_specific_role_not_equivalent_to_postmortem_brain,verified
GSE200164,GSE200164,NCBI_GEO,GSE200164,"Mon, 04 Apr 2022 21:47:37 GMT",living_csf,csf,not_cortex,processed_counts_and_lognormalized_expression,scRNA-seq,sealed_or_source_metadata_not_used_for_foundation_selection,not_healthy_volunteer,59,59,70391,source_representations_retained_separately,source_native_pending_harmonization,False,False,living_csf_immune_adapter_and_validation_candidate,living_csf_immune_adapter_and_validation_candidate,False,tissue_specific_role_not_equivalent_to_postmortem_brain,verified
GSE226267,GSE226267,NCBI_GEO,GSE226267,"Tue, 28 Feb 2023 03:30:24 GMT",living_pbmc,pbmc,not_cortex,processed_raw_peak_matrix,scATAC-seq,sealed_or_source_metadata_not_used_for_foundation_selection,not_healthy_volunteer,50,50,476029,source_representations_retained_separately,source_native_pending_harmonization,False,False,living_peripheral_regulatory_adapter_candidate,,False,tissue_specific_role_not_equivalent_to_postmortem_brain,verified
GSE226602,GSE226602,NCBI_GEO,GSE226602,"Fri, 15 May 2026 04:32:04 GMT",living_pbmc,pbmc,not_cortex,processed_counts_and_lognormalized_expression,scRNA-seq,sealed_or_source_metadata_not_used_for_foundation_selection,not_healthy_volunteer,50,100,270884,source_representations_retained_separately,source_native_pending_harmonization,False,False,living_peripheral_immune_rna_adapter_candidate,,False,tissue_specific_role_not_equivalent_to_postmortem_brain,verified
GSE270454,GSE270454,NCBI_GEO,GSE270454,"Fri, 21 Jun 2024 15:44:35 GMT",living_whole_blood,whole_blood,not_cortex,processed_counts,bulk_RNA-seq,sealed_or_source_metadata_not_used_for_foundation_selection,not_healthy_volunteer,0,135,not_applicable_non_single_cell,source_representations_retained_separately,source_native_pending_harmonization,False,False,,living_whole_blood_secondary_validation_candidate,False,tissue_specific_role_not_equivalent_to_postmortem_brain,verified
GSE292141,GSE292141,NCBI_GEO,GSE292141,"Thu, 24 Apr 2025 04:21:13 GMT",living_csf_and_living_pbmc,csf_and_pbmc,not_cortex,10x_processed_matrix_triplets,scRNA-seq,sealed_or_source_metadata_not_used_for_foundation_selection,not_healthy_volunteer,10,20,150505,source_representations_retained_separately,source_native_pending_harmonization,False,False,living_nph_blood_csf_context_and_adapter_candidate,,False,tissue_specific_role_not_equivalent_to_postmortem_brain,verified
GSE302937,GSE302937,NCBI_GEO,GSE302937,"Wed, 04 Feb 2026 18:08:21 GMT",living_olfactory_epithelium,olfactory_epithelium,not_cortex,10x_3prime_and_5prime,scRNA-seq,sealed_or_source_metadata_not_used_for_foundation_selection,not_healthy_volunteer,22,22,351327,source_representations_retained_separately,source_native_pending_harmonization,False,False,living_olfactory_neural_immune_adapter_candidate,,False,tissue_specific_role_not_equivalent_to_postmortem_brain,verified
GSE305625,GSE305625,NCBI_GEO,GSE305625,"Tue, 09 Jun 2026 04:22:01 GMT",living_csf_and_living_plasma,csf_and_plasma,not_cortex,non_normalized_and_normalized_mirna,miRNA_RT_qPCR,sealed_or_source_metadata_not_used_for_foundation_selection,not_healthy_volunteer,162,320,not_applicable_non_single_cell,source_representations_retained_separately,source_native_pending_harmonization,False,False,,living_biofluid_mirna_secondary_validation_candidate,False,tissue_specific_role_not_equivalent_to_postmortem_brain,verified
HVS,HVS,CZ_CELLxGENE_Discover,0087cde2-967d-4f7c-8e6e-40e4c9ad1891,6201fd7d-f35b-4487-bace-99426881237b,living_surgical_cortex,surgical_cortex,neocortex,10x_3prime_v3,scRNA-seq,sealed_or_source_metadata_not_used_for_foundation_selection,nonpathological_sampled_neocortex_from_neurosurgical_patients,78,partitioned_source,379330,source_representations_retained_separately,source_native_pending_harmonization,candidate_pending_feature_and_donor_harmonization,False,,,False,epilepsy_or_tumor_surgical_context_not_healthy_volunteer,verified
NPH52,NPH52,Zenodo,8319719,2,living_nph_cortex,nph_cortex,neocortex,integrated_source_object,snRNA-seq,sealed_or_source_metadata_not_used_for_foundation_selection,not_healthy_volunteer,52,52,957659,source_representations_retained_separately,source_native_pending_harmonization,candidate_pending_feature_and_donor_harmonization,candidate_pending_sealed_group_audit,,,True,tissue_specific_role_not_equivalent_to_postmortem_brain,verified
