asset_id,decision,reason,destination,required
local_mtg_rna_final_2024,preserve_deprecated_official_source,historical_foundation_source,../../../raw/snrna/SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad,False
sea_ad_ang_rna_final_2026,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,multiregion/AnG/SEAAD_AnG_RNAseq_final-nuclei.2026-06-22.h5ad,True
sea_ad_caudate_rna_all_2025,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,multiregion/Caudate_Nucleus/CaH_all_nuclei.2025-12-29.h5ad,True
sea_ad_caudate_xenium_combined_2026,download,future_spatial_training_and_evaluation_source,xenium/CaH_Xenium.2026-01-07.h5ad,True
sea_ad_fi_rna_final_2026,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,multiregion/FI/SEAAD_FI_RNAseq_final-nuclei.2026-06-22.h5ad,True
sea_ad_hip_merscope_combined_2026,download,future_spatial_training_and_evaluation_source,merfish/1444211893_HPF_mapped.h5ad,True
sea_ad_hip_rna_final_2026,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,multiregion/HIP/SEAAD_HIP_RNAseq_final-nuclei.2026-06-22.h5ad,True
sea_ad_itg_rna_final_2026,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,multiregion/ITG/SEAAD_ITG_RNAseq_final-nuclei.2026-06-22.h5ad,True
sea_ad_lec_rna_final_2026,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,multiregion/LEC/SEAAD_LEC_RNAseq_final-nuclei.2026-06-22.h5ad,True
sea_ad_mec_merscope_combined_2026,download,future_spatial_training_and_evaluation_source,merfish/1444201261_MEC_mapped.h5ad,True
sea_ad_mec_rna_final_2026,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,multiregion/MEC/SEAAD_MEC_RNAseq_final-nuclei.2026-06-22.h5ad,True
sea_ad_mtg_atac_final_2024,download,regulatory_prior_source,snatac/SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad,True
sea_ad_mtg_merfish_combined_2024,download,future_spatial_training_and_evaluation_source,merfish/SEAAD_MTG_MERFISH.2024-12-11.h5ad,True
sea_ad_mtg_rna_final_2026,download,primary_foundation_candidate,mtg/SEAAD_MTG_RNAseq_final-nuclei.2026-06-22.h5ad,True
sea_ad_multiregion_immune_rna_final_2026,download,microglia_specialization_candidate,multiregion/SEAAD_Immune_10-region_RNAseq_final-nuclei.2026-06-22.h5ad,True
sea_ad_pfc_a9_rna_final_2026,download,regional_replication_candidate,a9_dlpfc/SEAAD_DFC_RNAseq_final-nuclei.2026-06-22.h5ad,True
sea_ad_stg_rna_final_2026,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,multiregion/STG/SEAAD_STG_RNAseq_final-nuclei.2026-06-22.h5ad,True
sea_ad_v1c_rna_final_2026,download,multiregion_foundation_or_replication_candidate_pending_stage81a2,multiregion/V1C/SEAAD_V1C_RNAseq_final-nuclei.2026-06-22.h5ad,True
all_nuclei_duplicates,skip,final_nuclei_consolidated_objects_are_sufficient_for_the_single_model_contract,not_applicable,False
donor_level_duplicates,skip,consolidated_objects_preserve_donor_and_library_metadata,not_applicable,False
raw_fastq_bam_and_microscopy,skip,prohibited_by_stage_scope,not_applicable,False
official_fragments,skip,controlled_ad_knowledge_portal_access_requires_human_terms_acceptance_and_credentials,not_applicable,False
standalone_gene_activity_motif_accessibility_peak_to_gene,skip,not_advertised_as_official_processed_products_in_the_consulted_release_catalog,not_applicable,False
