dataset_id,duplicates_left,duplicates_right,fraction_molecular_matched,fraction_spatial_matched,n_exact_matches,n_molecular_entities,n_spatial_entities,pairing_class,sample_id
10x_Xenium_healthy_cortex_preview,,,,,,,,UNKNOWN,dataset_level
CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,,,,,,,,REFERENCE_ONLY,donor_H18.30.001
CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,,,,,,,,REFERENCE_ONLY,donor_H18.30.002
CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,,,,,,,,REFERENCE_ONLY,donor_H19.30.001
CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,,,,,,,,REFERENCE_ONLY,donor_H19.30.002
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,REFERENCE_ONLY,donor_1C41i
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,REFERENCE_ONLY,donor_3u5kk
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,REFERENCE_ONLY,donor_TweV8
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,REFERENCE_ONLY,donor_buFpQ
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,REFERENCE_ONLY,donor_eXCJJ
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,REFERENCE_ONLY,donor_f5sVM
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,REFERENCE_ONLY,donor_siletti_H18.30.002
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,REFERENCE_ONLY,donor_siletti_H19.30.001
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,REFERENCE_ONLY,donor_siletti_H19.30.002
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,REFERENCE_ONLY,donor_tzan2
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,,,,,,,REFERENCE_ONLY,donor_znZv1
CosMx_WTX_human_hippocampus,,,,,,,,UNKNOWN,dataset_level
CosMx_human_frontal_cortex_6K,,,,,,,,UNKNOWN,dataset_level
GSE248545,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM7916581
GSE248545,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM7916582
GSE248545,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM7916583
GSE248545,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM7916584
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224155
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224156
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224157
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224158
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224159
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224160
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224161
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224162
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224163
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224164
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224165
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224166
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224167
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224168
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224169
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224170
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224171
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224172
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224173
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224174
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224175
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224176
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224177
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224178
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224179
GSE264624,,,,,,,,REFERENCE_ONLY,GSM8224180
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V10B01-085_A1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V10B01-085_B1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V10B01-085_C1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V10B01-085_D1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V10B01-086_A1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V10B01-086_B1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V10B01-086_C1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V10B01-086_D1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11A20-297_A1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11A20-297_B1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11A20-297_C1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11A20-297_D1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11L05-333_A1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11L05-333_B1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11L05-333_C1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11L05-333_D1
