fixture,basis_type,band_type,band_start,band_end,band_width,median_canonical_correlation,minimum_canonical_correlation,maximum_principal_angle_degrees,reproducible_variance_fraction_within_audited_96,cumulative_reproducible_variance_fraction,donor_covariance_fraction,shared_within_donor_covariance_fraction,hidden_factor_mean_r2,stable
overlapping_programs,ordinary_pca,local,1,8,8,0.017149556428194046,0.0028461283072829247,89.83692932128906,0.9557804826090516,0.9557804826090516,0.028010075759065743,0.9719899242409342,0.22236724001947078,False
overlapping_programs,ordinary_pca,local,9,16,8,0.015393208712339401,0.0007202789420261979,89.95872497558594,0.009838509201221975,,0.032159195779160064,0.96784080422084,0.015198774043377784,False
overlapping_programs,ordinary_pca,local,17,32,16,0.01921796426177025,0.0008461906109005213,89.95150756835938,0.009476976246371331,,0.026728860334321446,0.9732711396656786,0.01333551522381672,False
overlapping_programs,ordinary_pca,local,33,48,16,0.01822463423013687,0.0005439906381070614,89.96882629394531,0.007842136664210823,,0.02983267914328877,0.9701673208567112,0.013550637284809023,False
overlapping_programs,ordinary_pca,local,49,64,16,0.017859000712633133,0.0009579138131812215,89.94510650634766,0.00682000525014527,,0.025325318100384974,0.974674681899615,0.00786415767719949,False
overlapping_programs,ordinary_pca,local,65,96,32,0.024543490260839462,0.00046824439777992666,89.9731674194336,0.010241890028998744,,0.022925101555065733,0.9770748984449342,0.013540598826956315,False
overlapping_programs,ordinary_pca,cumulative,1,16,16,0.02163705602288246,2.8224954803590663e-05,89.99838256835938,0.9656189918102737,0.9656189918102737,0.02908832544872953,0.9709116745512705,0.23883304193694746,False
overlapping_programs,ordinary_pca,cumulative,1,32,32,0.028621219098567963,0.0005446289433166385,89.96878814697266,0.975095968056645,0.975095968056645,0.02828810399489146,0.9717118960051085,0.25237289160871096,False
overlapping_programs,ordinary_pca,cumulative,1,48,48,0.03361600264906883,9.723243420012295e-05,89.99442291259766,0.982938104720856,0.982938104720856,0.028680370140586425,0.9713196298594136,0.267461006780444,False
overlapping_programs,ordinary_pca,cumulative,1,64,64,0.03748961538076401,0.0004524010873865336,89.97407531738281,0.9897581099710014,0.9897581099710014,0.02800169166695049,0.9719983083330495,0.2778111484776937,False
overlapping_programs,ordinary_pca,cumulative,1,96,96,0.044715020805597305,0.00021488353377208114,89.98768615722656,1.0,1.0,0.026530855266690162,0.9734691447333098,0.2921271704101601,False
overlapping_programs,reproducibility_weighted,local,1,8,8,0.2721169888973236,0.019754432141780853,88.86808013916016,0.9109309933656644,0.9109309933656644,0.031167503414946625,0.9688324965850533,0.35947664714800315,False
overlapping_programs,reproducibility_weighted,local,9,16,8,0.01978854462504387,0.0027190677355974913,89.84420013427734,0.020251436082833335,,0.0277462941492805,0.9722537058507195,0.046488182726401456,False
overlapping_programs,reproducibility_weighted,local,17,32,16,0.028995264321565628,0.0009654470486566424,89.9446792602539,0.016487646315572334,,0.024671705822191033,0.975328294177809,0.021546711596421925,False
overlapping_programs,reproducibility_weighted,local,33,48,16,0.025798622518777847,0.0006307479343377054,89.96385955810547,0.01496524490563175,,0.03521533300748647,0.9647846669925135,0.02121613753186031,False
overlapping_programs,reproducibility_weighted,local,49,64,16,0.025746436789631844,0.0019160039955750108,89.89021301269531,0.013271657896738,,0.024069178944207834,0.9759308210557922,0.014677284411331771,False
overlapping_programs,reproducibility_weighted,local,65,96,32,0.028734367340803146,0.000500430294778198,89.97132110595703,0.02409302143356001,,0.023724490901859897,0.9762755090981401,0.020973541925015365,False
overlapping_programs,reproducibility_weighted,cumulative,1,16,16,0.0862453505396843,0.0006957010482437909,89.96013641357422,0.931182429448498,0.931182429448498,0.030654620894207837,0.9693453791057922,0.403921756046562,False
overlapping_programs,reproducibility_weighted,cumulative,1,32,32,0.04958423227071762,0.00044881904614157975,89.97428131103516,0.9476700757640704,0.9476700757640704,0.029371741203779285,0.9706282587962207,0.42172536550898776,False
