classification_evidence,dataset_id,direct_measurement,measured_zero_distinct_from_structurally_unmeasured,measurement_semantics,sample_id
not acquired,10x_Xenium_healthy_cortex_preview,true,true,RAW_FEATURE_COUNT,dataset_level
direct/analysis-ready count-bearing asset acquired,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,false,true,PROCESSED_COUNT_LIKE,donor_H18.30.001
direct/analysis-ready count-bearing asset acquired,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,false,true,PROCESSED_COUNT_LIKE,donor_H18.30.002
direct/analysis-ready count-bearing asset acquired,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,false,true,PROCESSED_COUNT_LIKE,donor_H19.30.001
direct/analysis-ready count-bearing asset acquired,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,false,true,PROCESSED_COUNT_LIKE,donor_H19.30.002
direct/analysis-ready count-bearing asset acquired,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,true,PROCESSED_COUNT_LIKE,donor_1C41i
direct/analysis-ready count-bearing asset acquired,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,true,PROCESSED_COUNT_LIKE,donor_3u5kk
direct/analysis-ready count-bearing asset acquired,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,true,PROCESSED_COUNT_LIKE,donor_TweV8
direct/analysis-ready count-bearing asset acquired,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,true,PROCESSED_COUNT_LIKE,donor_buFpQ
direct/analysis-ready count-bearing asset acquired,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,true,PROCESSED_COUNT_LIKE,donor_eXCJJ
direct/analysis-ready count-bearing asset acquired,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,true,PROCESSED_COUNT_LIKE,donor_f5sVM
direct/analysis-ready count-bearing asset acquired,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,true,PROCESSED_COUNT_LIKE,donor_siletti_H18.30.002
direct/analysis-ready count-bearing asset acquired,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,true,PROCESSED_COUNT_LIKE,donor_siletti_H19.30.001
direct/analysis-ready count-bearing asset acquired,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,true,PROCESSED_COUNT_LIKE,donor_siletti_H19.30.002
direct/analysis-ready count-bearing asset acquired,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,true,PROCESSED_COUNT_LIKE,donor_tzan2
direct/analysis-ready count-bearing asset acquired,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,false,true,PROCESSED_COUNT_LIKE,donor_znZv1
public processed or analysis-ready files; compressed archives preserved,CosMx_WTX_human_hippocampus,false,true,UNKNOWN,dataset_level
public processed or analysis-ready files; compressed archives preserved,CosMx_human_frontal_cortex_6K,false,true,UNKNOWN,dataset_level
