basis,donor_fold,status,shared_label_count,n_queries,n_queries_excluded_incompatible_label,balanced_accuracy,macro_f1,neighbor_purity,median_nearest_support_distance
BALANCED_PCA160,0,identifiable_shared_label_vocabulary,9,550,14,0.6257982120051087,0.5461416269503646,0.954060606060606,0.21738934516906738
BALANCED_PCA160,1,identifiable_shared_label_vocabulary,10,559,1,0.39770773681041954,0.32704740389986,0.9710196779964221,0.22909824550151825
BALANCED_PCA160,2,identifiable_shared_label_vocabulary,10,574,2,0.49841000502765204,0.4101485775217057,0.9422764227642276,0.2291955202817917
BALANCED_PCA160,3,identifiable_shared_label_vocabulary,8,561,9,0.6217593428416681,0.5753110878522063,0.9614973262032087,0.19024474918842316
BALANCED_PCA160,4,identifiable_shared_label_vocabulary,11,574,2,0.47196969696969693,0.46694700016877905,0.9491289198606273,0.19264045357704163
BALANCED_PCA160,5,identifiable_shared_label_vocabulary,11,572,4,0.45193375668970165,0.37703362806901786,0.9421911421911423,0.291481614112854
BALANCED_PCA160,6,identifiable_shared_label_vocabulary,11,562,14,0.4748597155943502,0.3960061945932155,0.9659549228944246,0.2774536609649658
BALANCED_PCA160,7,identifiable_shared_label_vocabulary,8,562,14,0.5918560606060606,0.5527032831456642,0.952906287069988,0.24687251448631287
BALANCED_REP160,0,identifiable_shared_label_vocabulary,9,550,14,0.5702426564495531,0.5083544094011418,0.9475151515151515,0.23133638501167297
BALANCED_REP160,1,identifiable_shared_label_vocabulary,10,559,1,0.3982396517040366,0.3298795653527111,0.970304114490161,0.24575349688529968
BALANCED_REP160,2,identifiable_shared_label_vocabulary,10,574,2,0.49767471091000504,0.4048415620816618,0.9321718931475028,0.23875951766967773
BALANCED_REP160,3,identifiable_shared_label_vocabulary,8,561,9,0.6191731359451165,0.5204055949532924,0.9573380867498513,0.20307037234306335
BALANCED_REP160,4,identifiable_shared_label_vocabulary,11,574,2,0.41893939393939394,0.4056888997354209,0.9439024390243902,0.2054758369922638
BALANCED_REP160,5,identifiable_shared_label_vocabulary,11,572,4,0.45128901136410526,0.36971371481690124,0.9353146853146853,0.30907177925109863
BALANCED_REP160,6,identifiable_shared_label_vocabulary,11,562,14,0.5209827102467567,0.4349120362263299,0.9613285883748517,0.29204124212265015
BALANCED_REP160,7,identifiable_shared_label_vocabulary,8,562,14,0.5905191622103387,0.5511125915566879,0.9480427046263344,0.2601163685321808
