rare_neighborhood_id,broad_family,candidate_cells,neighborhood_cells,global_audit_frequency,within_family_audit_frequency,donors,cells_per_donor,datasets,matrices,technologies,regions,recurrence_class,cross_source_recurrence,evidence_tier,technical_concern,annotation_agreement,dominant_annotation,dominant_annotation_fraction,rna_rare,ledger_rare,pca_rare,rep_rare,representation_agreement,unannotated_compression_review_flag,nearest_recurring_state,nearest_recurring_state_ledger_similarity,candidate_member_hash,neighborhood_member_hash,resamples,candidate_membership_jaccard_median,candidate_membership_jaccard_min,donor_recurrence_retained_all,rna_rank_correlation_median,ledger_rank_correlation_median,pca_rank_correlation_median,rna_to_ledger_retention_median,ledger_to_pca_retention_median
Astrocytes::002,Astrocytes,1,31,0.00024993751562109475,0.0051813471502590676,1,"{""human_NPH_976"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-CONCORDANT,Astro,1.0,False,False,True,False,PCA RARE ONLY,False,NOT APPLICABLE,,66ebe6494baaeb25026de22d5500828735a59c8f2ba260339bbaba8b28267cc9,74e66c56ccba3d312cf6221faef0596bdf11396dfb9b717627f098aef1b2832b,,,,,,,,,
Endothelial___vascular::002,Endothelial / vascular,1,31,0.00024993751562109475,0.005917159763313609,1,"{""H21.33.019"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,LOW TECHNICAL CONCERN,ANNOTATION-SUBSTRUCTURE,EndothelialSubclass,1.0,False,True,False,False,LEDGER RARE / RNA NOT RARE,False,NOT APPLICABLE,,6ee311c637a9c20ab63425429ffd37b62b55251277e8afd16f5c7b71f582b224,6f0afe117ae9a3012c7f525609a41dd0852af6eb98c682cb65ab81a489a22d6d,,,,,,,,,
Ependymal::001,Ependymal,1,10,0.00024993751562109475,0.1,1,"{""H20.33.036"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,LOW TECHNICAL CONCERN,ANNOTATION-CONCORDANT,EpendymalSubclass,1.0,True,True,True,True,RNA + LEDGER + PCA RARE,False,NOT APPLICABLE,,fd5bfc39eb504c2516dc4e2bb558ce5646bf47c7f26d51d3a44e5d9f0b3a5485,01852ca63fd291a23cf5d0985e6bd9ceb2c9035841780c08b9bac85370045b48,,,,,,,,,
Excitatory_neurons::001,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H16.03.011"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,False,False,True,True,PCA RARE ONLY,False,NOT APPLICABLE,,85dadb8a406a4c0b08c1328b57f74384cb8440d5b160731d130df1786f944901,e2c0b99276f9a441b34fd4c8ec1c9f42977c6d8dc0ccdb65e94ca9330cdd501b,,,,,,,,,
Excitatory_neurons::003,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H19.26.404"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,False,False,True,False,PCA RARE ONLY,False,NOT APPLICABLE,,27ce689db17c0f4d0fa9bda9682f1b965fec5843ba5cf81c74703fd6caff06b0,da597d73d97e995b8d68c4ede4e62e4ff4302e51b35af1f8811b88987a21fae6,,,,,,,,,
Excitatory_neurons::005,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H16.03.011"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,False,False,True,True,PCA RARE ONLY,False,NOT APPLICABLE,,479c0f58e6f1ec59a6e461568fee35d13896c85677bce01a7727503ffb957897,4a07def2d03f731aff20db7def6e74cd68b786fcfb7f09889236f1d97affb91a,,,,,,,,,
Excitatory_neurons::007,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H20.33.038"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,True,True,True,True,RNA + LEDGER + PCA RARE,False,NOT APPLICABLE,,d4b413209a72d502920aa0c366dbbbba24f7a645838bc5fcfa052dcec047ef07,ac2149968f4f3dd1241d3cb36221f34e8011a240dc05447f3c83683bd07804ac,,,,,,,,,
Excitatory_neurons::009,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H16.03.011"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,False,NOT APPLICABLE,,97dfac1d70205b06988c5e3183620f7517eec698d4c2db73ec645a794453391f,ede190cab362c7187ce933f6aa6998d6e72eac5c2c8d105c562f7f1c7f5e5f8d,,,,,,,,,
Excitatory_neurons::010,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H16.06.004"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,False,True,False,False,LEDGER RARE / RNA NOT RARE,False,NOT APPLICABLE,,8881138f849dbad691869ba1e2b86a4dd6e06018e212cc23f543bcc4efe72c9c,9b45d831c2e16cf0eae3ffef4ca36ec85408247369933fbc1f3844f59e0f0ea5,,,,,,,,,
Excitatory_neurons::011,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H15.06.008"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,False,False,True,True,PCA RARE ONLY,False,NOT APPLICABLE,,364a203aa241f42621f3c7d7f4e2f1ef9fd589cab25213035b538a3d03657833,1ff2cd1c2ce58ca77f4f96128a20f37ba0cf59d905713e71d1e4f84b4ae561a1,,,,,,,,,
Excitatory_neurons::012,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H15.03.005"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,False,True,False,False,LEDGER RARE / RNA NOT RARE,False,NOT APPLICABLE,,cc6657f38d0bfec57b246df5450aefcefdc45a831d955370e31f0aafd6e269c1,b1c74e91074093502e6781c409827df3243c25e7dbe1cd97bb13026d85c5b78b,,,,,,,,,
