accession,asset_id,archive_path,member_path,member_type,raw_sequencing_member
GSE175721,gse175721_09deb6fed0c6,data/external/v4/perturbation/GSE175721/GSE175721_RAW.tar,GSM5345023_BC03_barcodes.tsv.gz,.gz,False
GSE175721,gse175721_09deb6fed0c6,data/external/v4/perturbation/GSE175721/GSE175721_RAW.tar,GSM5345023_BC03_features.tsv.gz,.gz,False
GSE175721,gse175721_09deb6fed0c6,data/external/v4/perturbation/GSE175721/GSE175721_RAW.tar,GSM5345023_BC03_matrix.mtx.gz,.gz,False
GSE175721,gse175721_09deb6fed0c6,data/external/v4/perturbation/GSE175721/GSE175721_RAW.tar,GSM5345024_BC04_barcodes.tsv.gz,.gz,False
GSE175721,gse175721_09deb6fed0c6,data/external/v4/perturbation/GSE175721/GSE175721_RAW.tar,GSM5345024_BC04_features.tsv.gz,.gz,False
GSE175721,gse175721_09deb6fed0c6,data/external/v4/perturbation/GSE175721/GSE175721_RAW.tar,GSM5345024_BC04_matrix.mtx.gz,.gz,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387652_iTF_Microglia_10X_Lane1_filtered_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387652_iTF_Microglia_10X_Lane1_raw_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387653_iTF_Microglia_10X_Lane2_filtered_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387653_iTF_Microglia_10X_Lane2_raw_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387654_iTF_Microglia_10X_Lane3_filtered_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387654_iTF_Microglia_10X_Lane3_raw_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387655_iTF_Microglia_10X_Lane4_filtered_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387655_iTF_Microglia_10X_Lane4_raw_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387656_iTF_Microglia_sgRNAenrichment_Lane1_filtered_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387656_iTF_Microglia_sgRNAenrichment_Lane1_raw_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387657_iTF_Microglia_sgRNAenrichment_Lane2_filtered_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387657_iTF_Microglia_sgRNAenrichment_Lane2_raw_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387658_iTF_Microglia_sgRNAenrichment_Lane3_filtered_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387658_iTF_Microglia_sgRNAenrichment_Lane3_raw_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387659_iTF_Microglia_sgRNAenrichment_Lane4_filtered_feature_bc_matrix.h5,.h5,False
GSE178317,gse178317_ba77161eeaa1,data/external/v4/perturbation/GSE178317/GSE178317_RAW.tar,GSM5387659_iTF_Microglia_sgRNAenrichment_Lane4_raw_feature_bc_matrix.h5,.h5,False
GSE240609,gse240609_1155194f2ab8,data/external/v4/perturbation/GSE240609/GSE240609_RAW.tar,GSM7703564_45229_14048iN_APOEChurchMG_gene_counts.txt.gz,.gz,False
GSE240609,gse240609_1155194f2ab8,data/external/v4/perturbation/GSE240609/GSE240609_RAW.tar,GSM7703567_45232_14048PSEN_iN_APOECHurchMG_gene_counts.txt.gz,.gz,False
GSE240609,gse240609_1155194f2ab8,data/external/v4/perturbation/GSE240609/GSE240609_RAW.tar,GSM7703569_45227_14048iN_APOE3MG_gene_counts.txt.gz,.gz,False
GSE240609,gse240609_1155194f2ab8,data/external/v4/perturbation/GSE240609/GSE240609_RAW.tar,GSM7703571_45230_14048PSEN_iN_APOE3MG_gene_counts.txt.gz,.gz,False
GSE254205,gse254205_3bc2196b5493,data/external/v4/perturbation/GSE254205/GSE254205_human_APOE3_IPSCmicroglia_ATAC.tar.gz,human_APOE3_IPSCmicroglia_ATAC/APOE33.txt,.txt,False
GSE254205,gse254205_3bc2196b5493,data/external/v4/perturbation/GSE254205/GSE254205_human_APOE3_IPSCmicroglia_ATAC.tar.gz,human_APOE3_IPSCmicroglia_ATAC/APOE33_LD.txt,.txt,False
GSE254205,gse254205_8ae26813ce5d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_LD_sort_RNA_seq.tar.gz,iMG_RNA_Seq_LD_highvLow_readcounts/.DS_Store,,False
GSE254205,gse254205_8ae26813ce5d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_LD_sort_RNA_seq.tar.gz,iMG_RNA_Seq_LD_highvLow_readcounts/33_LD_neg_rep1ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_8ae26813ce5d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_LD_sort_RNA_seq.tar.gz,iMG_RNA_Seq_LD_highvLow_readcounts/33_LD_neg_rep2ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_8ae26813ce5d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_LD_sort_RNA_seq.tar.gz,iMG_RNA_Seq_LD_highvLow_readcounts/33_LD_pos_rep1ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_8ae26813ce5d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_LD_sort_RNA_seq.tar.gz,iMG_RNA_Seq_LD_highvLow_readcounts/33_LD_pos_rep2ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_8ae26813ce5d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_LD_sort_RNA_seq.tar.gz,iMG_RNA_Seq_LD_highvLow_readcounts/44_LD_neg_rep1ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_8ae26813ce5d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_LD_sort_RNA_seq.tar.gz,iMG_RNA_Seq_LD_highvLow_readcounts/44_LD_neg_rep2ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_8ae26813ce5d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_LD_sort_RNA_seq.tar.gz,iMG_RNA_Seq_LD_highvLow_readcounts/44_LD_pos_rep1ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_8ae26813ce5d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_LD_sort_RNA_seq.tar.gz,iMG_RNA_Seq_LD_highvLow_readcounts/44_LD_pos_rep2ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_fca1d393501d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,unsorted_iMG_RNA_seq_readcounts/.DS_Store,,False
GSE254205,gse254205_fca1d393501d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,unsorted_iMG_RNA_seq_readcounts/AB_GNE_rep1ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_fca1d393501d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,unsorted_iMG_RNA_seq_readcounts/AB_GNE_rep2ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_fca1d393501d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,unsorted_iMG_RNA_seq_readcounts/AB_GNE_rep3ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_fca1d393501d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,unsorted_iMG_RNA_seq_readcounts/AB_rep1ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_fca1d393501d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,unsorted_iMG_RNA_seq_readcounts/AB_rep2ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_fca1d393501d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,unsorted_iMG_RNA_seq_readcounts/AB_rep3ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_fca1d393501d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,unsorted_iMG_RNA_seq_readcounts/NT_rep1ReadsPerGene.out.tab,.tab,False
GSE254205,gse254205_fca1d393501d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,unsorted_iMG_RNA_seq_readcounts/NT_rep2ReadsPerGene.out.tab,.tab,False
