source_object,disposition,cell_count,evidence_source,eligibility_status
ALL_SOURCE_OBJECTS,missing_required_annotation,64831,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,excluded
ALL_SOURCE_OBJECTS,retained_with_final_annotation,892828,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,candidate_subject_to_donor_split_and_feature_contract
Astro_data_arranged_updatedId_final_batches.qs,missing_required_annotation,9147,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,excluded
Astro_data_arranged_updatedId_final_batches.qs,retained_with_final_annotation,73487,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,candidate_subject_to_donor_split_and_feature_contract
Endo_data_arranged_updatedId_final_batches.qs,missing_required_annotation,669,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,excluded
Endo_data_arranged_updatedId_final_batches.qs,retained_with_final_annotation,22407,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,candidate_subject_to_donor_split_and_feature_contract
ExN_data_arranged_updatedId_final_batches.qs,missing_required_annotation,13201,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,excluded
ExN_data_arranged_updatedId_final_batches.qs,retained_with_final_annotation,222449,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,candidate_subject_to_donor_split_and_feature_contract
InN_data_arranged_updatedId_final_batches.qs,missing_required_annotation,2200,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,excluded
InN_data_arranged_updatedId_final_batches.qs,retained_with_final_annotation,83702,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,candidate_subject_to_donor_split_and_feature_contract
MG_data_arranged_updatedId_final_batches.qs,missing_required_annotation,7889,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,excluded
MG_data_arranged_updatedId_final_batches.qs,retained_with_final_annotation,59624,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,candidate_subject_to_donor_split_and_feature_contract
Oligo_data_arranged_updatedId_final_batches.qs,missing_required_annotation,28315,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,excluded
Oligo_data_arranged_updatedId_final_batches.qs,retained_with_final_annotation,396292,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,candidate_subject_to_donor_split_and_feature_contract
OPC_data_arranged_updatedId_final_batches.qs,missing_required_annotation,3410,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,excluded
OPC_data_arranged_updatedId_final_batches.qs,retained_with_final_annotation,34867,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,candidate_subject_to_donor_split_and_feature_contract
