cell_id_hash,donor_id_hash,broad_family,annotation,dataset_id,matrix_id,technology,region,global_audit_frequency,within_family_audit_frequency,rna_local_isolation,ledger_local_isolation,pca_local_isolation,rep_local_isolation,rna_rare,ledger_rare,pca_rare,rep_rare,agreement_category,data_defined_candidate_only
030571fbb8cdd2027b6b31cbea46a6d6ffd8f1777860fac95c3e76b51cfb9565,eac353b98e1103ccdbb965e633f341d51e9db1275d69797b9b7c9522352c50ad,Excitatory neurons,Neuronal: Glutamatergic,sea_ad_v1c_rna_final_2026,sea_ad_v1c_rna_final_2026,10xV3.1_HT,V1C,0.00024993751562109475,0.0009765625,0.378796249628067,0.01251871799203863,0.37840912938117977,0.38613531788190203,True,False,False,False,RNA RARE / LEDGER NOT RARE,True
01c3921caadc534a3e584ebb0d6a36e41e51f016026fc786d9274e42ba805220,6fd0e5f20eda1e1b3246d3ab520e6d80ee813378cd2ca466cbad8ade6f4aead0,Excitatory neurons,Neuronal: Glutamatergic,HVS,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.2502580900986989,0.00899718398681515,0.4866047173738479,0.46619213124116266,False,False,True,False,PCA RARE ONLY,True
0255164fa2270144fe248c94e929736e6b2105d294b982c5ec4971629c6acb75,2c6f12f68512809d0dd15936ff985ce6d707fb6943086fc5eb939b684393c957,Excitatory neurons,Neuronal: Glutamatergic,HVS,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.411562196413676,0.012806320259909687,0.5957864503065745,0.5818394074837367,True,True,True,True,RNA + LEDGER + PCA RARE,True
c1d5405dc7b738083e1fd61745af1d71501f2e11332a534911d5985d0d5d2a4f,981c9647f4cffba96dc4da552aac23b8bc800aff6fd9fb4e4edf8eebd53387b9,Excitatory neurons,Neuronal: Glutamatergic,HVS,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.31616027553876236,0.012194136297087765,0.5179674863815308,0.5260438044865926,False,False,True,True,PCA RARE ONLY,True
04162c159526bf5f43c97e26192c2d03986c1deb984755433acfa470e3f36f3a,199f0a9d6545cbbeedb8236744d5a8aeb1d0264d42735d65f7d4fb8d5b2123af,Excitatory neurons,Neuronal: Glutamatergic,sea_ad_mec_rna_final_2026,sea_ad_mec_rna_final_2026,10Xv3.1,MEC,0.00024993751562109475,0.0009765625,0.35739648739496865,0.012708604005410296,0.3466818610827128,0.3642329494158427,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,True
003976ba2ec14d525cd07290551b405e3ddea6fe8174c4ef0ad87864e3467d96,199f0a9d6545cbbeedb8236744d5a8aeb1d0264d42735d65f7d4fb8d5b2123af,Excitatory neurons,Neuronal: Glutamatergic,sea_ad_mec_rna_final_2026,sea_ad_mec_rna_final_2026,10Xv3.1,MEC,0.00024993751562109475,0.0009765625,0.3425052245457967,0.012523149409440104,0.610106036067009,0.6369275112946828,True,True,True,True,RNA + LEDGER + PCA RARE,True
0007c06b443cec4ff472a7296913eae1f6835fc4501d5282f2e94a0950334846,199f0a9d6545cbbeedb8236744d5a8aeb1d0264d42735d65f7d4fb8d5b2123af,Excitatory neurons,Neuronal: Glutamatergic,sea_ad_mec_rna_final_2026,sea_ad_mec_rna_final_2026,10Xv3.1,MEC,0.00024993751562109475,0.0009765625,0.3695912261803945,0.01223809956225519,0.3558311859766642,0.3643478929996491,True,False,False,False,RNA RARE / LEDGER NOT RARE,True
071123a4ee09e04c7654c16d69c0fb2453dc14e1bec53e9ff810c5b95c094dcc,21ee87c8140442bbdb6627a389d220675c9ba4853394fcfdd7e0d2f912ed973d,Excitatory neurons,Neuronal: Glutamatergic,sea_ad_mec_rna_final_2026,sea_ad_mec_rna_final_2026,10Xv3.1,MEC,0.00024993751562109475,0.0009765625,0.3447582185268402,0.012617196559265298,0.35595504244168596,0.3654182076454162,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,True
022303f193997e2edd909c8372f7ac5d02237344e10666ed4d8f01898c9de7e8,d5e4b8fd77ff5fff0a81ae789804eef6bb53d0231387e1e722f5d189bed9e358,Excitatory neurons,Neuronal: Glutamatergic,sea_ad_ang_rna_final_2026,sea_ad_ang_rna_final_2026,10xMulti,AnG,0.00024993751562109475,0.0009765625,0.4399156610171,0.015379757162798047,0.4997236678997675,0.5127180228630701,True,True,True,True,RNA + LEDGER + PCA RARE,True
00b5952930b2fb3798adab6353320386499a0664d02e105f4a18b3df7fce5055,3aec5a6c60e9fcc5b6bc2d4b449ba0b5c9985417b33d49dbcebcc74e8725f736,Excitatory neurons,Neuronal: Glutamatergic,sea_ad_ang_rna_final_2026,sea_ad_ang_rna_final_2026,10xMulti,AnG,0.00024993751562109475,0.0009765625,0.3564131240049998,0.01302585816156765,0.3934365212917328,0.4117014288902283,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,True
010b98bbd84e69858c68bcdfbcc888b4e342526a023626338fe3ee652a6ff254,ee3027c99e5878bf1b078814a76a2ae2ced76a4b403894137c50216fff50c9bc,Excitatory neurons,Neuronal: Glutamatergic,sea_ad_ang_rna_final_2026,sea_ad_ang_rna_final_2026,10xMulti,AnG,0.00024993751562109475,0.0009765625,0.4312987685203552,0.014614810991223304,0.36596378485361736,0.3772620876630147,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,True
