status,block_start,block_end,observed_recurrent_residual_statistic,null_mean,null_p95,empirical_p,donor_refit_median_canonical_correlation,donor_refit_median_projector_similarity,bh_q,heldout_improvement_supported,null_significant,donor_refit_supported,supported_by_rule,retained,stop_triggered,ordering_failure,pre_bulk_block
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,16,0.9935639533779509,0.7767632257755308,0.782507275460511,0.009900990099009901,0.9941130876541138,0.9343117475509644,0.009900990099009901,False,False,False,False,False,False,False,True
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,17,32,0.900793238781141,-0.3782532077892115,-0.3517639061259164,0.009900990099009901,0.9780386090278625,0.8100374937057495,0.009900990099009901,False,False,False,False,False,False,False,True
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,33,48,0.6953579164803341,-0.21641877189788655,-0.180269402498334,0.009900990099009901,0.7841215133666992,0.5432348251342773,0.009900990099009901,False,False,False,False,False,False,False,True
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,49,64,0.6278175378517046,-0.23334274340040906,-0.2081400465167001,0.009900990099009901,0.6773951053619385,0.45475316047668457,0.009900990099009901,False,False,False,False,False,False,False,True
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,65,80,0.5000568125628068,-0.32845698065505013,-0.30980414290108804,0.009900990099009901,0.656782329082489,0.43844741582870483,0.009900990099009901,False,False,False,False,False,False,False,True
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,81,96,0.5154312768110662,-0.325774561700526,-0.30348236645058807,0.009900990099009901,0.5643514394760132,0.3639565408229828,0.009900990099009901,False,False,False,False,False,False,False,True
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,97,112,0.4953204081943701,-0.3117839368066429,-0.2959157811147532,0.009900990099009901,0.44986188411712646,0.2952238619327545,0.009900990099009901,False,False,False,False,False,False,False,True
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,113,128,0.4552459251118621,-0.4189375465118612,-0.3974400960356178,0.009900990099009901,0.3311675786972046,0.21131253242492676,0.009900990099009901,False,False,False,False,False,False,False,True
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,129,144,0.43645955142702003,-0.4575869045818265,-0.43598487609629893,0.009900990099009901,0.25984200835227966,0.1653771996498108,0.009900990099009901,False,False,False,False,False,False,False,True
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,145,160,0.43166713429210496,-0.46210770687596375,-0.44450477489891865,0.009900990099009901,0.2340635061264038,0.14205104112625122,0.009900990099009901,False,False,False,False,False,False,False,True
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,161,176,0.4140570686620048,-0.5794444260749678,-0.5557259659020232,0.009900990099009901,0.19232912361621857,0.08062655478715897,0.009900990099009901,False,False,False,False,False,False,False,True
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,177,192,0.45543602009991013,-0.5213183409511359,-0.5014456669935137,0.009900990099009901,0.15276667475700378,0.1386171579360962,0.009900990099009901,False,False,False,False,False,False,False,True
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,193,208,0.47094934998320853,-0.49286321483351775,-0.47198988328169084,0.009900990099009901,0.15194281935691833,0.06749463081359863,0.009900990099009901,False,False,False,False,False,False,False,True
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,209,224,0.4511987602715176,-0.5480056509966864,-0.5275657566540387,0.009900990099009901,0.12977099418640137,0.04488605633378029,0.009900990099009901,False,True,False,False,False,True,False,False
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,225,240,0.4220682489632404,-0.5495793335889367,-0.5286391030515716,0.009900990099009901,0.11886070668697357,0.03624254837632179,0.009900990099009901,False,True,False,False,False,False,False,False
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,241,256,0.32171392457104037,-0.6566294319786818,-0.6358291095633662,0.009900990099009901,0.12943707406520844,0.027368908748030663,0.009900990099009901,False,True,False,False,False,False,False,False
