dataset_id,study_id,matrix_path_or_object,matrix_slot,matrix_orientation,matrix_semantics,sparse_or_dense,integer_counts_available,normalization_already_applied,log_transform_already_applied,feature_namespace,cell_namespace,measured_gene_definition,zero_interpretation,foundation_eligible,transformation_contract,exclusion_reason,feature_universe_hash,n_obs,n_vars
HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,HVS,data/external/v4/living_human/hvs/19cd530b-622c-4bd8-b738-dbf169412cb0.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,4683,18736
HVS::38374d1b-6549-4429-b59a-ff2706dacd96,HVS,data/external/v4/living_human/hvs/38374d1b-6549-4429-b59a-ff2706dacd96.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,8213,18736
HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,HVS,data/external/v4/living_human/hvs/42c9001a-3a29-4952-aaa0-b55e73851a5c.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,563,18736
HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,HVS,data/external/v4/living_human/hvs/4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,19711,18736
HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,HVS,data/external/v4/living_human/hvs/57f3c92b-a07a-41da-b660-88eb9f93c4c9.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,79631,18736
HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,HVS,data/external/v4/living_human/hvs/5e9da577-f665-44af-b9b4-fa0d5ad1964d.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,301,18736
HVS::5fff0955-173e-407d-b160-64f513ca6db6,HVS,data/external/v4/living_human/hvs/5fff0955-173e-407d-b160-64f513ca6db6.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,28718,18736
HVS::6201fd7d-f35b-4487-bace-99426881237b,HVS,data/external/v4/living_human/hvs/6201fd7d-f35b-4487-bace-99426881237b.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,5399,18736
HVS::77dc6994-2777-4fad-a445-4ff7d143a682,HVS,data/external/v4/living_human/hvs/77dc6994-2777-4fad-a445-4ff7d143a682.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,7156,18736
HVS::7958eba0-1d79-42e3-8947-a198f98578f2,HVS,data/external/v4/living_human/hvs/7958eba0-1d79-42e3-8947-a198f98578f2.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,1465,18736
