annotation,resamples,conclusion_stability,critical_flags,ledger_same_class_purity_median,ledger_same_class_purity_min,ledger_same_class_purity_max,ledger_same_class_purity_std,pca_same_class_purity_median,pca_same_class_purity_min,pca_same_class_purity_max,pca_same_class_purity_std,ledger_donor_heldout_recall_median,ledger_donor_heldout_recall_min,ledger_donor_heldout_recall_max,ledger_donor_heldout_recall_std,pca_donor_heldout_recall_median,pca_donor_heldout_recall_min,pca_donor_heldout_recall_max,pca_donor_heldout_recall_std
Astro,4,STABLE,0,0.9994791666666667,0.9984375,1.0,0.0005675649666068708,0.9942708333333334,0.9932291666666666,0.9963541666666667,0.0011351299332137226,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
CN LAMP5-CXCL14 GABASubclass,4,STABLE,0,0.9812500000000001,0.9776041666666667,0.9875,0.0036341889939981446,0.9739583333333334,0.9703125000000001,0.9833333333333334,0.004946203102401701,0.99609375,0.9921875,1.0,0.00390625,1.0,0.9921875,1.0,0.0033829117335329633
CN ST18 GABASubclass,4,STABLE,0,0.9932291666666666,0.9911458333333334,0.9942708333333333,0.001193379087228064,0.9861979166666667,0.9828125000000001,0.9942708333333333,0.004849277200399966,1.0,1.0,1.0,0.0,0.98828125,0.984375,1.0,0.00647778279366289
Endo,4,STABLE,0,0.9809895833333333,0.9796875,0.9880208333333333,0.0032811466584255536,0.9979166666666667,0.9963541666666667,0.9984375000000001,0.0008637043724884033,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
EpendymalSubclass,4,STABLE,0,0.97578125,0.9739583333333334,0.9859375,0.00475215822679549,0.9822916666666666,0.9796875,0.9854166666666667,0.002159260931220968,0.984375,0.984375,0.9921875,0.0033829117335329633,0.98828125,0.984375,0.9921875,0.00390625
LSXSubclass,4,STABLE,0,0.95859375,0.9583333333333334,0.9588541666666668,0.0002604166666666796,0.9799479166666667,0.9796875,0.9802083333333333,0.00026041666666665186,0.953125,0.953125,0.953125,0.0,0.9921875,0.9921875,0.9921875,0.0
Microglia-PVMSubclass,4,STABLE,0,0.9377260981912146,0.9260981912144703,0.9431524547803618,0.007128224405237083,0.9700258397932817,0.9658914728682171,0.977777777777778,0.004670859814606047,0.9612403100775194,0.9612403100775194,0.9612403100775194,0.0,0.9922480620155039,0.9922480620155039,1.0,0.0033566876115675975
OPC,4,STABLE,0,0.9927083333333333,0.9901041666666667,1.0,0.003762547728333298,0.9911458333333334,0.9875,1.0,0.0051097439766532625,0.98828125,0.984375,1.0,0.00647778279366289,0.98828125,0.984375,1.0,0.00647778279366289
OPCSubclass,4,STABLE,0,0.9966145833333333,0.9937499999999999,0.9994791666666667,0.0020995462886194464,0.9950520833333333,0.9921875,0.9984375,0.002561499423555466,1.0,1.0,1.0,0.0,0.99609375,0.9921875,1.0,0.00390625
OligodendrocyteSubclass,4,STABLE,0,0.9085271317829458,0.8966408268733852,0.9209302325581397,0.009643298685755568,0.9604651162790698,0.9596899224806202,0.9612403100775195,0.0007751937984496471,0.9806201550387597,0.9767441860465116,0.9922480620155039,0.0064275674231693905,1.0,1.0,1.0,0.0
STR Hybrid MSNSubclass,4,STABLE,0,0.996875,0.9927083333333333,0.9979166666666667,0.002131602284341798,0.9950520833333334,0.9916666666666667,0.9973958333333334,0.0022401888716256793,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
STR RSPO2 GABASubclass,4,STABLE,0,0.9570312500000001,0.9447916666666668,0.9609375000000001,0.006298638865858226,0.9593750000000001,0.95625,0.9651041666666668,0.003689746696693962,1.0,1.0,1.0,0.0,1.0,0.9921875,1.0,0.0033829117335329633
Sst ChodlSubclass,4,STABLE,0,0.9984375000000001,0.9963541666666667,1.0,0.0012955565587325854,0.97421875,0.971875,0.9796875,0.0028763960982258517,1.0,1.0,1.0,0.0,0.99609375,0.9921875,1.0,0.00390625
VipSubclass,4,STABLE,0,0.9455729166666667,0.9416666666666667,0.9500000000000002,0.0035777686625089347,0.9460937500000001,0.9427083333333335,0.95,0.0028852239330937352,0.99609375,0.9921875,1.0,0.00390625,1.0,1.0,1.0,0.0
