dataset_id,shape,matrix_semantics,x_dtype,raw_present,layers,integer_count_layer_available,normalization_evidence,expression_matrix_loaded,feature_space_class,equivalent_to_full_rna_matrix
gse133357_regional_microglia_fpkm,"[""not_applicable"", ""not_applicable""]",text_matrix_or_documentation,text,not_applicable,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse146639_processed_microglia_archive,"[""not_applicable"", ""not_applicable""]",text_matrix_or_documentation,text,not_applicable,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse175721_09deb6fed0c6,unresolved_source_archive_or_table,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse175721_efcc78179a9c,unresolved_source_archive_or_table,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse178317_ba77161eeaa1,unresolved_source_archive_or_table,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse178317_f5881facc710,unresolved_source_archive_or_table,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse240609_1155194f2ab8,unresolved_source_archive_or_table,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse241858_139c1d1976d8,unresolved_source_archive_or_table,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse241858_cb7d87bdeb0f,unresolved_source_archive_or_table,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse243292_full_dlpfc_h5ad,"[122606, 26423]",csr_matrix,float32,False,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse243292_readme,"[""not_applicable"", ""not_applicable""]",text_matrix_or_documentation,text,not_applicable,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse254205_3bc2196b5493,unresolved_source_archive_or_table,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse254205_8ae26813ce5d,unresolved_source_archive_or_table,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse254205_cff143b59c0c,unresolved_source_archive_or_table,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse254205_fca1d393501d,unresolved_source_archive_or_table,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse293118_1d15aff2e5fa,unresolved_source_archive_or_table,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse293118_6dab6ce5e82e,unresolved_source_archive_or_table,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
