status,fixture,factor_family,oracle_h_r2,graph_free_h_r2,graph_free_minus_oracle_r2
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,antagonistic,0.7875729327537193,0.7874119159495557,-0.00016101680416358288
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,broad,0.7645858660895815,0.7644135468685107,-0.00017231922107080466
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,compact,0.5818699001976765,0.5815836573982571,-0.00028624279941935615
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,distributed,0.7988270841487536,0.7986990357891698,-0.0001280483595837989
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,donor,0.7885248302908464,0.7884375005225591,-8.7329768287292e-05
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,fine,0.7792704584332927,0.7791102421105021,-0.00016021632279061837
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,rare,0.5880364050689427,0.5874480153995167,-0.0005883896694259816
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,state,0.7779101802759484,0.7778129808459469,-9.719943000147113e-05
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,subtype,0.8401296136855476,0.8400553615679847,-7.425211756301175e-05
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,antagonistic,0.8152206436868441,0.8149480796035762,-0.00027256408326797876
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,broad,0.8633033896955079,0.8631041529173495,-0.00019923677815841812
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,compact,0.5668886578292425,0.5668512394941032,-3.741833513926096e-05
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,distributed,0.883007603870732,0.8829572509828232,-5.03528879088333e-05
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,donor,0.7753569742724739,0.7753466499532113,-1.0324319262455806e-05
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,fine,0.8292458380184652,0.8290880563573733,-0.00015778166109195468
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,rare,0.5411975900026611,0.5403888379601314,-0.0008087520425297257
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,state,0.868296191171718,0.8681036402664394,-0.00019255090527864338
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,subtype,0.9034136445918416,0.9032854662296863,-0.0001281783621553123
