rare_neighborhood_id,broad_family,technical_concern,log_library_median_abs_robust_z,detected_genes_median_abs_robust_z,zero_fraction_median_abs_robust_z,quality_fields_used,new_qc_filter_applied
Astrocytes::001,Astrocytes,HIGH TECHNICAL CONCERN,3.5178709572405094,2.624025572102459,2.624025572102459,library_size;detected_genes;zero_fraction,False
Astrocytes::002,Astrocytes,MIXED TECHNICAL ASSOCIATION,2.7704414304899743,2.19699898388797,2.19699898388797,library_size;detected_genes;zero_fraction,False
Endothelial___vascular::001,Endothelial / vascular,MIXED TECHNICAL ASSOCIATION,2.1696598589640916,0.9656994683299823,0.9656994683299823,library_size;detected_genes;zero_fraction,False
Endothelial___vascular::002,Endothelial / vascular,LOW TECHNICAL CONCERN,0.5841064542604422,0.5089014936580025,0.5089014936580025,library_size;detected_genes;zero_fraction,False
Endothelial___vascular::003,Endothelial / vascular,LOW TECHNICAL CONCERN,0.4168819546938908,0.3347472658143102,0.3347472658143102,library_size;detected_genes;zero_fraction,False
Ependymal::001,Ependymal,LOW TECHNICAL CONCERN,1.431754112202598,1.0666903606130718,1.0666903606130718,library_size;detected_genes;zero_fraction,False
Excitatory_neurons::001,Excitatory neurons,MIXED TECHNICAL ASSOCIATION,2.132528743681742,2.7249744464130994,2.7249744464130994,library_size;detected_genes;zero_fraction,False
Excitatory_neurons::002,Excitatory neurons,HIGH TECHNICAL CONCERN,2.626679151321618,3.4479268505635137,3.4479268505635137,library_size;detected_genes;zero_fraction,False
Excitatory_neurons::003,Excitatory neurons,MIXED TECHNICAL ASSOCIATION,1.2035656556882344,1.6429291997616005,1.6429291997616005,library_size;detected_genes;zero_fraction,False
Excitatory_neurons::004,Excitatory neurons,HIGH TECHNICAL CONCERN,2.5080589412013974,3.4352155995015283,3.4352155995015283,library_size;detected_genes;zero_fraction,False
Excitatory_neurons::005,Excitatory neurons,MIXED TECHNICAL ASSOCIATION,2.473580654961667,2.8727427400086785,2.8727427400086785,library_size;detected_genes;zero_fraction,False
Excitatory_neurons::006,Excitatory neurons,HIGH TECHNICAL CONCERN,2.998730305740165,3.521016544169929,3.521016544169929,library_size;detected_genes;zero_fraction,False
Excitatory_neurons::007,Excitatory neurons,MIXED TECHNICAL ASSOCIATION,2.506380831302297,2.860031488946693,2.860031488946693,library_size;detected_genes;zero_fraction,False
Excitatory_neurons::008,Excitatory neurons,HIGH TECHNICAL CONCERN,3.3694604769043646,3.6910295271239826,3.6910295271239826,library_size;detected_genes;zero_fraction,False
Excitatory_neurons::009,Excitatory neurons,MIXED TECHNICAL ASSOCIATION,2.7107366502715986,2.9696660293563166,2.9696660293563166,library_size;detected_genes;zero_fraction,False
Excitatory_neurons::010,Excitatory neurons,MIXED TECHNICAL ASSOCIATION,2.155808717500792,2.8298422676744783,2.8298422676744783,library_size;detected_genes;zero_fraction,False
Excitatory_neurons::011,Excitatory neurons,MIXED TECHNICAL ASSOCIATION,1.4509822985358676,2.6359956889792024,2.6359956889792024,library_size;detected_genes;zero_fraction,False
Excitatory_neurons::012,Excitatory neurons,MIXED TECHNICAL ASSOCIATION,2.5403497799252825,2.8473202378847082,2.8473202378847082,library_size;detected_genes;zero_fraction,False
Excitatory_neurons::013,Excitatory neurons,MIXED TECHNICAL ASSOCIATION,1.4908712319221769,1.9654771954594776,1.9654771954594776,library_size;detected_genes;zero_fraction,False
Excitatory_neurons::014,Excitatory neurons,HIGH TECHNICAL CONCERN,2.8961345853979887,3.29539183781969,3.29539183781969,library_size;detected_genes;zero_fraction,False
