status,study_id,matrix_id,n_evaluations,raw_measured_scalar_ceiling_r2,projected_global_state_recovery_r2,gap_to_raw_measured_scalar_ceiling,paired_view_identity_baseline_r2,paired_view_projected_r2
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,5,1.0,0.3176105128107062,0.6823894871892938,-0.3353916881645843,0.21696967689788763
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,5,1.0,0.38583532896485234,0.6141646710351477,-0.19123098262514046,0.27210046874657623
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,5,1.0,0.41853634245689,0.58146365754311,-0.13949711165007236,0.29560249889986817
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,5,1.0,0.3013337260715591,0.6986662739284408,-0.32216216284233984,0.20548215877326764
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,5,1.0,0.34169585984177353,0.6583041401582265,-0.2707784645981407,0.23424123752338746
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,5,1.0,0.31427818950228364,0.6857218104977163,-0.2907379009245745,0.21428151070943285
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::5fff0955-173e-407d-b160-64f513ca6db6,5,1.0,0.209087688327672,0.790912311672328,-0.4797254519424713,0.13083227298617256
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::6201fd7d-f35b-4487-bace-99426881237b,5,1.0,0.3581824783545993,0.6418175216454006,-0.22469925564806634,0.24903820654486716
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,5,1.0,0.362655841536757,0.637344158463243,-0.2323204907824969,0.25105648254115887
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,5,1.0,0.2676382069524791,0.7323617930475209,-0.4189702675138287,0.17376310590306623
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,5,1.0,0.26206855646657085,0.7379314435334292,-0.37714035280907465,0.1963829462304722
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,5,1.0,0.3689523146986827,0.6310476853013173,-0.22657887623664386,0.2540411112770253
