status,matrix_id,source_dataset_id,input_representation,expected_measured_addresses,actual_available_addresses,exact_intersection,expected_but_missing,unexpected_addresses,missing_current_exact,missing_legacy_exact,missing_source_native_anchored,historical_top_k_truncation_detected,closure_pass
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::5fff0955-173e-407d-b160-64f513ca6db6,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::6201fd7d-f35b-4487-bace-99426881237b,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
