synapse_id,parent_project_id,object_type,file_name,file_version,content_type,processed_or_raw,metadata_visible,download_test_succeeded,access_tier,certification_required,clickthrough_required,validated_profile_required,institutional_signature_required,irb_required,manual_committee_review_required,acquisition_status,scientific_role,blocker
syn21898410,,,,,,,False,False,metadata_visible_file_access_unresolved,,,,,,,metadata_unavailable,living_nph_bulk_cortex_validation_candidate,SynapseAuthenticationError
syn2580853,syn4489,Project,AD Knowledge Portal - backend,,,metadata_or_processed_candidate,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn26337520,syn5550382,Folder,LBP,,,metadata_or_processed_candidate,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn26337524,syn26337520,Folder,Data,,,metadata_or_processed_candidate,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn27127033,syn26337524,Folder,Metadata,,,metadata_or_processed_candidate,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn27127036,syn26337524,Folder,Gene Expression (RNAseq),,,metadata_or_processed_candidate,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29783855,syn27127036,File,LBPSEMA4BRAIN036_run1_S35_L001_R1_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29783971,syn27127036,File,LBPSEMA4BRAIN036_run1_S35_L001_R2_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29783979,syn27127036,File,LBPSEMA4BRAIN036_run1_S35_L002_R1_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784010,syn27127036,File,LBPSEMA4BRAIN036_run1_S35_L002_R2_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784050,syn27127036,File,LBPSEMA4BRAIN036_run1_S35_L003_R1_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784073,syn27127036,File,LBPSEMA4BRAIN036_run1_S35_L003_R2_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784085,syn27127036,File,LBPSEMA4BRAIN036_run1_S35_L004_R1_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784106,syn27127036,File,LBPSEMA4BRAIN036_run1_S35_L004_R2_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784133,syn27127036,File,LBPSEMA4BRAIN036_run2_S35_L001_R1_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784145,syn27127036,File,LBPSEMA4BRAIN036_run2_S35_L001_R2_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784169,syn27127036,File,LBPSEMA4BRAIN036_run2_S35_L002_R1_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784187,syn27127036,File,LBPSEMA4BRAIN036_run2_S35_L002_R2_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784212,syn27127036,File,LBPSEMA4BRAIN036_run2_S35_L003_R1_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784233,syn27127036,File,LBPSEMA4BRAIN036_run2_S35_L003_R2_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784247,syn27127036,File,LBPSEMA4BRAIN036_run2_S35_L004_R1_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784400,syn27127036,File,LBPSEMA4BRAIN036_run2_S35_L004_R2_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784414,syn27127036,File,LBPSEMA4BRAIN273_run1_S163_L001_R1_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784422,syn27127036,File,LBPSEMA4BRAIN273_run1_S163_L001_R2_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784428,syn27127036,File,LBPSEMA4BRAIN273_run1_S163_L002_R1_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784440,syn27127036,File,LBPSEMA4BRAIN273_run1_S163_L002_R2_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784455,syn27127036,File,LBPSEMA4BRAIN273_run1_S163_L003_R1_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
syn29784473,syn27127036,File,LBPSEMA4BRAIN273_run1_S163_L003_R2_001.fastq.gz,1,,raw_or_prohibited,True,False,metadata_visible_file_access_unresolved,False,False,False,False,False,False,access_blocked_or_unresolved,living_dbs_cortex_alignment_candidate,download_permission_not_verified
