left_dataset,right_dataset,comparison,exact_overlap_count,fuzzy_matching_used,action
GSE226602,GSE226267,exact_donor_ids,45,False,retain_cross_modal_donor_linkage_without_pooling_modalities
GSE146639,living_human_portfolio,tissue_state,0,False,retain_postmortem_only
