dataset_id,frozen4096_ambiguous,frozen4096_duplicate_conflict,frozen4096_exact_ensembl_overlap,frozen4096_structurally_unmeasured,frozen4096_support_fraction,frozen4096_total_supported,frozen4096_unambiguous_symbol_rescue,missingness_semantics,sample_id,source_feature_count
10x_Xenium_healthy_cortex_preview,0,0,0,4096,0.0,0,0,support_mask_separate_from_measured_zero,dataset_level,0
CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,0,0,4095,1,0.999755859375,4095,0,support_mask_separate_from_measured_zero,donor_H18.30.001,58232
CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,0,0,4095,1,0.999755859375,4095,0,support_mask_separate_from_measured_zero,donor_H18.30.002,58232
CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,0,0,4095,1,0.999755859375,4095,0,support_mask_separate_from_measured_zero,donor_H19.30.001,58232
CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,0,0,4095,1,0.999755859375,4095,0,support_mask_separate_from_measured_zero,donor_H19.30.002,58232
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,0,0,4094,2,0.99951171875,4094,0,support_mask_separate_from_measured_zero,donor_1C41i,36924
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,0,0,4094,2,0.99951171875,4094,0,support_mask_separate_from_measured_zero,donor_3u5kk,36924
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,0,0,4094,2,0.99951171875,4094,0,support_mask_separate_from_measured_zero,donor_TweV8,36924
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,0,0,4094,2,0.99951171875,4094,0,support_mask_separate_from_measured_zero,donor_buFpQ,36924
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,0,0,4094,2,0.99951171875,4094,0,support_mask_separate_from_measured_zero,donor_eXCJJ,36924
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,0,0,4094,2,0.99951171875,4094,0,support_mask_separate_from_measured_zero,donor_f5sVM,36924
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,0,0,4094,2,0.99951171875,4094,0,support_mask_separate_from_measured_zero,donor_siletti_H18.30.002,36924
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,0,0,4094,2,0.99951171875,4094,0,support_mask_separate_from_measured_zero,donor_siletti_H19.30.001,36924
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,0,0,4094,2,0.99951171875,4094,0,support_mask_separate_from_measured_zero,donor_siletti_H19.30.002,36924
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,0,0,4094,2,0.99951171875,4094,0,support_mask_separate_from_measured_zero,donor_tzan2,36924
CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,0,0,4094,2,0.99951171875,4094,0,support_mask_separate_from_measured_zero,donor_znZv1,36924
CosMx_WTX_human_hippocampus,0,0,0,4096,0.0,0,0,support_mask_separate_from_measured_zero,dataset_level,0
CosMx_human_frontal_cortex_6K,0,0,0,4096,0.0,0,0,support_mask_separate_from_measured_zero,dataset_level,0
GSE248545,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM7916581,36601
GSE248545,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM7916582,36601
GSE248545,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM7916583,36601
GSE248545,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM7916584,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224155,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224156,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224157,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224158,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224159,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224160,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224161,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224162,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224163,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224164,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224165,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224166,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224167,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224168,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224169,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224170,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224171,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224172,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224173,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224174,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224175,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224176,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224177,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224178,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224179,36601
GSE264624,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,GSM8224180,36601
GSE264692,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,V10B01-085_A1,36601
GSE264692,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,V10B01-085_B1,36601
GSE264692,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,V10B01-085_C1,36601
GSE264692,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,V10B01-085_D1,36601
GSE264692,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,V10B01-086_A1,36601
GSE264692,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,V10B01-086_B1,36601
GSE264692,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,V10B01-086_C1,36601
GSE264692,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,V10B01-086_D1,36601
GSE264692,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,V11A20-297_A1,36601
GSE264692,0,0,4096,0,1.0,4096,0,support_mask_separate_from_measured_zero,V11A20-297_B1,36601
