baseline_effective_rank,baseline_ema,baseline_jepa_diagnostic_loss,baseline_known_factor_heldout_mean_r2,baseline_online_effective_rank,baseline_online_known_factor_heldout_mean_r2,baseline_online_top_singular_energy_fraction,baseline_slot_cosine,baseline_slot_variance,baseline_top_singular_energy_fraction,difference_test_minus_baseline_effective_rank,difference_test_minus_baseline_jepa_diagnostic_loss,difference_test_minus_baseline_known_factor_heldout_mean_r2,difference_test_minus_baseline_online_effective_rank,difference_test_minus_baseline_online_known_factor_heldout_mean_r2,difference_test_minus_baseline_online_top_singular_energy_fraction,difference_test_minus_baseline_slot_cosine,difference_test_minus_baseline_slot_variance,difference_test_minus_baseline_top_singular_energy_fraction,fixture,optimizer_step,seed,test_effective_rank,test_ema,test_jepa_diagnostic_loss,test_known_factor_heldout_mean_r2,test_online_effective_rank,test_online_known_factor_heldout_mean_r2,test_online_top_singular_energy_fraction,test_slot_cosine,test_slot_variance,test_top_singular_energy_fraction
4.767387390136719,0.99925,0.2552623972296715,-0.15957944249586278,4.767387390136719,-0.15957944249586278,0.9904568195343018,0.9908130764961243,0.00880404282361269,0.9904568195343018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,balanced_multifactor,0,8114001,4.767387390136719,0.996,0.2552623972296715,-0.15957944249586278,4.767387390136719,-0.15957944249586278,0.9904568195343018,0.9908130764961243,0.00880404282361269,0.9904568195343018
4.7690534591674805,0.99925,0.008091459574643523,-0.15731834582879212,4.750579833984375,-0.20948865042028908,0.9915963411331177,0.990839958190918,0.008778402581810951,0.9904636740684509,-0.0025548934936523438,-0.0005303652724251151,0.003649756150829103,0.0039196014404296875,0.011557693769897626,-9.953975677490234e-06,0.0001157522201538086,-0.00011055544018745422,3.4749507904052734e-05,balanced_multifactor,20,8114001,4.766498565673828,0.996,0.007561094302218407,-0.153668589677963,4.754499435424805,-0.19793095665039145,0.9915863871574402,0.9909557104110718,0.008667847141623497,0.990498423576355
4.761773586273193,0.99925,0.0019744945457205176,-0.1834520515045303,4.320761680603027,-0.15728647428253642,0.9927998781204224,0.9909559488296509,0.008667336776852608,0.9905089735984802,-0.02435588836669922,-0.00020782672800123692,0.02516476295993053,0.02692699432373047,-0.03417404519578873,-5.2094459533691406e-05,0.0005741119384765625,-0.0005490323528647423,0.0002110004425048828,balanced_multifactor,50,8114001,4.737417697906494,0.996,0.0017666678177192807,-0.15828728854459978,4.347688674926758,-0.19146051947832515,0.9927477836608887,0.9915300607681274,0.008118304423987865,0.9907199740409851
4.729004859924316,0.99925,0.0010050349446828477,-0.17906777642920563,3.917074680328369,-0.16203002386573576,0.9933204650878906,0.9911156296730042,0.008514461107552052,0.9906248450279236,-0.11179590225219727,-0.00015472610539291054,-0.00606007978991327,0.08293581008911133,0.04215501146138523,-1.436471939086914e-05,0.0011164546012878418,-0.0010676966048777103,0.0005761981010437012,balanced_multifactor,100,8114001,4.617208957672119,0.996,0.0008503088392899372,-0.1851278562191189,4.0000104904174805,-0.11987501240435053,0.9933061003684998,0.992232084274292,0.007446764502674341,0.9912010431289673
4.667243957519531,0.99925,0.0005701859190594405,-0.14796862640439956,3.8103625774383545,-0.11735203661337823,0.9932644367218018,0.9912731051445007,0.008363647386431694,0.9908337593078613,-0.3005390167236328,-7.302391895791516e-05,-0.012767391585305793,0.023082733154296875,0.016230335292890474,0.0002955198287963867,0.001610875129699707,-0.001539657823741436,0.0011509060859680176,balanced_multifactor,200,8114001,4.366704940795898,0.996,0.0004971620001015253,-0.16073601798970535,3.8334453105926514,-0.10112170132048776,0.9935599565505981,0.9928839802742004,0.006823989562690258,0.9919846653938293
4.585951328277588,0.99925,0.0004190359395579435,-0.14466305136877594,3.7092037200927734,-0.0849863195291889,0.993441641330719,0.9913401007652283,0.008299531415104866,0.9910486340522766,-0.4299321174621582,-4.750791049445979e-05,0.005090900112977387,-0.03105473518371582,-0.018329256011883704,0.00046062469482421875,0.001865088939666748,-0.0017826398834586143,0.0015341639518737793,balanced_multifactor,300,8114001,4.15601921081543,0.996,0.0003715280290634837,-0.13957215125579855,3.6781489849090576,-0.10331557554107261,0.9939022660255432,0.993205189704895,0.006516891531646252,0.9925827980041504
4.423131942749023,0.99925,0.0002950154866994126,-0.11906259384913999,3.4989869594573975,-0.06553383682382927,0.9938604235649109,0.9913849830627441,0.008256129920482635,0.9914734959602356,-0.625861406326294,-3.319052302686032e-05,0.006269212406222149,-0.07851910591125488,-0.031190172085316756,0.0006023049354553223,0.002154827117919922,-0.0020619770511984825,0.002042710781097412,balanced_multifactor,500,8114001,3.7972705364227295,0.996,0.00026182496367255226,-0.11279338144291784,3.4204678535461426,-0.09672400890914602,0.9944627285003662,0.9935398101806641,0.006194152869284153,0.993516206741333
4.822664737701416,0.99925,0.16795586235821247,-0.18127165842561518,4.822664737701416,-0.18127165842561518,0.9911974668502808,0.9904298782348633,0.009171289391815662,0.9911974668502808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,balanced_multifactor,0,8114002,4.822664737701416,0.996,0.16795586235821247,-0.18127165842561518,4.822664737701416,-0.18127165842561518,0.9911974668502808,0.9904298782348633,0.009171289391815662,0.9911974668502808
4.817785263061523,0.99925,0.005573188595008105,-0.14860431473680952,4.706790924072266,-0.17618949945461496,0.9923251271247864,0.9904610514640808,0.009141345508396626,0.9912095665931702,0.00315093994140625,-0.0002040470135398209,-0.0036199890940483703,0.008397102355957031,-0.007722961782722582,-6.198883056640625e-06,0.00013077259063720703,-0.00012518279254436493,2.6047229766845703e-05,balanced_multifactor,20,8114002,4.82093620300293,0.996,0.005369141581468284,-0.1522243038308579,4.715188026428223,-0.18391246123733754,0.9923189282417297,0.990591824054718,0.00901616271585226,0.991235613822937
4.806735992431641,0.99925,0.0017149627819890156,-0.1725340817026671,4.268106460571289,-0.14868448536412848,0.9935013055801392,0.9905790090560913,0.009028231725096703,0.9912509322166443,-0.03199291229248047,-0.00017865904374048114,0.004337329149316477,0.021947860717773438,0.0042075448312708374,-4.559755325317383e-05,0.0005892515182495117,-0.0005645109340548515,0.00021094083786010742,balanced_multifactor,50,8114002,4.77474308013916,0.996,0.0015363037382485345,-0.16819675255335062,4.2900543212890625,-0.14447694053285765,0.993455708026886,0.9911682605743408,0.008463720791041851,0.9914618730545044
4.778985977172852,0.99925,0.0009304947816417553,-0.16317697326791605,3.877171516418457,-0.11460621124791931,0.9939681887626648,0.9907242059707642,0.008888917043805122,0.9913549423217773,-0.16170549392700195,-0.00010772611858556047,-0.004997548876128549,0.04518318176269531,-0.003861655398097824,3.55839729309082e-05,0.0010855793952941895,-0.001040155068039894,0.0006001591682434082,balanced_multifactor,100,8114002,4.61728048324585,0.996,0.0008227686630561948,-0.1681745221440446,3.9223546981811523,-0.11846786664601713,0.9940037727355957,0.9918097853660583,0.007848761975765228,0.9919551014900208
4.687758922576904,0.99925,0.0005603476965916343,-0.14695283216691174,3.7567317485809326,-0.10378996694132706,0.9940590262413025,0.9908321499824524,0.008784988895058632,0.9915979504585266,-0.3625798225402832,-5.300437260302715e-05,0.009568048108811983,-0.030936002731323242,-0.003904835539411955,0.000270843505859375,0.0014867186546325684,-0.0014237957075238228,0.0011664628982543945,balanced_multifactor,200,8114002,4.325179100036621,0.996,0.0005073433239886072,-0.13738478405809976,3.7257957458496094,-0.10769480248073901,0.9943298697471619,0.992318868637085,0.007361193187534809,0.992764413356781
4.600419521331787,0.99925,0.0003977288979513105,-0.16411373073034685,3.6163272857666016,-0.09997314188468846,0.9943244457244873,0.9908628463745117,0.008755039423704147,0.9918217658996582,-0.5279731750488281,-3.182299406034872e-05,0.03520659315899613,-0.07852411270141602,0.003606550183856222,0.00034630298614501953,0.0016730427742004395,-0.0016017383895814419,0.0015714168548583984,balanced_multifactor,300,8114002,4.072446346282959,0.996,0.0003659059038909618,-0.12890713757135072,3.5378031730651855,-0.09636659170083224,0.9946707487106323,0.9925358891487122,0.0071533010341227055,0.9933931827545166
4.409865856170654,0.99925,0.0002776531327981502,-0.13544067861682593,3.3617348670959473,-0.08654693328850839,0.9948192238807678,0.9908398389816284,0.008775502443313599,0.9923044443130493,-0.7492496967315674,-2.0638548448914662e-05,0.01887149273388758,-0.1120913028717041,-0.016686137174075813,0.00036722421646118164,0.001864016056060791,-0.0017845584079623222,0.0020183920860290527,balanced_multifactor,500,8114002,3.660616159439087,0.996,0.0002570145843492355,-0.11656918588293835,3.249643564224243,-0.1032330704625842,0.995186448097229,0.9927038550376892,0.006990944035351276,0.9943228363990784
6.499663352966309,0.99925,0.17294231615960598,-0.2102439312374862,6.499663352966309,-0.2102439312374862,0.980911374092102,0.9936408400535583,0.00609419122338295,0.980911374092102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,balanced_multifactor,0,8114003,6.499663352966309,0.996,0.17294231615960598,-0.2102439312374862,6.499663352966309,-0.2102439312374862,0.980911374092102,0.9936408400535583,0.00609419122338295,0.980911374092102
6.506847381591797,0.99925,0.005858197866473347,-0.24004237151575775,6.63121223449707,-0.29474440170575666,0.98061603307724,0.9936521053314209,0.006083349697291851,0.9808870553970337,0.011313915252685547,-0.0003091535181738436,-0.003677350665547252,0.004548072814941406,0.043846323941814425,-3.2067298889160156e-05,5.638599395751953e-05,-5.373265594244003e-05,-2.193450927734375e-05,balanced_multifactor,20,8114003,6.518161296844482,0.996,0.005549044348299503,-0.243719722181305,6.635760307312012,-0.25089807776394224,0.9805839657783508,0.9937084913253784,0.006029617041349411,0.9808651208877563
6.507602214813232,0.99925,0.00110640096681891,-0.2311845035387475,6.437012195587158,-0.29498488766771497,0.9818663597106934,0.9937185645103455,0.006019731517881155,0.9808893799781799,0.011476516723632812,-0.00010639106767484918,-0.0018376729556418836,0.029964923858642578,0.03206178887323424,-0.00014346837997436523,0.0003090500831604004,-0.0002955975942313671,1.7940998077392578e-05,balanced_multifactor,50,8114003,6.519078731536865,0.996,0.001000009899144061,-0.2330221764943894,6.466977119445801,-0.2629230987944807,0.981722891330719,0.9940276145935059,0.005724133923649788,0.9809073209762573
6.490323066711426,0.99925,0.0006862557711428963,-0.2207858794218832,5.956716060638428,-0.24022149517102015,0.9841760993003845,0.9938132166862488,0.005929029081016779,0.980985164642334,-0.02172565460205078,-9.236081314156763e-05,-0.028964807271168597,0.10895061492919922,-0.013469266992241213,-0.0006113648414611816,0.0006201863288879395,-0.0005935961380600929,0.0002466440200805664,balanced_multifactor,100,8114003,6.468597412109375,0.996,0.0005938949580013286,-0.2497506866930518,6.065666675567627,-0.25369076216326136,0.9835647344589233,0.9944334030151367,0.005335432942956686,0.9812318086624146
